Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 2 > Spindle > Battery Voltage,
2/15/20 10:02,0.0027667,,2/15/20 10:02,1.0204994,,2/15/20 10:02,0.0529656,,2/15/20 10:02,0.0080816,,2/15/20 10:02,0.0029535,,2/15/20 10:02,62.14841385,,2/15/20 10:02,0.0023876,,2/15/20 10:02,1.0029869,,2/15/20 10:02,0.0523259,,2/15/20 10:02,0.0101818,,2/15/20 10:02,0.0032844,,2/15/20 10:02,62.14841385,,2/15/20 10:02,3.213577509
2/15/20 10:12,0.0023672,,2/15/20 10:12,0.9375618,,2/15/20 10:12,0.0439686,,2/15/20 10:12,0.0102028,,2/15/20 10:12,0.003106,,2/15/20 10:12,62.14841385,,2/15/20 10:12,0.0042229,,2/15/20 10:12,1.0050706,,2/15/20 10:12,0.0424635,,2/15/20 10:12,0.0102767,,2/15/20 10:12,0.0030528,,2/15/20 10:12,62.14841385,,2/15/20 10:12,3.213382244
2/15/20 10:22,0.0018631,,2/15/20 10:22,1.0490056,,2/15/20 10:22,0.0444591,,2/15/20 10:22,0.0086725,,2/15/20 10:22,0.0028627,,2/15/20 10:22,62.39501572,,2/15/20 10:22,0.0024464,,2/15/20 10:22,0.9994485,,2/15/20 10:22,0.0574716,,2/15/20 10:22,0.0081016,,2/15/20 10:22,0.0023713,,2/15/20 10:22,62.39501572,,2/15/20 10:22,3.21269846
2/15/20 10:32,0.0024218,,2/15/20 10:32,0.9575955,,2/15/20 10:32,0.0470165,,2/15/20 10:32,0.0106487,,2/15/20 10:32,0.0030851,,2/15/20 10:33,62.53594971,,2/15/20 10:32,0.0020364,,2/15/20 10:32,1.0124844,,2/15/20 10:32,0.0385964,,2/15/20 10:32,0.0087472,,2/15/20 10:32,0.0033816,,2/15/20 10:33,62.53594971,,2/15/20 10:33,3.212796211
2/15/20 10:42,0.0018192,,2/15/20 10:42,1.0082841,,2/15/20 10:42,0.0465527,,2/15/20 10:42,0.0107725,,2/15/20 10:42,0.0031474,,2/15/20 10:43,62.32457275,,2/15/20 10:42,0.002126,,2/15/20 10:42,0.963924,,2/15/20 10:42,0.042976,,2/15/20 10:42,0.0092245,,2/15/20 10:42,0.0030647,,2/15/20 10:43,62.32457275,,2/15/20 10:43,3.21269846
2/15/20 10:52,0.0019324,,2/15/20 10:52,1.0184265,,2/15/20 10:52,0.0433162,,2/15/20 10:52,0.0082408,,2/15/20 10:52,0.0030293,,2/15/20 10:52,62.43024063,,2/15/20 10:52,0.0021392,,2/15/20 10:52,1.030081,,2/15/20 10:52,0.0529676,,2/15/20 10:52,0.0095959,,2/15/20 10:52,0.0030872,,2/15/20 10:52,62.43024063,,2/15/20 10:52,3.212405443
2/15/20 11:02,0.0025971,,2/15/20 11:02,0.9849222,,2/15/20 11:02,0.0466525,,2/15/20 11:02,0.0083062,,2/15/20 11:02,0.002832,,2/15/20 11:02,62.04270477,,2/15/20 11:02,0.0018811,,2/15/20 11:02,1.0287611,,2/15/20 11:02,0.0508935,,2/15/20 11:02,0.0118848,,2/15/20 11:02,0.0036033,,2/15/20 11:02,62.04270477,,2/15/20 11:02,3.212014675
2/15/20 11:12,0.0023109,,2/15/20 11:12,0.9986906,,2/15/20 11:12,0.0427483,,2/15/20 11:12,0.0077535,,2/15/20 11:12,0.0028165,,2/15/20 11:12,61.97225838,,2/15/20 11:12,0.001664,,2/15/20 11:12,1.0105804,,2/15/20 11:12,0.0477793,,2/15/20 11:12,0.0112629,,2/15/20 11:12,0.0034582,,2/15/20 11:12,61.97225838,,2/15/20 11:12,3.212600708
2/15/20 11:22,0.0019621,,2/15/20 11:22,1.0297134,,2/15/20 11:22,0.0463856,,2/15/20 11:22,0.0091911,,2/15/20 11:22,0.0030452,,2/15/20 11:22,62.6768837,,2/15/20 11:22,0.0018026,,2/15/20 11:22,1.0336362,,2/15/20 11:22,0.0425028,,2/15/20 11:22,0.0105257,,2/15/20 11:22,0.0029946,,2/15/20 11:22,62.6768837,,2/15/20 11:22,3.212307692
2/15/20 11:32,0.0026166,,2/15/20 11:32,1.022181,,2/15/20 11:32,0.0470901,,2/15/20 11:32,0.0096885,,2/15/20 11:32,0.0029841,,2/15/20 11:32,62.07792969,,2/15/20 11:32,0.0022265,,2/15/20 11:32,1.0224706,,2/15/20 11:32,0.044558,,2/15/20 11:32,0.0105199,,2/15/20 11:32,0.0031377,,2/15/20 11:32,62.07792969,,2/15/20 11:32,3.212405443
2/15/20 11:41,0.00243,,2/15/20 11:41,0.9858331,,2/15/20 11:41,0.0427255,,2/15/20 11:41,0.0082074,,2/15/20 11:41,0.0033514,,2/15/20 11:42,61.9369957,,2/15/20 11:41,0.0024319,,2/15/20 11:41,0.9792908,,2/15/20 11:41,0.0413236,,2/15/20 11:41,0.0102524,,2/15/20 11:41,0.0035674,,2/15/20 11:42,61.9369957,,2/15/20 11:42,3.21181941
2/15/20 11:52,0.0037835,,2/15/20 11:52,0.9270165,,2/15/20 11:52,0.0405239,,2/15/20 11:52,0.009739,,2/15/20 11:52,0.0037864,,2/15/20 11:52,62.00747986,,2/15/20 11:52,0.0041932,,2/15/20 11:52,0.9709109,,2/15/20 11:52,0.0393768,,2/15/20 11:52,0.0115811,,2/15/20 11:52,0.0034519,,2/15/20 11:52,62.00747986,,2/15/20 11:52,3.211233139
2/15/20 12:02,0.0025375,,2/15/20 12:02,1.0009737,,2/15/20 12:02,0.0501805,,2/15/20 12:02,0.0099125,,2/15/20 12:02,0.0029912,,2/15/20 12:02,62.11314774,,2/15/20 12:02,0.0024944,,2/15/20 12:02,0.9847725,,2/15/20 12:02,0.0436185,,2/15/20 12:02,0.0086791,,2/15/20 12:02,0.0027046,,2/15/20 12:02,62.11314774,,2/15/20 12:02,3.211330891
2/15/20 12:12,0.0029471,,2/15/20 12:12,0.9550906,,2/15/20 12:12,0.0439677,,2/15/20 12:12,0.0107692,,2/15/20 12:12,0.0033407,,2/15/20 12:12,61.69039383,,2/15/20 12:12,0.0040414,,2/15/20 12:12,1.0402413,,2/15/20 12:12,0.0419303,,2/15/20 12:12,0.008752,,2/15/20 12:12,0.0030949,,2/15/20 12:12,61.69039383,,2/15/20 12:12,3.211135387
2/15/20 12:22,0.0024935,,2/15/20 12:22,1.01511,,2/15/20 12:22,0.0442034,,2/15/20 12:22,0.0103743,,2/15/20 12:22,0.0033363,,2/15/20 12:22,62.50072823,,2/15/20 12:22,0.0019659,,2/15/20 12:22,1.0075194,,2/15/20 12:22,0.0497515,,2/15/20 12:22,0.0113724,,2/15/20 12:22,0.0032641,,2/15/20 12:22,62.50072823,,2/15/20 12:22,3.210940123
2/15/20 12:32,0.0020318,,2/15/20 12:32,1.019063,,2/15/20 12:32,0.0467826,,2/15/20 12:32,0.0104008,,2/15/20 12:32,0.0030483,,2/15/20 12:33,62.28930664,,2/15/20 12:32,0.0025665,,2/15/20 12:32,0.994124,,2/15/20 12:32,0.0439821,,2/15/20 12:32,0.0104815,,2/15/20 12:32,0.0030825,,2/15/20 12:33,62.28930664,,2/15/20 12:33,3.210940123
2/15/20 12:42,0.0021448,,2/15/20 12:42,1.026537,,2/15/20 12:42,0.0436578,,2/15/20 12:42,0.0102549,,2/15/20 12:42,0.0032381,,2/15/20 12:43,62.28930664,,2/15/20 12:42,0.0016439,,2/15/20 12:42,0.9867214,,2/15/20 12:42,0.0421212,,2/15/20 12:42,0.0106992,,2/15/20 12:42,0.0026058,,2/15/20 12:43,62.28930664,,2/15/20 12:43,3.210061073
2/15/20 12:51,0.0034423,,2/15/20 12:51,1.0232904,,2/15/20 12:51,0.0489705,,2/15/20 12:51,0.0101873,,2/15/20 12:51,0.0033984,,2/15/20 12:52,62.07792969,,2/15/20 12:51,0.002418,,2/15/20 12:51,0.960453,,2/15/20 12:51,0.0395839,,2/15/20 12:51,0.0086191,,2/15/20 12:51,0.0032028,,2/15/20 12:52,62.07792969,,2/15/20 12:52,3.210256338
2/15/20 13:02,0.0017349,,2/15/20 13:02,1.0223796,,2/15/20 13:02,0.048666,,2/15/20 13:02,0.0123544,,2/15/20 13:02,0.003373,,2/15/20 13:03,62.18363876,,2/15/20 13:02,0.0043172,,2/15/20 13:02,0.9546286,,2/15/20 13:02,0.0418734,,2/15/20 13:02,0.009329,,2/15/20 13:02,0.0032548,,2/15/20 13:03,62.18363876,,2/15/20 13:03,3.209768057
2/15/20 13:12,0.0031944,,2/15/20 13:12,1.0014933,,2/15/20 13:12,0.0425198,,2/15/20 13:12,0.0082274,,2/15/20 13:12,0.0029668,,2/15/20 13:13,62.32457275,,2/15/20 13:12,0.0018872,,2/15/20 13:12,1.0047449,,2/15/20 13:12,0.0429326,,2/15/20 13:12,0.0114468,,2/15/20 13:12,0.0030267,,2/15/20 13:13,62.32457275,,2/15/20 13:13,3.209279537
2/15/20 13:22,0.0028254,,2/15/20 13:22,0.9960455,,2/15/20 13:22,0.0483904,,2/15/20 13:22,0.0087011,,2/15/20 13:22,0.0027898,,2/15/20 13:23,62.6063961,,2/15/20 13:22,0.0018696,,2/15/20 13:22,1.0444649,,2/15/20 13:22,0.0573004,,2/15/20 13:22,0.0106497,,2/15/20 13:22,0.0032804,,2/15/20 13:23,62.6063961,,2/15/20 13:23,3.209670305
2/15/20 13:32,0.0028103,,2/15/20 13:32,1.0268056,,2/15/20 13:32,0.0494415,,2/15/20 13:32,0.0116233,,2/15/20 13:32,0.0031213,,2/15/20 13:33,62.21886024,,2/15/20 13:32,0.0032362,,2/15/20 13:32,1.0480763,,2/15/20 13:32,0.0438576,,2/15/20 13:32,0.0092969,,2/15/20 13:32,0.0032831,,2/15/20 13:33,62.21886024,,2/15/20 13:33,3.208791256
2/15/20 13:42,0.0017369,,2/15/20 13:42,0.9962616,,2/15/20 13:42,0.0491908,,2/15/20 13:42,0.0119264,,2/15/20 13:42,0.0034852,,2/15/20 13:43,62.39501572,,2/15/20 13:42,0.0033724,,2/15/20 13:42,0.9849298,,2/15/20 13:42,0.0458299,,2/15/20 13:42,0.0111567,,2/15/20 13:42,0.0030972,,2/15/20 13:43,62.39501572,,2/15/20 13:43,3.208889008
2/15/20 13:52,0.0029893,,2/15/20 13:52,1.0087045,,2/15/20 13:52,0.0479524,,2/15/20 13:52,0.0106478,,2/15/20 13:52,0.002979,,2/15/20 13:52,61.83132439,,2/15/20 13:52,0.0022529,,2/15/20 13:52,0.988558,,2/15/20 13:52,0.0496334,,2/15/20 13:52,0.010834,,2/15/20 13:52,0.0034018,,2/15/20 13:52,61.83132439,,2/15/20 13:52,3.208889008
2/15/20 14:02,0.002184,,2/15/20 14:02,1.003572,,2/15/20 14:02,0.0452331,,2/15/20 14:02,0.0081029,,2/15/20 14:02,0.003111,,2/15/20 14:02,61.86654587,,2/15/20 14:02,0.0024213,,2/15/20 14:02,0.9838626,,2/15/20 14:02,0.0384138,,2/15/20 14:02,0.0088691,,2/15/20 14:02,0.0032134,,2/15/20 14:02,61.86654587,,2/15/20 14:02,3.208986521
2/15/20 14:12,0.0034931,,2/15/20 14:12,1.0062522,,2/15/20 14:12,0.0528652,,2/15/20 14:12,0.0086538,,2/15/20 14:12,0.0029996,,2/15/20 14:13,62.00747986,,2/15/20 14:12,0.0022458,,2/15/20 14:12,0.9973198,,2/15/20 14:12,0.0499799,,2/15/20 14:12,0.0109804,,2/15/20 14:12,0.0030582,,2/15/20 14:13,62.00747986,,2/15/20 14:13,3.208400488
2/15/20 14:22,0.0033694,,2/15/20 14:22,0.9350685,,2/15/20 14:22,0.0437922,,2/15/20 14:22,0.0099029,,2/15/20 14:22,0.003123,,2/15/20 14:23,62.00747986,,2/15/20 14:22,0.0017716,,2/15/20 14:22,1.04442,,2/15/20 14:22,0.0488403,,2/15/20 14:22,0.0098725,,2/15/20 14:22,0.0033672,,2/15/20 14:23,62.00747986,,2/15/20 14:23,3.20800972
2/15/20 14:32,0.0022681,,2/15/20 14:32,1.0037764,,2/15/20 14:32,0.0473911,,2/15/20 14:32,0.0068343,,2/15/20 14:32,0.0025586,,2/15/20 14:33,62.07792969,,2/15/20 14:32,0.0011498,,2/15/20 14:32,1.0133943,,2/15/20 14:32,0.0416013,,2/15/20 14:32,0.0096539,,2/15/20 14:32,0.0030548,,2/15/20 14:33,62.07792969,,2/15/20 14:33,3.207521439
