Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 1 > Spindle > Battery Voltage,
2/15/20 6:48,0.0029668,,2/15/20 6:48,0.9930928,,2/15/20 6:48,0.0390004,,2/15/20 6:48,0.0105644,,2/15/20 6:48,0.0026358,,2/15/20 6:48,65.26458626,,2/15/20 6:48,0.0535544,,2/15/20 6:48,0.010307,,2/15/20 6:48,0.0029423,,2/15/20 6:48,65.26458626,,2/15/20 6:48,0.0021825,,2/15/20 6:48,0.9324629,,2/15/20 6:48,3.240439415
2/15/20 6:59,0.002477,,2/15/20 6:59,0.9815283,,2/15/20 6:59,0.0420264,,2/15/20 6:59,0.0092463,,2/15/20 7:09,0.0034791,,2/15/20 6:59,64.91378937,,2/15/20 7:09,0.0438948,,2/15/20 7:09,0.0116926,,2/15/20 6:59,0.0034178,,2/15/20 6:59,64.91378937,,2/15/20 7:09,0.003027,,2/15/20 7:09,0.9453129,,2/15/20 6:59,3.240439415
2/15/20 7:09,0.0027128,,2/15/20 7:09,1.0340404,,2/15/20 7:09,0.0487792,,2/15/20 7:09,0.0099573,,2/15/20 7:19,0.0033777,,2/15/20 7:09,64.71890564,,2/15/20 7:19,0.0480285,,2/15/20 7:19,0.0102329,,2/15/20 7:09,0.0025749,,2/15/20 7:09,64.71890564,,2/15/20 7:19,0.003358,,2/15/20 7:19,0.9388363,,2/15/20 7:09,3.240341902
2/15/20 7:19,0.0026551,,2/15/20 7:19,0.9748197,,2/15/20 7:19,0.0438953,,2/15/20 7:19,0.0127981,,2/15/20 7:29,0.0031865,,2/15/20 7:20,65.22557106,,2/15/20 7:29,0.0412909,,2/15/20 7:29,0.0090951,,2/15/20 7:19,0.0034762,,2/15/20 7:20,65.22557106,,2/15/20 7:29,0.0027235,,2/15/20 7:29,0.9457508,,2/15/20 7:20,3.240341902
2/15/20 7:29,0.002687,,2/15/20 7:29,0.9671733,,2/15/20 7:29,0.0414123,,2/15/20 7:29,0.0086754,,2/15/20 7:38,0.0032283,,2/15/20 7:30,64.87482224,,2/15/20 7:38,0.0462167,,2/15/20 7:38,0.0094797,,2/15/20 7:29,0.0033068,,2/15/20 7:30,64.87482224,,2/15/20 7:38,0.0033567,,2/15/20 7:38,0.9991859,,2/15/20 7:30,3.240146637
2/15/20 7:38,0.0020053,,2/15/20 7:38,1.0037253,,2/15/20 7:38,0.0422635,,2/15/20 7:38,0.0080742,,2/15/20 7:48,0.0028219,,2/15/20 7:39,64.87482224,,2/15/20 7:48,0.0494052,,2/15/20 7:48,0.0078562,,2/15/20 7:38,0.0025179,,2/15/20 7:39,64.87482224,,2/15/20 7:48,0.0015191,,2/15/20 7:48,0.9771905,,2/15/20 7:39,3.239853621
2/15/20 7:48,0.0027004,,2/15/20 7:48,0.9724608,,2/15/20 7:48,0.045425,,2/15/20 7:48,0.0087399,,2/15/20 7:58,0.0036055,,2/15/20 7:49,64.64092331,,2/15/20 7:58,0.0472308,,2/15/20 7:58,0.0120773,,2/15/20 7:48,0.003187,,2/15/20 7:49,64.64092331,,2/15/20 7:58,0.0017436,,2/15/20 7:58,0.9268777,,2/15/20 7:49,3.240048885
2/15/20 7:58,0.0016888,,2/15/20 7:58,1.0050256,,2/15/20 7:58,0.0395707,,2/15/20 7:58,0.0059298,,2/15/20 8:09,0.0039431,,2/15/20 7:59,64.64092331,,2/15/20 8:09,0.0475821,,2/15/20 8:09,0.0132685,,2/15/20 7:58,0.0021835,,2/15/20 7:59,64.64092331,,2/15/20 8:09,0.003177,,2/15/20 8:09,0.9723782,,2/15/20 7:59,3.239462614
2/15/20 8:09,0.0023743,,2/15/20 8:09,0.967346,,2/15/20 8:09,0.0457433,,2/15/20 8:09,0.0079797,,2/15/20 8:19,0.004367,,2/15/20 8:10,64.60195961,,2/15/20 8:19,0.0516158,,2/15/20 8:19,0.0165404,,2/15/20 8:09,0.0028061,,2/15/20 8:10,64.60195961,,2/15/20 8:19,0.0056298,,2/15/20 8:19,0.948971,,2/15/20 8:10,3.239267349
2/15/20 8:19,0.0027357,,2/15/20 8:19,0.9935474,,2/15/20 8:19,0.0433285,,2/15/20 8:19,0.0087194,,2/15/20 8:29,0.0025143,,2/15/20 8:20,64.44604301,,2/15/20 8:29,0.0473528,,2/15/20 8:29,0.0074298,,2/15/20 8:19,0.002691,,2/15/20 8:20,64.44604301,,2/15/20 8:29,0.0016594,,2/15/20 8:29,0.9557773,,2/15/20 8:20,3.238583565
2/15/20 8:29,0.0016129,,2/15/20 8:29,0.9350286,,2/15/20 8:29,0.0531232,,2/15/20 8:29,0.0093225,,2/15/20 8:39,0.0032333,,2/15/20 8:30,64.87482224,,2/15/20 8:39,0.0425866,,2/15/20 8:39,0.0105774,,2/15/20 8:29,0.0028132,,2/15/20 8:30,64.87482224,,2/15/20 8:39,0.0021882,,2/15/20 8:39,0.9769071,,2/15/20 8:30,3.239072084
2/15/20 8:39,0.0019161,,2/15/20 8:39,0.9837319,,2/15/20 8:39,0.0475764,,2/15/20 8:39,0.0099502,,2/15/20 8:48,0.00324,,2/15/20 8:39,64.56299248,,2/15/20 8:48,0.0476825,,2/15/20 8:48,0.0078188,,2/15/20 8:39,0.0029591,,2/15/20 8:39,64.56299248,,2/15/20 8:48,0.0029425,,2/15/20 8:48,0.9864699,,2/15/20 8:39,3.238974333
2/15/20 8:48,0.0023644,,2/15/20 8:48,0.9882541,,2/15/20 8:48,0.0507012,,2/15/20 8:48,0.0097963,,2/15/20 8:58,0.0031797,,2/15/20 8:49,64.21219559,,2/15/20 8:58,0.049911,,2/15/20 8:58,0.0099734,,2/15/20 8:48,0.003146,,2/15/20 8:49,64.21219559,,2/15/20 8:58,0.002273,,2/15/20 8:58,0.9851406,,2/15/20 8:49,3.239462614
2/15/20 8:58,0.0023641,,2/15/20 8:58,0.9826157,,2/15/20 8:58,0.0448068,,2/15/20 8:58,0.0094364,,2/15/20 9:08,0.0033983,,2/15/20 8:59,64.29017792,,2/15/20 9:08,0.0460324,,2/15/20 9:08,0.0104634,,2/15/20 8:58,0.0027871,,2/15/20 8:59,64.29017792,,2/15/20 9:08,0.0029812,,2/15/20 9:08,0.945519,,2/15/20 8:59,3.238485813
2/15/20 9:08,0.0014704,,2/15/20 9:08,0.9664944,,2/15/20 9:08,0.0437932,,2/15/20 9:08,0.0118271,,2/15/20 9:19,0.0033542,,2/15/20 9:09,64.52402534,,2/15/20 9:19,0.0486284,,2/15/20 9:19,0.0093532,,2/15/20 9:08,0.0030858,,2/15/20 9:09,64.52402534,,2/15/20 9:19,0.0029013,,2/15/20 9:19,0.9855425,,2/15/20 9:09,3.238193035
2/15/20 9:19,0.0023435,,2/15/20 9:19,0.9651136,,2/15/20 9:19,0.0403125,,2/15/20 9:19,0.0090275,,2/15/20 9:29,0.0032151,,2/15/20 9:20,64.44604301,,2/15/20 9:29,0.0553116,,2/15/20 9:29,0.0115151,,2/15/20 9:19,0.0028426,,2/15/20 9:20,64.44604301,,2/15/20 9:29,0.0028394,,2/15/20 9:29,0.9498212,,2/15/20 9:20,3.237997532
2/15/20 9:29,0.0019152,,2/15/20 9:29,0.9999337,,2/15/20 9:29,0.0404365,,2/15/20 9:29,0.0080082,,2/15/20 9:39,0.0031773,,2/15/20 9:29,64.52402534,,2/15/20 9:39,0.0534364,,2/15/20 9:39,0.0108669,,2/15/20 9:29,0.0026955,,2/15/20 9:29,64.52402534,,2/15/20 9:39,0.0022658,,2/15/20 9:39,0.9626093,,2/15/20 9:29,3.238095284
2/15/20 9:39,0.0035428,,2/15/20 9:39,0.9883519,,2/15/20 9:39,0.0440653,,2/15/20 9:39,0.0107725,,2/15/20 9:49,0.003731,,2/15/20 9:39,64.44604301,,2/15/20 9:49,0.0522242,,2/15/20 9:49,0.0114174,,2/15/20 9:39,0.003141,,2/15/20 9:39,64.44604301,,2/15/20 9:49,0.0043687,,2/15/20 9:49,0.9639592,,2/15/20 9:39,3.238583565
2/15/20 9:49,0.0031733,,2/15/20 9:49,0.9840714,,2/15/20 9:49,0.0443298,,2/15/20 9:49,0.0085097,,2/15/20 9:58,0.0033031,,2/15/20 9:49,64.13426132,,2/15/20 9:58,0.0479336,,2/15/20 9:58,0.0116931,,2/15/20 9:49,0.0029352,,2/15/20 9:49,64.13426132,,2/15/20 9:58,0.0015113,,2/15/20 9:58,0.9779736,,2/15/20 9:49,3.237704515
2/15/20 9:59,0.0020109,,2/15/20 9:59,0.9958027,,2/15/20 9:59,0.0439819,,2/15/20 9:59,0.0096434,,2/15/20 10:08,0.0044066,,2/15/20 9:59,63.8613987,,2/15/20 10:08,0.0487769,,2/15/20 10:08,0.0119064,,2/15/20 9:59,0.0026239,,2/15/20 9:59,63.8613987,,2/15/20 10:08,0.0049738,,2/15/20 10:08,0.9626969,,2/15/20 9:59,3.237606764
2/15/20 10:08,0.0036988,,2/15/20 10:08,0.9450627,,2/15/20 10:08,0.0516287,,2/15/20 10:08,0.012682,,2/15/20 10:18,0.002422,,2/15/20 10:09,64.09529419,,2/15/20 10:18,0.0432414,,2/15/20 10:18,0.0083452,,2/15/20 10:08,0.0035495,,2/15/20 10:09,64.09529419,,2/15/20 10:18,0.0018385,,2/15/20 10:18,0.9195665,,2/15/20 10:09,3.237802267
2/15/20 10:18,0.0009662,,2/15/20 10:18,0.9911079,,2/15/20 10:18,0.043639,,2/15/20 10:18,0.0070396,,2/15/20 10:28,0.0032506,,2/15/20 10:19,64.25116272,,2/15/20 10:28,0.043863,,2/15/20 10:28,0.0119912,,2/15/20 10:18,0.0021136,,2/15/20 10:19,64.25116272,,2/15/20 10:28,0.0021823,,2/15/20 10:28,0.9965118,,2/15/20 10:19,3.237704515
2/15/20 10:28,0.0025401,,2/15/20 10:28,1.01972,,2/15/20 10:28,0.0466881,,2/15/20 10:28,0.0102902,,2/15/20 10:39,0.0031542,,2/15/20 10:29,64.36811218,,2/15/20 10:39,0.043445,,2/15/20 10:39,0.0101745,,2/15/20 10:28,0.003261,,2/15/20 10:29,64.36811218,,2/15/20 10:39,0.0022365,,2/15/20 10:39,0.9486773,,2/15/20 10:29,3.237509012
2/15/20 10:39,0.0022712,,2/15/20 10:39,1.0027702,,2/15/20 10:39,0.043598,,2/15/20 10:39,0.0125029,,2/15/20 10:49,0.0027411,,2/15/20 10:39,63.97834473,,2/15/20 10:49,0.0442067,,2/15/20 10:49,0.0099079,,2/15/20 10:39,0.0031913,,2/15/20 10:39,63.97834473,,2/15/20 10:49,0.001884,,2/15/20 10:49,0.9512175,,2/15/20 10:39,3.237411499
2/15/20 10:49,0.002915,,2/15/20 10:49,0.9956129,,2/15/20 10:49,0.0442539,,2/15/20 10:49,0.0133631,,2/15/20 10:59,0.002891,,2/15/20 10:49,64.67993851,,2/15/20 10:59,0.0476967,,2/15/20 10:59,0.0108603,,2/15/20 10:49,0.0035989,,2/15/20 10:49,64.67993851,,2/15/20 10:59,0.002312,,2/15/20 10:59,0.9729449,,2/15/20 10:49,3.237216234
2/15/20 10:59,0.002079,,2/15/20 10:59,0.9339527,,2/15/20 10:59,0.0407756,,2/15/20 10:59,0.0077256,,2/15/20 11:09,0.0025868,,2/15/20 10:59,63.97834473,,2/15/20 11:09,0.0511087,,2/15/20 11:09,0.0073214,,2/15/20 10:59,0.0027789,,2/15/20 10:59,63.97834473,,2/15/20 11:09,0.0017985,,2/15/20 11:09,1.0077027,,2/15/20 10:59,3.237118483
2/15/20 11:09,0.0033284,,2/15/20 11:09,0.9929893,,2/15/20 11:09,0.0464495,,2/15/20 11:09,0.0083645,,2/15/20 11:18,0.0033582,,2/15/20 11:09,63.7444973,,2/15/20 11:18,0.0566416,,2/15/20 11:18,0.0098668,,2/15/20 11:09,0.0026916,,2/15/20 11:09,63.7444973,,2/15/20 11:18,0.0031529,,2/15/20 11:18,0.9762734,,2/15/20 11:09,3.237411499
2/15/20 11:18,0.0024189,,2/15/20 11:18,0.9787724,,2/15/20 11:18,0.0523213,,2/15/20 11:18,0.0100736,,2/15/20 11:28,0.0033434,,2/15/20 11:19,64.21219559,,2/15/20 11:28,0.0477393,,2/15/20 11:28,0.0105781,,2/15/20 11:18,0.0029252,,2/15/20 11:19,64.21219559,,2/15/20 11:28,0.0017065,,2/15/20 11:28,0.9469822,,2/15/20 11:19,3.236923218
2/15/20 11:28,0.0027353,,2/15/20 11:28,0.9748255,,2/15/20 11:28,0.0443536,,2/15/20 11:28,0.0081778,,2/15/20 11:38,0.0031069,,2/15/20 11:28,63.90041046,,2/15/20 11:38,0.0402665,,2/15/20 11:38,0.0101296,,2/15/20 11:28,0.003142,,2/15/20 11:28,63.90041046,,2/15/20 11:38,0.0023168,,2/15/20 11:38,0.9375534,,2/15/20 11:28,3.236434698
2/15/20 11:38,0.0027716,,2/15/20 11:38,0.9635141,,2/15/20 11:38,0.0413595,,2/15/20 11:38,0.0073659,,2/15/20 11:49,0.0029724,,2/15/20 11:38,64.09529419,,2/15/20 11:49,0.0423905,,2/15/20 11:49,0.0099788,,2/15/20 11:38,0.002431,,2/15/20 11:38,64.09529419,,2/15/20 11:49,0.0028865,,2/15/20 11:49,0.9996754,,2/15/20 11:38,3.236727715
2/15/20 11:49,0.0025168,,2/15/20 11:49,0.9473411,,2/15/20 11:49,0.0460114,,2/15/20 11:49,0.00905,,2/15/20 11:59,0.0032876,,2/15/20 11:49,64.13426132,,2/15/20 11:59,0.050601,,2/15/20 11:59,0.0088737,,2/15/20 11:49,0.0030938,,2/15/20 11:49,64.13426132,,2/15/20 11:59,0.0029522,,2/15/20 11:59,0.9310151,,2/15/20 11:49,3.236532211
2/15/20 11:59,0.0024363,,2/15/20 11:59,0.9725068,,2/15/20 11:59,0.0416758,,2/15/20 11:59,0.010342,,2/15/20 12:09,0.0027273,,2/15/20 11:59,64.40707932,,2/15/20 12:09,0.051716,,2/15/20 12:09,0.0104716,,2/15/20 11:59,0.0028659,,2/15/20 11:59,64.40707932,,2/15/20 12:09,0.0016249,,2/15/20 12:09,1.0050853,,2/15/20 11:59,3.235946417
2/15/20 12:09,0.0017885,,2/15/20 12:09,1.013207,,2/15/20 12:09,0.0481971,,2/15/20 12:09,0.00778,,2/15/20 12:19,0.0032079,,2/15/20 12:09,64.32914505,,2/15/20 12:19,0.0547796,,2/15/20 12:19,0.0104765,,2/15/20 12:09,0.0026452,,2/15/20 12:09,64.32914505,,2/15/20 12:19,0.002375,,2/15/20 12:19,0.8987923,,2/15/20 12:09,3.236141682
2/15/20 12:19,0.0012686,,2/15/20 12:19,0.9848711,,2/15/20 12:19,0.0415189,,2/15/20 12:19,0.0091969,,2/15/20 12:28,0.0029317,,2/15/20 12:19,64.25116272,,2/15/20 12:28,0.0464017,,2/15/20 12:28,0.0089115,,2/15/20 12:19,0.0032937,,2/15/20 12:19,64.25116272,,2/15/20 12:28,0.0026202,,2/15/20 12:28,0.9624084,,2/15/20 12:19,3.236239433
2/15/20 12:28,0.0029467,,2/15/20 12:28,0.948555,,2/15/20 12:28,0.0429645,,2/15/20 12:28,0.0072532,,2/15/20 12:38,0.0035761,,2/15/20 12:28,63.97834473,,2/15/20 12:38,0.0511659,,2/15/20 12:38,0.0118542,,2/15/20 12:28,0.0027676,,2/15/20 12:28,63.97834473,,2/15/20 12:38,0.004247,,2/15/20 12:38,0.9569726,,2/15/20 12:28,3.235653162
2/15/20 12:38,0.0016406,,2/15/20 12:38,1.0097607,,2/15/20 12:38,0.0411877,,2/15/20 12:38,0.0093223,,2/15/20 12:48,0.0032702,,2/15/20 12:39,64.25116272,,2/15/20 12:48,0.0529183,,2/15/20 12:48,0.0113079,,2/15/20 12:38,0.0026184,,2/15/20 12:39,64.25116272,,2/15/20 12:48,0.0030204,,2/15/20 12:48,0.9592912,,2/15/20 12:39,3.235457897
2/15/20 12:48,0.0025426,,2/15/20 12:48,0.9614716,,2/15/20 12:48,0.0426335,,2/15/20 12:48,0.0109401,,2/15/20 12:59,0.0033142,,2/15/20 12:49,64.17322845,,2/15/20 12:59,0.0477243,,2/15/20 12:59,0.0115128,,2/15/20 12:48,0.0030793,,2/15/20 12:49,64.17322845,,2/15/20 12:59,0.0027461,,2/15/20 12:59,0.9669682,,2/15/20 12:49,3.235848665
2/15/20 12:59,0.0020244,,2/15/20 12:59,0.9894681,,2/15/20 12:59,0.0450535,,2/15/20 12:59,0.0081095,,2/15/20 13:09,0.0031879,,2/15/20 13:00,63.97834473,,2/15/20 13:09,0.0484483,,2/15/20 13:09,0.0087352,,2/15/20 12:59,0.0028735,,2/15/20 13:00,63.97834473,,2/15/20 13:09,0.002674,,2/15/20 13:09,0.9457096,,2/15/20 13:00,3.235457897
2/15/20 13:09,0.0032249,,2/15/20 13:09,0.9494238,,2/15/20 13:09,0.0444659,,2/15/20 13:09,0.0079206,,2/15/20 13:19,0.0034561,,2/15/20 13:10,64.05627899,,2/15/20 13:19,0.0469723,,2/15/20 13:19,0.010436,,2/15/20 13:09,0.0029738,,2/15/20 13:10,64.05627899,,2/15/20 13:19,0.0018786,,2/15/20 13:19,0.9632225,,2/15/20 13:10,3.23555541
2/15/20 13:19,0.0020982,,2/15/20 13:19,0.9656026,,2/15/20 13:19,0.0441948,,2/15/20 13:19,0.0074433,,2/15/20 13:29,0.003281,,2/15/20 13:20,64.01731186,,2/15/20 13:29,0.0473145,,2/15/20 13:29,0.0126266,,2/15/20 13:19,0.0029112,,2/15/20 13:20,64.01731186,,2/15/20 13:29,0.0023814,,2/15/20 13:29,0.9377647,,2/15/20 13:20,3.235262632
2/15/20 13:29,0.0015347,,2/15/20 13:29,0.9735022,,2/15/20 13:29,0.038554,,2/15/20 13:29,0.0086652,,2/15/20 13:38,0.0034281,,2/15/20 13:29,63.97834473,,2/15/20 13:38,0.0493419,,2/15/20 13:38,0.0102404,,2/15/20 13:29,0.0031164,,2/15/20 13:29,63.97834473,,2/15/20 13:38,0.0040711,,2/15/20 13:38,0.9290108,,2/15/20 13:29,3.235360146
2/15/20 13:38,0.0026804,,2/15/20 13:38,1.0092659,,2/15/20 13:38,0.0424424,,2/15/20 13:38,0.0110252,,2/15/20 13:48,0.0032325,,2/15/20 13:39,64.25116272,,2/15/20 13:48,0.0497916,,2/15/20 13:48,0.011597,,2/15/20 13:38,0.0029898,,2/15/20 13:39,64.25116272,,2/15/20 13:48,0.0017465,,2/15/20 13:48,0.9481982,,2/15/20 13:39,3.234871864
2/15/20 13:48,0.0018019,,2/15/20 13:48,0.9412999,,2/15/20 13:48,0.049341,,2/15/20 13:48,0.0085088,,2/15/20 13:58,0.0029222,,2/15/20 13:49,64.05627899,,2/15/20 13:58,0.045983,,2/15/20 13:58,0.0082119,,2/15/20 13:48,0.0027317,,2/15/20 13:49,64.05627899,,2/15/20 13:58,0.0015059,,2/15/20 13:58,0.9742279,,2/15/20 13:49,3.235360146
2/15/20 13:58,0.0027897,,2/15/20 13:58,0.9512937,,2/15/20 13:58,0.0423412,,2/15/20 13:58,0.0108437,,2/15/20 14:09,0.003573,,2/15/20 13:59,63.97834473,,2/15/20 14:09,0.0482083,,2/15/20 14:09,0.0111191,,2/15/20 13:58,0.0032742,,2/15/20 13:59,63.97834473,,2/15/20 14:09,0.0022422,,2/15/20 14:09,0.9501715,,2/15/20 13:59,3.234676361
2/15/20 14:09,0.0016697,,2/15/20 14:09,0.982725,,2/15/20 14:09,0.0469222,,2/15/20 14:09,0.0092218,,2/15/20 14:19,0.0031956,,2/15/20 14:10,63.97834473,,2/15/20 14:19,0.0451469,,2/15/20 14:19,0.0100701,,2/15/20 14:09,0.0030238,,2/15/20 14:10,63.97834473,,2/15/20 14:19,0.0019474,,2/15/20 14:19,0.9097461,,2/15/20 14:10,3.234481096
2/15/20 14:19,0.0025461,,2/15/20 14:19,0.9404829,,2/15/20 14:19,0.048727,,2/15/20 14:19,0.0104384,,2/15/20 14:29,0.0033329,,2/15/20 14:20,64.32914505,,2/15/20 14:29,0.0455561,,2/15/20 14:29,0.0108625,,2/15/20 14:19,0.0030758,,2/15/20 14:20,64.32914505,,2/15/20 14:29,0.0031965,,2/15/20 14:29,0.9598374,,2/15/20 14:20,3.234578609
2/15/20 14:29,0.0026917,,2/15/20 14:29,0.9961364,,2/15/20 14:29,0.0445273,,2/15/20 14:29,0.0093988,,2/15/20 14:39,0.0027321,,2/15/20 14:29,64.17322845,,2/15/20 14:39,0.0403281,,2/15/20 14:39,0.0098077,,2/15/20 14:29,0.0028994,,2/15/20 14:29,64.17322845,,2/15/20 14:39,0.002017,,2/15/20 14:39,0.9313191,,2/15/20 14:29,3.233992815
2/15/20 14:39,0.0016577,,2/15/20 14:39,0.9665577,,2/15/20 14:39,0.0446882,,2/15/20 14:39,0.011083,,2/15/20 14:48,0.0037716,,2/15/20 14:39,64.25116272,,2/15/20 14:48,0.0535495,,2/15/20 14:48,0.01124,,2/15/20 14:39,0.0031806,,2/15/20 14:39,64.25116272,,2/15/20 14:48,0.0024516,,2/15/20 14:48,0.9598683,,2/15/20 14:39,3.23369956
