Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 1 > Spindle > Battery Voltage,
2/22/20 7:09,0.0428672,,2/22/20 7:09,0.0104357,,2/22/20 7:09,0.0025163,,2/22/20 7:09,0.9634801,,2/22/20 7:09,0.0034177,,2/22/20 7:00,64.52402534,,2/22/20 7:09,0.0033284,,2/22/20 7:00,64.52402534,,2/22/20 7:09,0.0424752,,2/22/20 7:09,0.0089735,,2/22/20 7:09,0.0029901,,2/22/20 7:09,0.9272269,,2/22/20 7:00,3.159364939
2/22/20 7:19,0.0481127,,2/22/20 7:19,0.0105961,,2/22/20 7:19,0.0014967,,2/22/20 7:19,0.9922096,,2/22/20 7:19,0.0031839,,2/22/20 7:10,64.56299248,,2/22/20 7:19,0.0034984,,2/22/20 7:10,64.56299248,,2/22/20 7:19,0.0490578,,2/22/20 7:19,0.0104122,,2/22/20 7:19,0.0028777,,2/22/20 7:19,1.000394,,2/22/20 7:10,3.159560442
2/22/20 7:29,0.0492314,,2/22/20 7:29,0.0094475,,2/22/20 7:29,0.0022398,,2/22/20 7:29,0.9379553,,2/22/20 7:29,0.0026463,,2/22/20 7:19,64.05627899,,2/22/20 7:29,0.0031252,,2/22/20 7:19,64.05627899,,2/22/20 7:29,0.0494318,,2/22/20 7:29,0.009968,,2/22/20 7:29,0.0016513,,2/22/20 7:29,0.9887662,,2/22/20 7:19,3.159364939
2/22/20 7:39,0.0505186,,2/22/20 7:39,0.0100235,,2/22/20 7:39,0.0024602,,2/22/20 7:39,0.9791123,,2/22/20 7:39,0.0031336,,2/22/20 7:29,64.09529419,,2/22/20 7:39,0.0032349,,2/22/20 7:29,64.09529419,,2/22/20 7:39,0.0425732,,2/22/20 7:39,0.0112941,,2/22/20 7:39,0.002261,,2/22/20 7:39,0.9891114,,2/22/20 7:29,3.15946269
2/22/20 7:49,0.0400716,,2/22/20 7:49,0.0098381,,2/22/20 7:49,0.0018024,,2/22/20 7:49,0.9640056,,2/22/20 7:49,0.0034235,,2/22/20 7:39,64.56299248,,2/22/20 7:49,0.0031674,,2/22/20 7:39,64.56299248,,2/22/20 7:49,0.0458707,,2/22/20 7:49,0.0118871,,2/22/20 7:49,0.0041086,,2/22/20 7:49,0.9838067,,2/22/20 7:39,3.158974409
2/22/20 7:58,0.0467361,,2/22/20 7:58,0.0119426,,2/22/20 7:58,0.0038016,,2/22/20 7:58,0.9476366,,2/22/20 7:58,0.0025272,,2/22/20 7:49,64.21219559,,2/22/20 7:58,0.0036201,,2/22/20 7:49,64.21219559,,2/22/20 7:58,0.0375145,,2/22/20 7:58,0.0075082,,2/22/20 7:58,0.0019034,,2/22/20 7:58,0.9907339,,2/22/20 7:49,3.159364939
2/22/20 8:09,0.0442055,,2/22/20 8:09,0.0090128,,2/22/20 8:09,0.0019407,,2/22/20 8:09,0.9220757,,2/22/20 8:09,0.00259,,2/22/20 7:59,64.13426132,,2/22/20 8:09,0.0029711,,2/22/20 7:59,64.13426132,,2/22/20 8:09,0.0458521,,2/22/20 8:09,0.0068449,,2/22/20 8:09,0.0021301,,2/22/20 8:09,0.9705794,,2/22/20 7:59,3.159560442
2/22/20 8:19,0.0422748,,2/22/20 8:19,0.0102021,,2/22/20 8:19,0.0031581,,2/22/20 8:19,0.9052172,,2/22/20 8:19,0.0033374,,2/22/20 8:09,63.70553017,,2/22/20 8:19,0.0034124,,2/22/20 8:09,63.70553017,,2/22/20 8:19,0.0445144,,2/22/20 8:19,0.0108995,,2/22/20 8:19,0.0034021,,2/22/20 8:19,0.9582554,,2/22/20 8:09,3.159169674
2/22/20 8:29,0.0479508,,2/22/20 8:29,0.0119149,,2/22/20 8:29,0.0021939,,2/22/20 8:29,0.9660305,,2/22/20 8:29,0.0031056,,2/22/20 8:19,64.29017792,,2/22/20 8:29,0.0035022,,2/22/20 8:19,64.29017792,,2/22/20 8:29,0.0491575,,2/22/20 8:29,0.0101837,,2/22/20 8:29,0.0033306,,2/22/20 8:29,1.0494943,,2/22/20 8:19,3.158876657
2/22/20 8:39,0.0445477,,2/22/20 8:39,0.0103081,,2/22/20 8:39,0.0029014,,2/22/20 8:39,0.9911276,,2/22/20 8:39,0.0027291,,2/22/20 8:29,64.29017792,,2/22/20 8:39,0.003103,,2/22/20 8:29,64.29017792,,2/22/20 8:39,0.0482869,,2/22/20 8:39,0.0090208,,2/22/20 8:39,0.0014694,,2/22/20 8:39,1.0076089,,2/22/20 8:29,3.159169674
2/22/20 8:49,0.044335,,2/22/20 8:49,0.0080658,,2/22/20 8:49,0.0024252,,2/22/20 8:49,0.9092618,,2/22/20 8:49,0.0035344,,2/22/20 8:39,63.7444973,,2/22/20 8:49,0.0026487,,2/22/20 8:39,63.7444973,,2/22/20 8:49,0.0473833,,2/22/20 8:49,0.0097655,,2/22/20 8:49,0.002162,,2/22/20 8:49,0.9946463,,2/22/20 8:39,3.158583641
2/22/20 8:59,0.0539836,,2/22/20 8:59,0.0086342,,2/22/20 8:59,0.0030556,,2/22/20 8:59,0.9405985,,2/22/20 8:59,0.0023322,,2/22/20 8:49,63.90041046,,2/22/20 8:59,0.0030788,,2/22/20 8:49,63.90041046,,2/22/20 8:59,0.0462037,,2/22/20 8:59,0.0075738,,2/22/20 8:59,0.0015688,,2/22/20 8:59,0.9834212,,2/22/20 8:49,3.158974409
2/22/20 9:08,0.0396585,,2/22/20 9:08,0.0078002,,2/22/20 9:08,0.002055,,2/22/20 9:08,0.9855888,,2/22/20 9:08,0.0031947,,2/22/20 8:59,63.7444973,,2/22/20 9:08,0.0024487,,2/22/20 8:59,63.7444973,,2/22/20 9:08,0.0458853,,2/22/20 9:08,0.0097536,,2/22/20 9:08,0.0024819,,2/22/20 9:08,0.9875004,,2/22/20 8:59,3.159072161
2/22/20 9:19,0.0462332,,2/22/20 9:19,0.0111208,,2/22/20 9:19,0.0030644,,2/22/20 9:19,0.9422627,,2/22/20 9:19,0.0032711,,2/22/20 9:09,63.8613987,,2/22/20 9:19,0.0034816,,2/22/20 9:09,63.8613987,,2/22/20 9:19,0.0405806,,2/22/20 9:19,0.0086325,,2/22/20 9:19,0.0035788,,2/22/20 9:19,0.9962918,,2/22/20 9:09,3.158876657
2/22/20 9:29,0.0472618,,2/22/20 9:29,0.0092373,,2/22/20 9:29,0.0023483,,2/22/20 9:29,0.9436383,,2/22/20 9:29,0.0032227,,2/22/20 9:20,64.21219559,,2/22/20 9:29,0.0032762,,2/22/20 9:20,64.21219559,,2/22/20 9:29,0.0380965,,2/22/20 9:29,0.0103936,,2/22/20 9:29,0.0036757,,2/22/20 9:29,0.9933287,,2/22/20 9:20,3.158974409
2/22/20 9:39,0.041122,,2/22/20 9:39,0.0123088,,2/22/20 9:39,0.0034201,,2/22/20 9:39,0.9523767,,2/22/20 9:39,0.0033802,,2/22/20 9:30,64.32914505,,2/22/20 9:39,0.0033959,,2/22/20 9:30,64.32914505,,2/22/20 9:39,0.0411114,,2/22/20 9:39,0.0090903,,2/22/20 9:39,0.0026945,,2/22/20 9:39,0.9871092,,2/22/20 9:30,3.158779144
2/22/20 9:49,0.0426218,,2/22/20 9:49,0.0091392,,2/22/20 9:49,0.0018456,,2/22/20 9:49,0.951846,,2/22/20 9:49,0.0029899,,2/22/20 9:40,63.97834473,,2/22/20 9:49,0.002736,,2/22/20 9:40,63.97834473,,2/22/20 9:49,0.0429139,,2/22/20 9:49,0.0096654,,2/22/20 9:49,0.0046135,,2/22/20 9:49,0.960367,,2/22/20 9:40,3.158681154
2/22/20 9:59,0.0478899,,2/22/20 9:59,0.0105676,,2/22/20 9:59,0.0020201,,2/22/20 9:59,1.0216244,,2/22/20 9:59,0.0029177,,2/22/20 9:50,64.40707932,,2/22/20 9:59,0.0029462,,2/22/20 9:50,64.40707932,,2/22/20 9:59,0.0454599,,2/22/20 9:59,0.0091534,,2/22/20 9:59,0.0027058,,2/22/20 9:59,0.9918386,,2/22/20 9:50,3.159169674
2/22/20 10:09,0.0446517,,2/22/20 10:09,0.0129523,,2/22/20 10:09,0.0052959,,2/22/20 10:09,0.9835897,,2/22/20 10:09,0.0031558,,2/22/20 10:00,63.7444973,,2/22/20 10:09,0.0038738,,2/22/20 10:00,63.7444973,,2/22/20 10:09,0.0425499,,2/22/20 10:09,0.0088086,,2/22/20 10:09,0.0025956,,2/22/20 10:09,0.9673459,,2/22/20 10:00,3.158876657
2/22/20 10:18,0.0490995,,2/22/20 10:18,0.0099448,,2/22/20 10:18,0.002333,,2/22/20 10:18,0.968349,,2/22/20 10:18,0.0025937,,2/22/20 10:09,64.05627899,,2/22/20 10:18,0.0035806,,2/22/20 10:09,64.05627899,,2/22/20 10:18,0.0454667,,2/22/20 10:18,0.0075799,,2/22/20 10:18,0.0023462,,2/22/20 10:18,1.0091163,,2/22/20 10:09,3.158583641
2/22/20 10:29,0.0475529,,2/22/20 10:29,0.010002,,2/22/20 10:29,0.0033807,,2/22/20 10:29,0.9831981,,2/22/20 10:29,0.0032174,,2/22/20 10:19,64.01731186,,2/22/20 10:29,0.0033983,,2/22/20 10:19,64.01731186,,2/22/20 10:29,0.037626,,2/22/20 10:29,0.0101512,,2/22/20 10:29,0.0019155,,2/22/20 10:29,0.9821957,,2/22/20 10:19,3.158290625
2/22/20 10:39,0.0479342,,2/22/20 10:39,0.0094138,,2/22/20 10:39,0.0045413,,2/22/20 10:39,0.9661644,,2/22/20 10:39,0.0031238,,2/22/20 10:30,63.97834473,,2/22/20 10:39,0.0032622,,2/22/20 10:30,63.97834473,,2/22/20 10:39,0.042697,,2/22/20 10:39,0.0100498,,2/22/20 10:39,0.0038179,,2/22/20 10:39,0.9814535,,2/22/20 10:30,3.158485889
2/22/20 10:49,0.0445202,,2/22/20 10:49,0.0103924,,2/22/20 10:49,0.0024545,,2/22/20 10:49,0.9214832,,2/22/20 10:49,0.0030278,,2/22/20 10:40,63.8613987,,2/22/20 10:49,0.0032447,,2/22/20 10:40,63.8613987,,2/22/20 10:49,0.05616,,2/22/20 10:49,0.0091112,,2/22/20 10:49,0.0017608,,2/22/20 10:49,0.9884613,,2/22/20 10:40,3.15809536
2/22/20 10:59,0.048127,,2/22/20 10:59,0.0090098,,2/22/20 10:59,0.0031342,,2/22/20 10:59,0.920901,,2/22/20 10:59,0.0034327,,2/22/20 10:50,63.549617,,2/22/20 10:59,0.0028493,,2/22/20 10:50,63.549617,,2/22/20 10:59,0.0394808,,2/22/20 10:59,0.0120413,,2/22/20 10:59,0.0028788,,2/22/20 10:59,1.0017864,,2/22/20 10:50,3.158290625
2/22/20 11:09,0.0494295,,2/22/20 11:09,0.0089294,,2/22/20 11:09,0.0025345,,2/22/20 11:09,0.9528507,,2/22/20 11:09,0.0027841,,2/22/20 11:00,63.90041046,,2/22/20 11:09,0.0029599,,2/22/20 11:00,63.90041046,,2/22/20 11:09,0.0415555,,2/22/20 11:09,0.0098161,,2/22/20 11:09,0.0027008,,2/22/20 11:09,0.9899802,,2/22/20 11:00,3.158290625
2/22/20 11:19,0.0663462,,2/22/20 11:19,0.013138,,2/22/20 11:19,0.0018729,,2/22/20 11:19,1.0126799,,2/22/20 11:19,0.0024944,,2/22/20 11:09,63.82243156,,2/22/20 11:19,0.0030336,,2/22/20 11:09,63.82243156,,2/22/20 11:19,0.0452901,,2/22/20 11:19,0.0077233,,2/22/20 11:19,0.002039,,2/22/20 11:19,0.9683528,,2/22/20 11:09,3.158583641
2/22/20 11:29,0.0503824,,2/22/20 11:29,0.0100299,,2/22/20 11:29,0.002906,,2/22/20 11:29,0.9441433,,2/22/20 11:29,0.0033924,,2/22/20 11:19,63.8613987,,2/22/20 11:29,0.0033403,,2/22/20 11:19,63.8613987,,2/22/20 11:29,0.0470825,,2/22/20 11:29,0.0112247,,2/22/20 11:29,0.0026269,,2/22/20 11:29,0.9863612,,2/22/20 11:19,3.158290625
2/22/20 11:39,0.0397053,,2/22/20 11:39,0.0080186,,2/22/20 11:39,0.0028964,,2/22/20 11:39,0.9465752,,2/22/20 11:39,0.0025504,,2/22/20 11:29,64.01731186,,2/22/20 11:39,0.0029738,,2/22/20 11:29,64.01731186,,2/22/20 11:39,0.0396553,,2/22/20 11:39,0.0080919,,2/22/20 11:39,0.0020901,,2/22/20 11:39,0.9803719,,2/22/20 11:29,3.15809536
2/22/20 11:49,0.0491904,,2/22/20 11:49,0.0102736,,2/22/20 11:49,0.0023858,,2/22/20 11:49,1.0001545,,2/22/20 11:49,0.002872,,2/22/20 11:40,63.93937759,,2/22/20 11:49,0.0031481,,2/22/20 11:40,63.93937759,,2/22/20 11:49,0.0432086,,2/22/20 11:49,0.0080352,,2/22/20 11:49,0.0018085,,2/22/20 11:49,0.9730994,,2/22/20 11:40,3.158192873
2/22/20 11:59,0.0500806,,2/22/20 11:59,0.0103952,,2/22/20 11:59,0.0021795,,2/22/20 11:59,0.9840689,,2/22/20 11:59,0.0026766,,2/22/20 11:50,64.21219559,,2/22/20 11:59,0.003799,,2/22/20 11:50,64.21219559,,2/22/20 11:59,0.0422602,,2/22/20 11:59,0.0085691,,2/22/20 11:59,0.002129,,2/22/20 11:59,0.9989326,,2/22/20 11:50,3.158192873
2/22/20 12:09,0.0496353,,2/22/20 12:09,0.0095762,,2/22/20 12:09,0.0025206,,2/22/20 12:09,0.9652216,,2/22/20 12:09,0.003046,,2/22/20 11:59,63.58858414,,2/22/20 12:09,0.0030823,,2/22/20 11:59,63.58858414,,2/22/20 12:09,0.0418264,,2/22/20 12:09,0.0087981,,2/22/20 12:09,0.0019062,,2/22/20 12:09,1.0138802,,2/22/20 11:59,3.158681154
2/22/20 12:19,0.0474764,,2/22/20 12:19,0.0097796,,2/22/20 12:19,0.0021855,,2/22/20 12:19,0.9567356,,2/22/20 12:19,0.002981,,2/22/20 12:09,63.51064987,,2/22/20 12:19,0.0031298,,2/22/20 12:09,63.51064987,,2/22/20 12:19,0.0410022,,2/22/20 12:19,0.0101942,,2/22/20 12:19,0.0021698,,2/22/20 12:19,1.0019302,,2/22/20 12:09,3.15809536
2/22/20 12:29,0.0426896,,2/22/20 12:29,0.0096963,,2/22/20 12:29,0.0027957,,2/22/20 12:29,0.9600383,,2/22/20 12:29,0.0026869,,2/22/20 12:19,63.78346443,,2/22/20 12:29,0.0031504,,2/22/20 12:19,63.78346443,,2/22/20 12:29,0.0367322,,2/22/20 12:29,0.0093484,,2/22/20 12:29,0.001384,,2/22/20 12:29,1.0102382,,2/22/20 12:19,3.157704353
2/22/20 12:39,0.0453928,,2/22/20 12:39,0.0100218,,2/22/20 12:39,0.003128,,2/22/20 12:39,0.9531547,,2/22/20 12:39,0.0029826,,2/22/20 12:29,63.549617,,2/22/20 12:39,0.0034366,,2/22/20 12:29,63.549617,,2/22/20 12:39,0.0361932,,2/22/20 12:39,0.0082908,,2/22/20 12:39,0.002081,,2/22/20 12:39,0.9235274,,2/22/20 12:29,3.15809536
2/22/20 12:48,0.0429858,,2/22/20 12:48,0.0146531,,2/22/20 12:48,0.0031183,,2/22/20 12:48,0.9462867,,2/22/20 12:48,0.0026376,,2/22/20 12:39,63.58858414,,2/22/20 12:48,0.0038416,,2/22/20 12:39,63.58858414,,2/22/20 12:48,0.0484858,,2/22/20 12:48,0.0082398,,2/22/20 12:48,0.0025659,,2/22/20 12:48,0.9887547,,2/22/20 12:39,3.158290625
2/22/20 12:59,0.0432887,,2/22/20 12:59,0.0089045,,2/22/20 12:59,0.0016455,,2/22/20 12:59,0.9464052,,2/22/20 13:09,0.0030609,,2/22/20 12:50,64.09529419,,2/22/20 12:59,0.0030794,,2/22/20 12:50,64.09529419,,2/22/20 13:09,0.0472488,,2/22/20 13:09,0.0099227,,2/22/20 13:09,0.0031525,,2/22/20 13:09,1.0093349,,2/22/20 12:50,3.15809536
2/22/20 13:09,0.0434268,,2/22/20 13:09,0.0109665,,2/22/20 13:09,0.0028986,,2/22/20 13:09,0.9994641,,2/22/20 13:19,0.0028,,2/22/20 12:59,63.8613987,,2/22/20 13:09,0.0039073,,2/22/20 12:59,63.8613987,,2/22/20 13:19,0.0456383,,2/22/20 13:19,0.0093833,,2/22/20 13:19,0.0029121,,2/22/20 13:19,0.9784559,,2/22/20 12:59,3.158192873
2/22/20 13:19,0.0438193,,2/22/20 13:19,0.0113799,,2/22/20 13:19,0.0029721,,2/22/20 13:19,0.9516296,,2/22/20 13:29,0.0030545,,2/22/20 13:09,63.7444973,,2/22/20 13:19,0.002963,,2/22/20 13:09,63.7444973,,2/22/20 13:29,0.0368214,,2/22/20 13:29,0.009541,,2/22/20 13:29,0.003092,,2/22/20 13:29,0.9983227,,2/22/20 13:09,3.157899857
2/22/20 13:29,0.0527958,,2/22/20 13:29,0.0094367,,2/22/20 13:29,0.0030038,,2/22/20 13:29,0.9810444,,2/22/20 13:39,0.0028057,,2/22/20 13:19,63.82243156,,2/22/20 13:29,0.0033246,,2/22/20 13:19,63.82243156,,2/22/20 13:39,0.0380336,,2/22/20 13:39,0.0078859,,2/22/20 13:39,0.0022462,,2/22/20 13:39,0.9593831,,2/22/20 13:19,3.157704353
2/22/20 13:39,0.0477044,,2/22/20 13:39,0.0111166,,2/22/20 13:39,0.001945,,2/22/20 13:39,0.9684572,,2/22/20 13:49,0.0025151,,2/22/20 13:29,63.8613987,,2/22/20 13:39,0.0032758,,2/22/20 13:29,63.8613987,,2/22/20 13:49,0.042755,,2/22/20 13:49,0.007396,,2/22/20 13:49,0.002188,,2/22/20 13:49,0.9937372,,2/22/20 13:29,3.157704353
2/22/20 13:49,0.0406135,,2/22/20 13:49,0.008565,,2/22/20 13:49,0.0019363,,2/22/20 13:49,0.9832187,,2/22/20 13:58,0.002551,,2/22/20 13:39,63.7444973,,2/22/20 13:49,0.0030538,,2/22/20 13:39,63.7444973,,2/22/20 13:58,0.0397075,,2/22/20 13:58,0.0081108,,2/22/20 13:58,0.0015914,,2/22/20 13:58,0.9460753,,2/22/20 13:39,3.157216072
2/22/20 13:58,0.0454975,,2/22/20 13:58,0.011336,,2/22/20 13:58,0.0040219,,2/22/20 13:58,0.9255948,,2/22/20 14:09,0.0026603,,2/22/20 13:49,64.05627899,,2/22/20 13:58,0.0033808,,2/22/20 13:49,64.05627899,,2/22/20 14:09,0.0377458,,2/22/20 14:09,0.007653,,2/22/20 14:09,0.0010839,,2/22/20 14:09,1.0079081,,2/22/20 13:49,3.157704353
2/22/20 14:09,0.0475458,,2/22/20 14:09,0.009265,,2/22/20 14:09,0.0022001,,2/22/20 14:09,0.9557155,,2/22/20 14:19,0.0026942,,2/22/20 13:59,64.01731186,,2/22/20 14:09,0.0030466,,2/22/20 13:59,64.01731186,,2/22/20 14:19,0.0484671,,2/22/20 14:19,0.0083124,,2/22/20 14:19,0.0016004,,2/22/20 14:19,1.0294664,,2/22/20 13:59,3.157509089
2/22/20 14:19,0.054433,,2/22/20 14:19,0.0079423,,2/22/20 14:19,0.0016737,,2/22/20 14:19,0.9405418,,2/22/20 14:29,0.0026799,,2/22/20 14:10,63.82243156,,2/22/20 14:19,0.0023174,,2/22/20 14:10,63.82243156,,2/22/20 14:29,0.0395936,,2/22/20 14:29,0.0086433,,2/22/20 14:29,0.0015194,,2/22/20 14:29,0.9687901,,2/22/20 14:10,3.156825542
2/22/20 14:29,0.0456522,,2/22/20 14:29,0.0102274,,2/22/20 14:29,0.0019338,,2/22/20 14:29,0.9476417,,2/22/20 14:39,0.003789,,2/22/20 14:20,64.05627899,,2/22/20 14:29,0.0026513,,2/22/20 14:20,64.05627899,,2/22/20 14:39,0.0430906,,2/22/20 14:39,0.0118309,,2/22/20 14:39,0.0022121,,2/22/20 14:39,0.9473411,,2/22/20 14:20,3.157411337
2/22/20 14:39,0.0472155,,2/22/20 14:39,0.0075759,,2/22/20 14:39,0.0022297,,2/22/20 14:39,0.9424842,,2/22/20 14:49,0.0024669,,2/22/20 14:30,63.93937759,,2/22/20 14:39,0.0027434,,2/22/20 14:30,63.93937759,,2/22/20 14:49,0.0409727,,2/22/20 14:49,0.0071749,,2/22/20 14:49,0.0019473,,2/22/20 14:49,1.0216416,,2/22/20 14:30,3.157216072
