Machines > Bridgeport Mill 3 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 3 > Spindle > Battery Voltage,
2/22/20 6:39,0.004289,,2/22/20 6:39,0.9713328,,2/22/20 6:39,0.0496811,,2/22/20 6:39,0.0148434,,2/22/20 6:39,0.0429418,,2/22/20 6:39,0.0106628,,2/22/20 6:39,0.0049524,,2/22/20 6:29,64.73333206,,2/22/20 6:39,0.0038544,,2/22/20 6:29,64.73333206,,2/22/20 6:39,0.0023224,,2/22/20 6:39,1.0477655,,2/22/20 6:29,3.132405519
2/22/20 6:48,0.0036165,,2/22/20 6:48,0.993364,,2/22/20 6:48,0.0515722,,2/22/20 6:48,0.0172598,,2/22/20 6:48,0.0447815,,2/22/20 6:48,0.0151417,,2/22/20 6:48,0.0049406,,2/22/20 6:39,65.21001854,,2/22/20 6:48,0.0042981,,2/22/20 6:39,65.21001854,,2/22/20 6:48,0.004075,,2/22/20 6:48,1.0314712,,2/22/20 6:39,3.132112265
2/22/20 6:59,0.0027372,,2/22/20 6:59,1.0001717,,2/22/20 6:59,0.0468598,,2/22/20 6:59,0.0159034,,2/22/20 6:59,0.0418138,,2/22/20 6:59,0.014067,,2/22/20 6:59,0.0045511,,2/22/20 6:49,64.69667549,,2/22/20 6:59,0.0050438,,2/22/20 6:49,64.69667549,,2/22/20 6:59,0.0038807,,2/22/20 6:59,1.0555127,,2/22/20 6:49,3.132503033
2/22/20 7:09,0.0054197,,2/22/20 7:09,1.0210334,,2/22/20 7:09,0.0446891,,2/22/20 7:09,0.0164902,,2/22/20 7:09,0.044669,,2/22/20 7:09,0.0159256,,2/22/20 7:09,0.0059271,,2/22/20 7:00,64.47668457,,2/22/20 7:09,0.004879,,2/22/20 7:00,64.47668457,,2/22/20 7:09,0.0034358,,2/22/20 7:09,1.0504546,,2/22/20 7:00,3.132405519
2/22/20 7:19,0.0031276,,2/22/20 7:19,0.9994199,,2/22/20 7:19,0.0523041,,2/22/20 7:19,0.014036,,2/22/20 7:19,0.0466404,,2/22/20 7:19,0.0201778,,2/22/20 7:19,0.0045827,,2/22/20 7:10,64.33001022,,2/22/20 7:19,0.0062085,,2/22/20 7:10,64.33001022,,2/22/20 7:19,0.0059699,,2/22/20 7:19,1.0646998,,2/22/20 7:10,3.131721735
2/22/20 7:29,0.0028247,,2/22/20 7:29,1.0084621,,2/22/20 7:29,0.0552546,,2/22/20 7:29,0.0181635,,2/22/20 7:29,0.047862,,2/22/20 7:29,0.0129164,,2/22/20 7:29,0.0047587,,2/22/20 7:19,64.43998337,,2/22/20 7:29,0.0046302,,2/22/20 7:19,64.43998337,,2/22/20 7:29,0.0036397,,2/22/20 7:29,1.0338454,,2/22/20 7:19,3.132210016
2/22/20 7:39,0.007732,,2/22/20 7:39,1.015583,,2/22/20 7:39,0.0466923,,2/22/20 7:39,0.0212207,,2/22/20 7:39,0.0436034,,2/22/20 7:39,0.0134288,,2/22/20 7:39,0.0060125,,2/22/20 7:29,64.18333588,,2/22/20 7:39,0.0041811,,2/22/20 7:29,64.18333588,,2/22/20 7:39,0.0022373,,2/22/20 7:39,1.0717683,,2/22/20 7:29,3.132210016
2/22/20 7:49,0.0023942,,2/22/20 7:49,0.9963084,,2/22/20 7:49,0.055216,,2/22/20 7:49,0.0189226,,2/22/20 7:49,0.0463273,,2/22/20 7:49,0.0156087,,2/22/20 7:49,0.0053219,,2/22/20 7:39,64.51334457,,2/22/20 7:49,0.0054414,,2/22/20 7:39,64.51334457,,2/22/20 7:49,0.0050644,,2/22/20 7:49,1.0086788,,2/22/20 7:39,3.131428719
2/22/20 7:58,0.0029788,,2/22/20 7:58,0.9854077,,2/22/20 7:58,0.0457642,,2/22/20 7:58,0.0163992,,2/22/20 7:58,0.0496922,,2/22/20 7:58,0.0173356,,2/22/20 7:58,0.0048671,,2/22/20 7:49,64.00000153,,2/22/20 7:58,0.0047192,,2/22/20 7:49,64.00000153,,2/22/20 7:58,0.0031342,,2/22/20 7:58,1.033257,,2/22/20 7:49,3.131917
2/22/20 8:09,0.0056534,,2/22/20 8:09,0.9922781,,2/22/20 8:09,0.0472739,,2/22/20 8:09,0.0187577,,2/22/20 8:09,0.0467214,,2/22/20 8:09,0.0170287,,2/22/20 8:09,0.0056693,,2/22/20 7:59,63.85332718,,2/22/20 8:09,0.00533,,2/22/20 7:59,63.85332718,,2/22/20 8:09,0.0018832,,2/22/20 8:09,1.0567695,,2/22/20 7:59,3.131819248
2/22/20 8:19,0.0037411,,2/22/20 8:19,1.0048703,,2/22/20 8:19,0.0608873,,2/22/20 8:19,0.0131044,,2/22/20 8:19,0.0468821,,2/22/20 8:19,0.0170082,,2/22/20 8:19,0.0046491,,2/22/20 8:09,63.52331505,,2/22/20 8:19,0.0045819,,2/22/20 8:09,63.52331505,,2/22/20 8:19,0.0029632,,2/22/20 8:19,1.043301,,2/22/20 8:09,3.131526232
2/22/20 8:29,0.0059712,,2/22/20 8:29,0.9937816,,2/22/20 8:29,0.046738,,2/22/20 8:29,0.0167155,,2/22/20 8:29,0.0488234,,2/22/20 8:29,0.0178105,,2/22/20 8:29,0.0060713,,2/22/20 8:19,63.96334152,,2/22/20 8:29,0.0054356,,2/22/20 8:19,63.96334152,,2/22/20 8:29,0.0044482,,2/22/20 8:29,1.0461836,,2/22/20 8:19,3.131721735
2/22/20 8:39,0.0039452,,2/22/20 8:39,0.9540838,,2/22/20 8:39,0.0456205,,2/22/20 8:39,0.0147195,,2/22/20 8:39,0.0411967,,2/22/20 8:39,0.0146319,,2/22/20 8:39,0.0051231,,2/22/20 8:29,63.81666718,,2/22/20 8:39,0.0050097,,2/22/20 8:29,63.81666718,,2/22/20 8:39,0.0039915,,2/22/20 8:39,1.0535307,,2/22/20 8:29,3.131526232
2/22/20 8:49,0.0029164,,2/22/20 8:49,1.0002552,,2/22/20 8:49,0.0506736,,2/22/20 8:49,0.0151082,,2/22/20 8:49,0.0410307,,2/22/20 8:49,0.0141818,,2/22/20 8:49,0.0047727,,2/22/20 8:39,63.66999283,,2/22/20 8:49,0.0042776,,2/22/20 8:39,63.66999283,,2/22/20 8:49,0.0028605,,2/22/20 8:49,1.0151201,,2/22/20 8:39,3.131428719
2/22/20 8:59,0.0031192,,2/22/20 8:59,0.9669266,,2/22/20 8:59,0.0413708,,2/22/20 8:59,0.0129883,,2/22/20 8:59,0.0399691,,2/22/20 8:59,0.0139433,,2/22/20 8:59,0.0048071,,2/22/20 8:49,63.30332413,,2/22/20 8:59,0.0046928,,2/22/20 8:49,63.30332413,,2/22/20 8:59,0.0033455,,2/22/20 8:59,1.0087149,,2/22/20 8:49,3.131233215
2/22/20 9:08,0.004822,,2/22/20 9:08,0.9863056,,2/22/20 9:08,0.0407742,,2/22/20 9:08,0.0150279,,2/22/20 9:08,0.0433847,,2/22/20 9:08,0.0160352,,2/22/20 9:08,0.0052427,,2/22/20 8:59,63.37668533,,2/22/20 9:08,0.0047334,,2/22/20 8:59,63.37668533,,2/22/20 9:08,0.0044465,,2/22/20 9:08,1.0424622,,2/22/20 8:59,3.131917
2/22/20 9:19,0.0048707,,2/22/20 9:19,0.9807926,,2/22/20 9:19,0.0574308,,2/22/20 9:19,0.0151379,,2/22/20 9:19,0.0486251,,2/22/20 9:19,0.015149,,2/22/20 9:19,0.0050308,,2/22/20 9:09,63.44999847,,2/22/20 9:19,0.0045808,,2/22/20 9:09,63.44999847,,2/22/20 9:19,0.0039145,,2/22/20 9:19,1.0622534,,2/22/20 9:09,3.131623983
2/22/20 9:29,0.0060316,,2/22/20 9:29,0.9914636,,2/22/20 9:29,0.048716,,2/22/20 9:29,0.0166603,,2/22/20 9:29,0.0542229,,2/22/20 9:29,0.0186983,,2/22/20 9:29,0.006066,,2/22/20 9:20,63.23001099,,2/22/20 9:29,0.0047165,,2/22/20 9:20,63.23001099,,2/22/20 9:29,0.0022778,,2/22/20 9:29,1.0357861,,2/22/20 9:20,3.131135464
2/22/20 9:39,0.0034699,,2/22/20 9:39,1.0007773,,2/22/20 9:39,0.0445717,,2/22/20 9:39,0.0186198,,2/22/20 9:39,0.0451627,,2/22/20 9:39,0.0133163,,2/22/20 9:39,0.0056051,,2/22/20 9:30,63.4133419,,2/22/20 9:39,0.0052327,,2/22/20 9:30,63.4133419,,2/22/20 9:39,0.0045616,,2/22/20 9:39,1.0413087,,2/22/20 9:30,3.131330729
2/22/20 9:49,0.0041811,,2/22/20 9:49,1.0085456,,2/22/20 9:49,0.0488402,,2/22/20 9:49,0.0146424,,2/22/20 9:49,0.0571885,,2/22/20 9:49,0.0165337,,2/22/20 9:49,0.0050118,,2/22/20 9:40,63.30332413,,2/22/20 9:49,0.0042239,,2/22/20 9:40,63.30332413,,2/22/20 9:49,0.0043064,,2/22/20 9:49,1.0250582,,2/22/20 9:40,3.131233215
2/22/20 9:59,0.0035008,,2/22/20 9:59,1.0001508,,2/22/20 9:59,0.047814,,2/22/20 9:59,0.0155535,,2/22/20 9:59,0.0424153,,2/22/20 9:59,0.0138895,,2/22/20 9:59,0.0050572,,2/22/20 9:50,63.15664978,,2/22/20 9:59,0.0041686,,2/22/20 9:50,63.15664978,,2/22/20 9:59,0.0029204,,2/22/20 9:59,1.0167949,,2/22/20 9:50,3.131623983
2/22/20 10:09,0.0043136,,2/22/20 10:09,1.0108009,,2/22/20 10:09,0.044987,,2/22/20 10:09,0.0147238,,2/22/20 10:09,0.0416094,,2/22/20 10:09,0.0167557,,2/22/20 10:09,0.0053706,,2/22/20 10:00,63.26666756,,2/22/20 10:09,0.0043723,,2/22/20 10:00,63.26666756,,2/22/20 10:09,0.002204,,2/22/20 10:09,1.0403977,,2/22/20 10:00,3.131330729
2/22/20 10:19,0.0037011,,2/22/20 10:19,0.9601815,,2/22/20 10:19,0.0479529,,2/22/20 10:19,0.0170981,,2/22/20 10:19,0.0404435,,2/22/20 10:19,0.0135219,,2/22/20 10:19,0.0047561,,2/22/20 10:09,63.30332413,,2/22/20 10:19,0.0045805,,2/22/20 10:09,63.30332413,,2/22/20 10:19,0.0028695,,2/22/20 10:19,1.0497578,,2/22/20 10:09,3.130940199
2/22/20 10:29,0.0036116,,2/22/20 10:29,0.9666134,,2/22/20 10:29,0.0453193,,2/22/20 10:29,0.0151384,,2/22/20 10:29,0.0428255,,2/22/20 10:29,0.0141607,,2/22/20 10:29,0.0055315,,2/22/20 10:19,62.97331543,,2/22/20 10:29,0.004697,,2/22/20 10:19,62.97331543,,2/22/20 10:29,0.0044132,,2/22/20 10:29,1.0166298,,2/22/20 10:19,3.130940199
2/22/20 10:39,0.0026547,,2/22/20 10:39,0.9495314,,2/22/20 10:39,0.0461738,,2/22/20 10:39,0.0175653,,2/22/20 10:39,0.0410854,,2/22/20 10:39,0.0176452,,2/22/20 10:39,0.0053509,,2/22/20 10:30,63.30332413,,2/22/20 10:39,0.0049874,,2/22/20 10:30,63.30332413,,2/22/20 10:39,0.0026127,,2/22/20 10:39,1.0178608,,2/22/20 10:30,3.130940199
2/22/20 10:49,0.0035844,,2/22/20 10:49,0.9809806,,2/22/20 10:49,0.0437377,,2/22/20 10:49,0.0141992,,2/22/20 10:49,0.0423708,,2/22/20 10:49,0.0153306,,2/22/20 10:49,0.0050042,,2/22/20 10:40,63.23001099,,2/22/20 10:49,0.0054189,,2/22/20 10:40,63.23001099,,2/22/20 10:49,0.0035559,,2/22/20 10:49,1.0223924,,2/22/20 10:40,3.130647182
2/22/20 10:59,0.0035918,,2/22/20 10:59,0.9692237,,2/22/20 10:59,0.0488549,,2/22/20 10:59,0.0146358,,2/22/20 10:59,0.0421956,,2/22/20 10:59,0.0188623,,2/22/20 10:59,0.0046572,,2/22/20 10:50,62.64335136,,2/22/20 10:59,0.0051431,,2/22/20 10:50,62.64335136,,2/22/20 10:59,0.0044053,,2/22/20 10:59,1.021213,,2/22/20 10:50,3.131135464
2/22/20 11:09,0.0021657,,2/22/20 11:09,1.0200519,,2/22/20 11:09,0.0450773,,2/22/20 11:09,0.0168592,,2/22/20 11:09,0.0465987,,2/22/20 11:09,0.0153613,,2/22/20 11:09,0.0049082,,2/22/20 11:00,63.23001099,,2/22/20 11:09,0.0050424,,2/22/20 11:00,63.23001099,,2/22/20 11:09,0.003299,,2/22/20 11:09,1.0590069,,2/22/20 11:00,3.130549431
2/22/20 11:19,0.0035264,,2/22/20 11:19,0.9850318,,2/22/20 11:19,0.0494464,,2/22/20 11:19,0.0156706,,2/22/20 11:19,0.04649,,2/22/20 11:19,0.0135416,,2/22/20 11:19,0.0049153,,2/22/20 11:09,62.90000229,,2/22/20 11:19,0.0043165,,2/22/20 11:09,62.90000229,,2/22/20 11:19,0.0031408,,2/22/20 11:19,1.0396261,,2/22/20 11:09,3.130647182
2/22/20 11:29,0.005168,,2/22/20 11:29,0.9997749,,2/22/20 11:29,0.0503422,,2/22/20 11:29,0.0142927,,2/22/20 11:29,0.0483035,,2/22/20 11:29,0.0129135,,2/22/20 11:29,0.005106,,2/22/20 11:19,62.82668228,,2/22/20 11:29,0.0048377,,2/22/20 11:19,62.82668228,,2/22/20 11:29,0.0033726,,2/22/20 11:29,1.0461294,,2/22/20 11:19,3.130940199
2/22/20 11:39,0.0042736,,2/22/20 11:39,0.9919231,,2/22/20 11:39,0.0469789,,2/22/20 11:39,0.0150854,,2/22/20 11:39,0.0441969,,2/22/20 11:39,0.0154847,,2/22/20 11:39,0.0053231,,2/22/20 11:29,62.82668228,,2/22/20 11:39,0.004278,,2/22/20 11:29,62.82668228,,2/22/20 11:39,0.0025732,,2/22/20 11:39,1.0283615,,2/22/20 11:29,3.131135464
2/22/20 11:49,0.0023973,,2/22/20 11:49,1.0120957,,2/22/20 11:49,0.0443883,,2/22/20 11:49,0.0152936,,2/22/20 11:49,0.0478294,,2/22/20 11:49,0.0143408,,2/22/20 11:49,0.0047359,,2/22/20 11:40,63.08333321,,2/22/20 11:49,0.0041674,,2/22/20 11:40,63.08333321,,2/22/20 11:49,0.0030542,,2/22/20 11:49,1.0091794,,2/22/20 11:40,3.130451918
2/22/20 11:59,0.0036953,,2/22/20 11:59,1.0329574,,2/22/20 11:59,0.0463126,,2/22/20 11:59,0.0165828,,2/22/20 11:59,0.041525,,2/22/20 11:59,0.0163282,,2/22/20 11:59,0.0051534,,2/22/20 11:50,62.90000229,,2/22/20 11:59,0.0057493,,2/22/20 11:50,62.90000229,,2/22/20 11:59,0.0063519,,2/22/20 11:59,1.0228002,,2/22/20 11:50,3.130647182
2/22/20 12:09,0.0027509,,2/22/20 12:09,0.9636689,,2/22/20 12:09,0.0468209,,2/22/20 12:09,0.0152427,,2/22/20 12:09,0.0416336,,2/22/20 12:09,0.016894,,2/22/20 12:09,0.0056993,,2/22/20 11:59,62.56999359,,2/22/20 12:09,0.0048991,,2/22/20 11:59,62.56999359,,2/22/20 12:09,0.0025155,,2/22/20 12:09,1.0473397,,2/22/20 11:59,3.130842447
2/22/20 12:19,0.0038236,,2/22/20 12:19,0.9840921,,2/22/20 12:19,0.0468525,,2/22/20 12:19,0.0208523,,2/22/20 12:19,0.0428472,,2/22/20 12:19,0.0155422,,2/22/20 12:19,0.0051651,,2/22/20 12:09,62.64335136,,2/22/20 12:19,0.00507,,2/22/20 12:09,62.64335136,,2/22/20 12:19,0.0041032,,2/22/20 12:19,1.0112672,,2/22/20 12:09,3.130549431
2/22/20 12:29,0.004409,,2/22/20 12:29,1.0139124,,2/22/20 12:29,0.0514628,,2/22/20 12:29,0.0143649,,2/22/20 12:29,0.0491491,,2/22/20 12:29,0.0154879,,2/22/20 12:29,0.0048813,,2/22/20 12:19,62.60664673,,2/22/20 12:29,0.0050353,,2/22/20 12:19,62.60664673,,2/22/20 12:29,0.0046887,,2/22/20 12:29,1.0121059,,2/22/20 12:19,3.130647182
2/22/20 12:39,0.007602,,2/22/20 12:39,0.9970184,,2/22/20 12:39,0.0592451,,2/22/20 12:39,0.0189556,,2/22/20 12:39,0.053494,,2/22/20 12:39,0.0141639,,2/22/20 12:39,0.0063094,,2/22/20 12:29,62.71666794,,2/22/20 12:39,0.0047828,,2/22/20 12:29,62.71666794,,2/22/20 12:39,0.0042509,,2/22/20 12:39,1.0613914,,2/22/20 12:29,3.130940199
2/22/20 12:48,0.0026635,,2/22/20 12:48,0.9965381,,2/22/20 12:48,0.0495754,,2/22/20 12:48,0.0138191,,2/22/20 12:48,0.0445194,,2/22/20 12:48,0.0183573,,2/22/20 12:48,0.0051009,,2/22/20 12:39,62.82668228,,2/22/20 12:48,0.0049351,,2/22/20 12:39,62.82668228,,2/22/20 12:48,0.0032574,,2/22/20 12:48,1.0366867,,2/22/20 12:39,3.130451918
2/22/20 12:59,0.004471,,2/22/20 12:59,0.9965381,,2/22/20 12:59,0.0487685,,2/22/20 12:59,0.0165678,,2/22/20 12:59,0.0499518,,2/22/20 12:59,0.0156429,,2/22/20 12:59,0.0056496,,2/22/20 12:50,63.01001663,,2/22/20 12:59,0.0055754,,2/22/20 12:50,63.01001663,,2/22/20 12:59,0.003259,,2/22/20 12:59,1.035897,,2/22/20 12:50,3.130549431
2/22/20 13:09,0.0058847,,2/22/20 13:09,0.9650472,,2/22/20 13:09,0.0472069,,2/22/20 13:09,0.0183262,,2/22/20 13:09,0.0428304,,2/22/20 13:09,0.0155782,,2/22/20 13:09,0.0059951,,2/22/20 12:59,62.97331543,,2/22/20 13:09,0.0053,,2/22/20 12:59,62.97331543,,2/22/20 13:09,0.0040472,,2/22/20 13:09,1.0374454,,2/22/20 12:59,3.130060911
2/22/20 13:19,0.0041436,,2/22/20 13:19,0.9845306,,2/22/20 13:19,0.0463529,,2/22/20 13:19,0.0164149,,2/22/20 13:19,0.0469942,,2/22/20 13:19,0.0124139,,2/22/20 13:19,0.0047268,,2/22/20 13:09,62.90000229,,2/22/20 13:19,0.0042002,,2/22/20 13:09,62.90000229,,2/22/20 13:19,0.0027697,,2/22/20 13:19,1.0288002,,2/22/20 13:09,3.130158663
2/22/20 13:29,0.005681,,2/22/20 13:29,1.0039932,,2/22/20 13:29,0.0591957,,2/22/20 13:29,0.0169179,,2/22/20 13:29,0.0402244,,2/22/20 13:29,0.0169834,,2/22/20 13:29,0.0052297,,2/22/20 13:19,62.49667358,,2/22/20 13:29,0.0045119,,2/22/20 13:19,62.49667358,,2/22/20 13:29,0.0042612,,2/22/20 13:29,1.0269963,,2/22/20 13:19,3.130060911
2/22/20 13:39,0.0039052,,2/22/20 13:39,0.9829018,,2/22/20 13:39,0.0471039,,2/22/20 13:39,0.0155244,,2/22/20 13:39,0.0466436,,2/22/20 13:39,0.0157438,,2/22/20 13:39,0.0051494,,2/22/20 13:29,62.46002045,,2/22/20 13:39,0.0044225,,2/22/20 13:29,62.46002045,,2/22/20 13:39,0.0039289,,2/22/20 13:39,1.0295331,,2/22/20 13:29,3.130158663
2/22/20 13:49,0.0033626,,2/22/20 13:49,0.9940113,,2/22/20 13:49,0.0498023,,2/22/20 13:49,0.0155918,,2/22/20 13:49,0.0446498,,2/22/20 13:49,0.0156703,,2/22/20 13:49,0.0050977,,2/22/20 13:39,62.60664673,,2/22/20 13:49,0.0047101,,2/22/20 13:39,62.60664673,,2/22/20 13:49,0.0030596,,2/22/20 13:49,1.0333267,,2/22/20 13:39,3.129670382
2/22/20 13:58,0.0058074,,2/22/20 13:58,0.9843009,,2/22/20 13:58,0.0442876,,2/22/20 13:58,0.0177073,,2/22/20 13:58,0.0456203,,2/22/20 13:58,0.0148525,,2/22/20 13:58,0.0051891,,2/22/20 13:49,62.93665543,,2/22/20 13:58,0.0053215,,2/22/20 13:49,62.93665543,,2/22/20 13:58,0.003863,,2/22/20 13:58,1.0358093,,2/22/20 13:49,3.129768133
2/22/20 14:09,0.0034211,,2/22/20 14:09,0.9998585,,2/22/20 14:09,0.0509955,,2/22/20 14:09,0.015417,,2/22/20 14:09,0.0424129,,2/22/20 14:09,0.0147859,,2/22/20 14:09,0.0047225,,2/22/20 13:59,63.04667664,,2/22/20 14:09,0.0052805,,2/22/20 13:59,63.04667664,,2/22/20 14:09,0.0056456,,2/22/20 14:09,1.0104646,,2/22/20 13:59,3.130060911
2/22/20 14:19,0.0026978,,2/22/20 14:19,0.9779735,,2/22/20 14:19,0.0448058,,2/22/20 14:19,0.0173451,,2/22/20 14:19,0.0358964,,2/22/20 14:19,0.0173252,,2/22/20 14:19,0.0046346,,2/22/20 14:10,62.68000793,,2/22/20 14:19,0.0053845,,2/22/20 14:10,62.68000793,,2/22/20 14:19,0.0032692,,2/22/20 14:19,1.0342428,,2/22/20 14:10,3.12957263
2/22/20 14:29,0.002395,,2/22/20 14:29,0.9790594,,2/22/20 14:29,0.054301,,2/22/20 14:29,0.0178135,,2/22/20 14:29,0.0428782,,2/22/20 14:29,0.0130206,,2/22/20 14:29,0.0049879,,2/22/20 14:20,62.68000793,,2/22/20 14:29,0.0041973,,2/22/20 14:20,62.68000793,,2/22/20 14:29,0.0025648,,2/22/20 14:29,1.0199924,,2/22/20 14:20,3.130256414
2/22/20 14:39,0.006575,,2/22/20 14:39,0.9962458,,2/22/20 14:39,0.0452687,,2/22/20 14:39,0.0182502,,2/22/20 14:39,0.052843,,2/22/20 14:39,0.0141453,,2/22/20 14:39,0.0053811,,2/22/20 14:30,62.93665543,,2/22/20 14:39,0.0050869,,2/22/20 14:30,62.93665543,,2/22/20 14:39,0.0041568,,2/22/20 14:39,1.0137033,,2/22/20 14:30,3.130060911
