Machines > Drill Press > MIB > X-Horizontal > Peak Acceleration,,,Machines > Drill Press > MIB > X-Horizontal > Peak Velocity,,,Machines > Drill Press > MIB > X-Horizontal > Band 1,,,Machines > Drill Press > MIB > X-Horizontal > Damage Accumulation,,,Machines > Drill Press > MIB > Y-Radial > RMS Velocity,,,Machines > Drill Press > MIB > Y-Radial > Temperature,,,Machines > Drill Press > MIB > Y-Radial > Peak Acceleration,,,Machines > Drill Press > MIB > Y-Radial > Peak Velocity,,,Machines > Drill Press > MIB > X-Horizontal > RMS Velocity,,,Machines > Drill Press > MIB > X-Horizontal > Temperature,,,Machines > Drill Press > MIB > Y-Radial > Band 1,,,Machines > Drill Press > MIB > Y-Radial > Damage Accumulation,,,Machines > Drill Press > MIB > Battery Voltage,
2/22/20 6:39,0.0318724,,2/22/20 6:39,0.0175643,,2/22/20 6:39,0.0034075,,2/22/20 6:39,0.3604599,,2/22/20 6:39,0.0043406,,2/22/20 6:30,66.2680397,,2/22/20 6:39,0.0279781,,2/22/20 6:39,0.0133064,,2/22/20 6:39,0.0052194,,2/22/20 6:30,66.2680397,,2/22/20 6:39,0.0031745,,2/22/20 6:39,0.3543597,,2/22/20 6:30,3.157411337
2/22/20 6:49,0.0294672,,2/22/20 6:49,0.0170977,,2/22/20 6:49,0.004787,,2/22/20 6:49,0.3526982,,2/22/20 6:49,0.0042572,,2/22/20 6:40,65.51960297,,2/22/20 6:49,0.0260588,,2/22/20 6:49,0.0144486,,2/22/20 6:49,0.0045867,,2/22/20 6:40,65.51960297,,2/22/20 6:49,0.0029017,,2/22/20 6:49,0.3554718,,2/22/20 6:40,3.156923056
2/22/20 7:00,0.0327927,,2/22/20 7:00,0.014082,,2/22/20 7:00,0.0031403,,2/22/20 7:00,0.3668712,,2/22/20 7:00,0.0053381,,2/22/20 6:49,65.41752625,,2/22/20 7:00,0.0322151,,2/22/20 7:00,0.0159251,,2/22/20 7:00,0.0043691,,2/22/20 6:49,65.41752625,,2/22/20 7:00,0.0031983,,2/22/20 7:00,0.3403018,,2/22/20 6:49,3.156923056
2/22/20 7:10,0.033516,,2/22/20 7:10,0.0145381,,2/22/20 7:10,0.0031997,,2/22/20 7:10,0.3725772,,2/22/20 7:10,0.0047481,,2/22/20 7:00,65.68970566,,2/22/20 7:10,0.0268057,,2/22/20 7:10,0.0144161,,2/22/20 7:10,0.0045653,,2/22/20 7:00,65.68970566,,2/22/20 7:10,0.0048382,,2/22/20 7:10,0.3635363,,2/22/20 7:00,3.156532288
2/22/20 7:19,0.0302354,,2/22/20 7:19,0.0135231,,2/22/20 7:19,0.0048237,,2/22/20 7:19,0.3814536,,2/22/20 7:19,0.0049034,,2/22/20 7:10,66.30205269,,2/22/20 7:19,0.0305699,,2/22/20 7:19,0.0156132,,2/22/20 7:19,0.0044037,,2/22/20 7:10,66.30205269,,2/22/20 7:19,0.0046376,,2/22/20 7:19,0.3506626,,2/22/20 7:10,3.156239271
2/22/20 7:29,0.0323714,,2/22/20 7:29,0.016026,,2/22/20 7:29,0.0028906,,2/22/20 7:29,0.3618377,,2/22/20 7:29,0.004339,,2/22/20 7:20,65.65565491,,2/22/20 7:29,0.0311958,,2/22/20 7:29,0.0143377,,2/22/20 7:29,0.0052141,,2/22/20 7:20,65.65565491,,2/22/20 7:29,0.003762,,2/22/20 7:29,0.3410202,,2/22/20 7:20,3.156825542
2/22/20 7:39,0.0340856,,2/22/20 7:39,0.0125068,,2/22/20 7:39,0.0046473,,2/22/20 7:39,0.3716091,,2/22/20 7:39,0.0051698,,2/22/20 7:30,66.02991104,,2/22/20 7:39,0.0317637,,2/22/20 7:39,0.0168435,,2/22/20 7:39,0.0047941,,2/22/20 7:30,66.02991104,,2/22/20 7:39,0.0038055,,2/22/20 7:39,0.3642065,,2/22/20 7:30,3.156630039
2/22/20 7:49,0.0355575,,2/22/20 7:49,0.012951,,2/22/20 7:49,0.0042415,,2/22/20 7:49,0.3586998,,2/22/20 7:49,0.0045287,,2/22/20 7:39,65.68970566,,2/22/20 7:49,0.0319256,,2/22/20 7:49,0.013676,,2/22/20 7:49,0.0049062,,2/22/20 7:39,65.68970566,,2/22/20 7:49,0.0040321,,2/22/20 7:49,0.3502328,,2/22/20 7:39,3.157020807
2/22/20 7:59,0.0344114,,2/22/20 7:59,0.012705,,2/22/20 7:59,0.0027922,,2/22/20 7:59,0.3794631,,2/22/20 7:59,0.0047054,,2/22/20 7:49,65.72372208,,2/22/20 7:59,0.0296166,,2/22/20 7:59,0.0145631,,2/22/20 7:59,0.003983,,2/22/20 7:49,65.72372208,,2/22/20 7:59,0.0022009,,2/22/20 7:59,0.3650512,,2/22/20 7:49,3.157216072
2/22/20 8:10,0.0363038,,2/22/20 8:10,0.0133826,,2/22/20 8:10,0.0053565,,2/22/20 8:10,0.3654879,,2/22/20 8:10,0.0044654,,2/22/20 7:59,65.79174461,,2/22/20 8:10,0.0259895,,2/22/20 8:10,0.0130023,,2/22/20 8:10,0.0049157,,2/22/20 7:59,65.79174461,,2/22/20 8:10,0.0022666,,2/22/20 8:10,0.3696169,,2/22/20 7:59,3.156727552
2/22/20 8:20,0.0337651,,2/22/20 8:20,0.0130238,,2/22/20 8:20,0.0024588,,2/22/20 8:20,0.3612193,,2/22/20 8:20,0.0038613,,2/22/20 8:10,65.96184731,,2/22/20 8:20,0.0297563,,2/22/20 8:20,0.0148259,,2/22/20 8:20,0.0048097,,2/22/20 8:10,65.96184731,,2/22/20 8:20,0.0020665,,2/22/20 8:20,0.3700798,,2/22/20 8:10,3.156141758
2/22/20 8:29,0.0354709,,2/22/20 8:29,0.0148957,,2/22/20 8:29,0.0029445,,2/22/20 8:29,0.3678638,,2/22/20 8:29,0.0049756,,2/22/20 8:20,66.30205269,,2/22/20 8:29,0.0254902,,2/22/20 8:29,0.0132676,,2/22/20 8:29,0.004159,,2/22/20 8:20,66.30205269,,2/22/20 8:29,0.0028518,,2/22/20 8:29,0.3552043,,2/22/20 8:20,3.155555487
2/22/20 8:39,0.0316935,,2/22/20 8:39,0.0141669,,2/22/20 8:39,0.0045034,,2/22/20 8:39,0.3666813,,2/22/20 8:39,0.0046498,,2/22/20 8:30,66.02991104,,2/22/20 8:39,0.032029,,2/22/20 8:39,0.0130539,,2/22/20 8:39,0.0054794,,2/22/20 8:30,66.02991104,,2/22/20 8:39,0.0033718,,2/22/20 8:39,0.369175,,2/22/20 8:30,3.156044006
2/22/20 8:49,0.0294049,,2/22/20 8:49,0.0135588,,2/22/20 8:49,0.0048871,,2/22/20 8:49,0.3384167,,2/22/20 8:49,0.0041466,,2/22/20 8:39,65.85980835,,2/22/20 8:49,0.0329452,,2/22/20 8:49,0.0131718,,2/22/20 8:49,0.005175,,2/22/20 8:39,65.85980835,,2/22/20 8:49,0.0035904,,2/22/20 8:49,0.356584,,2/22/20 8:39,3.156239271
2/22/20 8:59,0.0342477,,2/22/20 8:59,0.0153431,,2/22/20 8:59,0.0035696,,2/22/20 8:59,0.3640018,,2/22/20 8:59,0.0044156,,2/22/20 8:49,65.8257576,,2/22/20 8:59,0.0298624,,2/22/20 8:59,0.0111115,,2/22/20 8:59,0.0042957,,2/22/20 8:49,65.8257576,,2/22/20 8:59,0.0031235,,2/22/20 8:59,0.3685018,,2/22/20 8:49,3.155750751
2/22/20 9:09,0.0367459,,2/22/20 9:09,0.0130841,,2/22/20 9:09,0.0043642,,2/22/20 9:09,0.3721569,,2/22/20 9:09,0.0046493,,2/22/20 8:59,65.68970566,,2/22/20 9:09,0.0294715,,2/22/20 9:09,0.0125986,,2/22/20 9:09,0.0046352,,2/22/20 8:59,65.68970566,,2/22/20 9:09,0.0033775,,2/22/20 9:09,0.3624722,,2/22/20 8:59,3.156337023
2/22/20 9:20,0.0409448,,2/22/20 9:20,0.0145957,,2/22/20 9:20,0.0038002,,2/22/20 9:20,0.3464469,,2/22/20 9:20,0.0050859,,2/22/20 9:10,65.79174461,,2/22/20 9:20,0.0309624,,2/22/20 9:20,0.0157954,,2/22/20 9:20,0.0044297,,2/22/20 9:10,65.79174461,,2/22/20 9:20,0.003422,,2/22/20 9:20,0.3540922,,2/22/20 9:10,3.155750751
2/22/20 9:30,0.0314057,,2/22/20 9:30,0.0137868,,2/22/20 9:30,0.0034784,,2/22/20 9:30,0.3639449,,2/22/20 9:30,0.0043965,,2/22/20 9:21,65.55361595,,2/22/20 9:30,0.0290536,,2/22/20 9:30,0.012422,,2/22/20 9:30,0.0046124,,2/22/20 9:21,65.55361595,,2/22/20 9:30,0.0034928,,2/22/20 9:30,0.3616126,,2/22/20 9:21,3.156044006
2/22/20 9:40,0.034557,,2/22/20 9:40,0.0136053,,2/22/20 9:40,0.004423,,2/22/20 9:40,0.3640479,,2/22/20 9:40,0.0041312,,2/22/20 9:31,66.02991104,,2/22/20 9:40,0.0289705,,2/22/20 9:40,0.0135342,,2/22/20 9:40,0.0046136,,2/22/20 9:31,66.02991104,,2/22/20 9:40,0.0048281,,2/22/20 9:40,0.3599594,,2/22/20 9:31,3.156630039
2/22/20 9:49,0.0326477,,2/22/20 9:49,0.0133238,,2/22/20 9:49,0.0041826,,2/22/20 9:49,0.3594701,,2/22/20 9:49,0.0052452,,2/22/20 9:40,65.89382477,,2/22/20 9:49,0.026509,,2/22/20 9:49,0.0160615,,2/22/20 9:49,0.0044259,,2/22/20 9:40,65.89382477,,2/22/20 9:49,0.0029999,,2/22/20 9:49,0.342478,,2/22/20 9:40,3.156825542
2/22/20 9:59,0.0317484,,2/22/20 9:59,0.0125988,,2/22/20 9:59,0.0035312,,2/22/20 9:59,0.369632,,2/22/20 9:59,0.0053532,,2/22/20 9:50,66.4381424,,2/22/20 9:59,0.0326187,,2/22/20 9:59,0.0149409,,2/22/20 9:59,0.0050606,,2/22/20 9:50,66.4381424,,2/22/20 9:59,0.0067557,,2/22/20 9:59,0.3847929,,2/22/20 9:50,3.156141758
2/22/20 10:09,0.0332539,,2/22/20 10:09,0.0153044,,2/22/20 10:09,0.0031354,,2/22/20 10:09,0.3652956,,2/22/20 10:09,0.0037527,,2/22/20 10:00,65.65565491,,2/22/20 10:09,0.0268613,,2/22/20 10:09,0.0111086,,2/22/20 10:09,0.0051763,,2/22/20 10:00,65.65565491,,2/22/20 10:09,0.003171,,2/22/20 10:09,0.3556883,,2/22/20 10:00,3.156239271
2/22/20 10:19,0.0328978,,2/22/20 10:19,0.0154634,,2/22/20 10:19,0.0027636,,2/22/20 10:19,0.369887,,2/22/20 10:19,0.0044078,,2/22/20 10:10,65.48555222,,2/22/20 10:19,0.0244542,,2/22/20 10:19,0.0128022,,2/22/20 10:19,0.0047107,,2/22/20 10:10,65.48555222,,2/22/20 10:19,0.0044478,,2/22/20 10:19,0.3550871,,2/22/20 10:10,3.156727552
2/22/20 10:30,0.0352051,,2/22/20 10:30,0.0181987,,2/22/20 10:30,0.0024139,,2/22/20 10:30,0.3498478,,2/22/20 10:30,0.0051492,,2/22/20 10:20,65.8257576,,2/22/20 10:30,0.0322957,,2/22/20 10:30,0.0147451,,2/22/20 10:30,0.0051112,,2/22/20 10:20,65.8257576,,2/22/20 10:30,0.0048978,,2/22/20 10:30,0.3683905,,2/22/20 10:20,3.155848742
2/22/20 10:40,0.0324534,,2/22/20 10:40,0.0121101,,2/22/20 10:40,0.0038822,,2/22/20 10:40,0.3750073,,2/22/20 10:40,0.0037957,,2/22/20 10:30,65.8257576,,2/22/20 10:40,0.0304901,,2/22/20 10:40,0.0117767,,2/22/20 10:40,0.0043137,,2/22/20 10:30,65.8257576,,2/22/20 10:40,0.0031048,,2/22/20 10:40,0.3502028,,2/22/20 10:30,3.156337023
2/22/20 10:50,0.030473,,2/22/20 10:50,0.0165483,,2/22/20 10:50,0.0046941,,2/22/20 10:50,0.355036,,2/22/20 10:50,0.0051617,,2/22/20 10:40,65.79174461,,2/22/20 10:50,0.0292049,,2/22/20 10:50,0.0134942,,2/22/20 10:50,0.0047359,,2/22/20 10:40,65.79174461,,2/22/20 10:50,0.0049951,,2/22/20 10:50,0.3526705,,2/22/20 10:40,3.156141758
2/22/20 10:59,0.0453596,,2/22/20 10:59,0.0137807,,2/22/20 10:59,0.0039824,,2/22/20 10:59,0.3573113,,2/22/20 10:59,0.0041635,,2/22/20 10:50,65.85980835,,2/22/20 10:59,0.0269512,,2/22/20 10:59,0.0143584,,2/22/20 10:59,0.0047433,,2/22/20 10:50,65.85980835,,2/22/20 10:59,0.0023824,,2/22/20 10:59,0.3637797,,2/22/20 10:50,3.155555487
2/22/20 11:09,0.0307648,,2/22/20 11:09,0.0120884,,2/22/20 11:09,0.0024426,,2/22/20 11:09,0.3537179,,2/22/20 11:09,0.0051381,,2/22/20 11:00,65.79174461,,2/22/20 11:09,0.0318701,,2/22/20 11:09,0.0158962,,2/22/20 11:09,0.00366,,2/22/20 11:00,65.79174461,,2/22/20 11:09,0.0025588,,2/22/20 11:09,0.3624632,,2/22/20 11:00,3.155067205
2/22/20 11:19,0.029644,,2/22/20 11:19,0.0161574,,2/22/20 11:19,0.0035469,,2/22/20 11:19,0.3612735,,2/22/20 11:19,0.0043428,,2/22/20 11:10,66.06392746,,2/22/20 11:19,0.0293547,,2/22/20 11:19,0.0156759,,2/22/20 11:19,0.0043175,,2/22/20 11:10,66.06392746,,2/22/20 11:19,0.0053138,,2/22/20 11:19,0.3518529,,2/22/20 11:10,3.155750751
2/22/20 11:29,0.0330728,,2/22/20 11:29,0.0128583,,2/22/20 11:29,0.0029345,,2/22/20 11:29,0.3605956,,2/22/20 11:29,0.0049379,,2/22/20 11:20,65.51960297,,2/22/20 11:29,0.0282348,,2/22/20 11:29,0.014762,,2/22/20 11:29,0.0045003,,2/22/20 11:20,65.51960297,,2/22/20 11:29,0.0037089,,2/22/20 11:29,0.3873779,,2/22/20 11:20,3.155653238
2/22/20 11:40,0.0297666,,2/22/20 11:40,0.0140724,,2/22/20 11:40,0.0022124,,2/22/20 11:40,0.364604,,2/22/20 11:40,0.0045937,,2/22/20 11:29,66.30205269,,2/22/20 11:40,0.0293955,,2/22/20 11:40,0.0161344,,2/22/20 11:40,0.0041825,,2/22/20 11:29,66.30205269,,2/22/20 11:40,0.0022701,,2/22/20 11:40,0.3718291,,2/22/20 11:29,3.155164957
2/22/20 11:50,0.030302,,2/22/20 11:50,0.0130676,,2/22/20 11:50,0.0042511,,2/22/20 11:50,0.3733909,,2/22/20 11:50,0.0047244,,2/22/20 11:40,65.92783432,,2/22/20 11:50,0.0315874,,2/22/20 11:50,0.0142992,,2/22/20 11:50,0.0041803,,2/22/20 11:40,65.92783432,,2/22/20 11:50,0.0035677,,2/22/20 11:50,0.3686731,,2/22/20 11:40,3.156239271
2/22/20 12:00,0.0282242,,2/22/20 12:00,0.0211063,,2/22/20 12:00,0.0039256,,2/22/20 12:00,0.3610728,,2/22/20 12:00,0.0042951,,2/22/20 11:50,65.79174461,,2/22/20 12:00,0.0339521,,2/22/20 12:00,0.0139998,,2/22/20 12:00,0.0053981,,2/22/20 11:50,65.79174461,,2/22/20 12:00,0.004015,,2/22/20 12:00,0.35087,,2/22/20 11:50,3.155164957
2/22/20 12:09,0.0314164,,2/22/20 12:09,0.0120217,,2/22/20 12:09,0.0045692,,2/22/20 12:09,0.3564922,,2/22/20 12:09,0.0048491,,2/22/20 12:00,65.75773163,,2/22/20 12:09,0.0319044,,2/22/20 12:09,0.0117553,,2/22/20 12:09,0.0045318,,2/22/20 12:00,65.75773163,,2/22/20 12:09,0.0037169,,2/22/20 12:09,0.3415101,,2/22/20 12:00,3.155750751
2/22/20 12:19,0.0316461,,2/22/20 12:19,0.0174125,,2/22/20 12:19,0.0036594,,2/22/20 12:19,0.357851,,2/22/20 12:19,0.0039757,,2/22/20 12:10,65.89382477,,2/22/20 12:19,0.0309373,,2/22/20 12:19,0.0151441,,2/22/20 12:19,0.0045607,,2/22/20 12:10,65.89382477,,2/22/20 12:19,0.0036741,,2/22/20 12:19,0.3553276,,2/22/20 12:10,3.155360222
2/22/20 12:29,0.0322,,2/22/20 12:29,0.0163482,,2/22/20 12:29,0.0049361,,2/22/20 12:29,0.3644467,,2/22/20 12:29,0.0046889,,2/22/20 12:20,65.41752625,,2/22/20 12:29,0.0314273,,2/22/20 12:29,0.0113598,,2/22/20 12:29,0.0053181,,2/22/20 12:20,65.41752625,,2/22/20 12:29,0.004362,,2/22/20 12:29,0.3694756,,2/22/20 12:20,3.154773951
2/22/20 12:39,0.03241,,2/22/20 12:39,0.0115194,,2/22/20 12:39,0.0034229,,2/22/20 12:39,0.3526684,,2/22/20 12:39,0.0050616,,2/22/20 12:29,65.8257576,,2/22/20 12:39,0.0345088,,2/22/20 12:39,0.0130968,,2/22/20 12:39,0.003912,,2/22/20 12:29,65.8257576,,2/22/20 12:39,0.004976,,2/22/20 12:39,0.352436,,2/22/20 12:29,3.155067205
2/22/20 12:50,0.0362039,,2/22/20 12:50,0.0156479,,2/22/20 12:50,0.0023637,,2/22/20 12:50,0.3486599,,2/22/20 12:50,0.0040366,,2/22/20 12:39,65.58762894,,2/22/20 12:50,0.0290122,,2/22/20 12:50,0.0119983,,2/22/20 12:50,0.0047266,,2/22/20 12:39,65.58762894,,2/22/20 12:50,0.0019378,,2/22/20 12:50,0.3631515,,2/22/20 12:39,3.155750751
2/22/20 13:00,0.0323983,,2/22/20 13:00,0.0135325,,2/22/20 13:00,0.0037582,,2/22/20 13:00,0.3477678,,2/22/20 13:00,0.0035974,,2/22/20 12:50,65.68970566,,2/22/20 13:00,0.027403,,2/22/20 13:00,0.0141919,,2/22/20 13:00,0.0045286,,2/22/20 12:50,65.68970566,,2/22/20 13:00,0.0018218,,2/22/20 13:00,0.3745133,,2/22/20 12:50,3.155164957
2/22/20 13:10,0.03211,,2/22/20 13:10,0.0184499,,2/22/20 13:10,0.0079211,,2/22/20 13:10,0.3707575,,2/22/20 13:10,0.0038209,,2/22/20 13:00,65.92783432,,2/22/20 13:10,0.0337749,,2/22/20 13:10,0.0106186,,2/22/20 13:10,0.005902,,2/22/20 13:00,65.92783432,,2/22/20 13:10,0.0027073,,2/22/20 13:10,0.3711739,,2/22/20 13:00,3.155848742
2/22/20 13:19,0.0309215,,2/22/20 13:19,0.0129137,,2/22/20 13:19,0.0028867,,2/22/20 13:19,0.3567418,,2/22/20 13:19,0.0041863,,2/22/20 13:10,65.8257576,,2/22/20 13:19,0.0310401,,2/22/20 13:19,0.0153562,,2/22/20 13:19,0.0044929,,2/22/20 13:10,65.8257576,,2/22/20 13:19,0.0043733,,2/22/20 13:19,0.3569026,,2/22/20 13:10,3.155067205
2/22/20 13:29,0.0340276,,2/22/20 13:29,0.0150198,,2/22/20 13:29,0.0036844,,2/22/20 13:29,0.3570834,,2/22/20 13:29,0.0046988,,2/22/20 13:20,66.06392746,,2/22/20 13:29,0.0301778,,2/22/20 13:29,0.0130431,,2/22/20 13:29,0.0048854,,2/22/20 13:20,66.06392746,,2/22/20 13:29,0.0033869,,2/22/20 13:29,0.3383571,,2/22/20 13:20,3.154480934
2/22/20 13:39,0.0351622,,2/22/20 13:39,0.0151996,,2/22/20 13:39,0.0026952,,2/22/20 13:39,0.3658297,,2/22/20 13:39,0.0038618,,2/22/20 13:29,65.4515358,,2/22/20 13:39,0.0357762,,2/22/20 13:39,0.0116914,,2/22/20 13:39,0.0043008,,2/22/20 13:29,65.4515358,,2/22/20 13:39,0.0023014,,2/22/20 13:39,0.3659349,,2/22/20 13:29,3.155067205
2/22/20 13:49,0.0379523,,2/22/20 13:49,0.0116097,,2/22/20 13:49,0.0042351,,2/22/20 13:49,0.3711534,,2/22/20 13:49,0.0041538,,2/22/20 13:39,65.75773163,,2/22/20 13:49,0.0359713,,2/22/20 13:49,0.0128063,,2/22/20 13:49,0.0041848,,2/22/20 13:39,65.75773163,,2/22/20 13:49,0.003032,,2/22/20 13:49,0.3657275,,2/22/20 13:39,3.154578686
2/22/20 13:59,0.0394309,,2/22/20 13:59,0.0160688,,2/22/20 13:59,0.0022455,,2/22/20 13:59,0.3632614,,2/22/20 13:59,0.0053653,,2/22/20 13:49,65.4515358,,2/22/20 13:59,0.0312305,,2/22/20 13:59,0.0184107,,2/22/20 13:59,0.0047413,,2/22/20 13:49,65.4515358,,2/22/20 13:59,0.0039234,,2/22/20 13:59,0.3557544,,2/22/20 13:49,3.154773951
2/22/20 14:10,0.0378152,,2/22/20 14:10,0.014811,,2/22/20 14:10,0.0038407,,2/22/20 14:10,0.3600315,,2/22/20 14:10,0.0048691,,2/22/20 14:00,65.8257576,,2/22/20 14:10,0.0325625,,2/22/20 14:10,0.0145241,,2/22/20 14:10,0.0044518,,2/22/20 14:00,65.8257576,,2/22/20 14:10,0.0067659,,2/22/20 14:10,0.351366,,2/22/20 14:00,3.154578686
2/22/20 14:20,0.0307442,,2/22/20 14:20,0.0126749,,2/22/20 14:20,0.004828,,2/22/20 14:20,0.3607338,,2/22/20 14:20,0.0045099,,2/22/20 14:11,65.8257576,,2/22/20 14:20,0.0286087,,2/22/20 14:20,0.0137886,,2/22/20 14:20,0.0047078,,2/22/20 14:11,65.8257576,,2/22/20 14:20,0.0046998,,2/22/20 14:20,0.3513329,,2/22/20 14:11,3.154285669
2/22/20 14:30,0.0336766,,2/22/20 14:30,0.0121555,,2/22/20 14:30,0.001499,,2/22/20 14:30,0.3573574,,2/22/20 14:29,0.0049287,,2/22/20 14:21,65.99586029,,2/22/20 14:29,0.0286238,,2/22/20 14:29,0.0153947,,2/22/20 14:30,0.0033349,,2/22/20 14:21,65.99586029,,2/22/20 14:29,0.0025643,,2/22/20 14:29,0.348261,,2/22/20 14:21,3.154480934
2/22/20 14:39,0.0393975,,2/22/20 14:39,0.0140208,,2/22/20 14:39,0.0037744,,2/22/20 14:39,0.3598932,,2/22/20 14:39,0.004748,,2/22/20 14:30,65.65565491,,2/22/20 14:39,0.033725,,2/22/20 14:39,0.0135729,,2/22/20 14:39,0.0044109,,2/22/20 14:30,65.65565491,,2/22/20 14:39,0.0046628,,2/22/20 14:39,0.360798,,2/22/20 14:30,3.154676437
2/22/20 14:49,0.0396428,,2/22/20 14:49,0.0149315,,2/22/20 14:49,0.0034159,,2/22/20 14:49,0.3547159,,2/22/20 14:49,0.0042538,,2/22/20 14:40,66.40413284,,2/22/20 14:49,0.0363801,,2/22/20 14:49,0.0129217,,2/22/20 14:49,0.0048968,,2/22/20 14:40,66.40413284,,2/22/20 14:49,0.0026783,,2/22/20 14:49,0.3703172,,2/22/20 14:40,3.154578686
