Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 2 > Spindle > Battery Voltage,
2/22/20 6:32,0.0453776,,2/22/20 6:32,0.0116754,,2/22/20 6:32,0.0018128,,2/22/20 6:32,1.0090303,,2/22/20 6:32,0.0031612,,2/22/20 6:33,64.29751816,,2/22/20 6:32,0.046777,,2/22/20 6:32,0.0105508,,2/22/20 6:32,0.0030966,,2/22/20 6:33,64.29751816,,2/22/20 6:32,0.001354,,2/22/20 6:32,0.9889978,,2/22/20 6:33,3.124004841
2/22/20 6:42,0.0483758,,2/22/20 6:42,0.0105422,,2/22/20 6:42,0.0027827,,2/22/20 6:42,1.0233243,,2/22/20 6:42,0.0033113,,2/22/20 6:43,64.29751816,,2/22/20 6:42,0.0436881,,2/22/20 6:42,0.0089569,,2/22/20 6:42,0.0033908,,2/22/20 6:43,64.29751816,,2/22/20 6:42,0.0020459,,2/22/20 6:42,1.0130955,,2/22/20 6:43,3.123321056
2/22/20 6:53,0.046721,,2/22/20 6:53,0.0101191,,2/22/20 6:53,0.0023239,,2/22/20 6:53,1.011524,,2/22/20 6:53,0.0035424,,2/22/20 6:54,64.08613777,,2/22/20 6:53,0.0546571,,2/22/20 6:53,0.0104316,,2/22/20 6:53,0.0032477,,2/22/20 6:54,64.08613777,,2/22/20 6:53,0.0038316,,2/22/20 6:53,1.0612208,,2/22/20 6:54,3.123614311
2/22/20 7:03,0.0383183,,2/22/20 7:03,0.0086953,,2/22/20 7:03,0.0022431,,2/22/20 7:03,0.9767858,,2/22/20 7:03,0.0035613,,2/22/20 7:03,63.76904831,,2/22/20 7:03,0.0440156,,2/22/20 7:03,0.0133598,,2/22/20 7:03,0.0032498,,2/22/20 7:03,63.76904831,,2/22/20 7:03,0.0027744,,2/22/20 7:03,0.9999168,,2/22/20 7:03,3.124102592
2/22/20 7:13,0.0413836,,2/22/20 7:13,0.0085671,,2/22/20 7:13,0.002828,,2/22/20 7:13,1.0202577,,2/22/20 7:13,0.0033524,,2/22/20 7:13,63.94520378,,2/22/20 7:13,0.0475279,,2/22/20 7:13,0.0129103,,2/22/20 7:13,0.0027972,,2/22/20 7:13,63.94520378,,2/22/20 7:13,0.002122,,2/22/20 7:13,1.0335321,,2/22/20 7:13,3.123125792
2/22/20 7:23,0.0443344,,2/22/20 7:23,0.0086328,,2/22/20 7:23,0.0022902,,2/22/20 7:23,0.9997742,,2/22/20 7:23,0.0036244,,2/22/20 7:23,63.9099823,,2/22/20 7:23,0.0413194,,2/22/20 7:23,0.0111397,,2/22/20 7:23,0.003211,,2/22/20 7:23,63.9099823,,2/22/20 7:23,0.0024607,,2/22/20 7:23,1.0086637,,2/22/20 7:23,3.123418808
2/22/20 7:33,0.0501013,,2/22/20 7:33,0.0115534,,2/22/20 7:33,0.0020904,,2/22/20 7:33,1.0363603,,2/22/20 7:33,0.0032952,,2/22/20 7:33,63.62811432,,2/22/20 7:33,0.0700079,,2/22/20 7:33,0.0100461,,2/22/20 7:33,0.0033893,,2/22/20 7:33,63.62811432,,2/22/20 7:33,0.0027313,,2/22/20 7:33,1.0162778,,2/22/20 7:33,3.123223305
2/22/20 7:42,0.0467892,,2/22/20 7:42,0.0098676,,2/22/20 7:42,0.0023728,,2/22/20 7:42,1.0221336,,2/22/20 7:42,0.0029593,,2/22/20 7:43,63.24057846,,2/22/20 7:42,0.0469199,,2/22/20 7:42,0.0079155,,2/22/20 7:42,0.0032516,,2/22/20 7:43,63.24057846,,2/22/20 7:42,0.0026908,,2/22/20 7:42,1.0173113,,2/22/20 7:43,3.123321056
2/22/20 7:52,0.0523042,,2/22/20 7:52,0.0084995,,2/22/20 7:52,0.0030237,,2/22/20 7:52,1.0010267,,2/22/20 7:52,0.0037693,,2/22/20 7:52,63.31102142,,2/22/20 7:52,0.044221,,2/22/20 7:52,0.012859,,2/22/20 7:52,0.0026287,,2/22/20 7:52,63.31102142,,2/22/20 7:52,0.0024551,,2/22/20 7:52,0.9911174,,2/22/20 7:52,3.122832775
2/22/20 8:02,0.0448018,,2/22/20 8:02,0.0109133,,2/22/20 8:02,0.0023966,,2/22/20 8:02,1.0242117,,2/22/20 8:02,0.0031049,,2/22/20 8:02,63.24057846,,2/22/20 8:02,0.0487623,,2/22/20 8:02,0.0113064,,2/22/20 8:02,0.0029432,,2/22/20 8:02,63.24057846,,2/22/20 8:02,0.0016333,,2/22/20 8:02,0.9844142,,2/22/20 8:02,3.122930527
2/22/20 8:13,0.0424122,,2/22/20 8:13,0.0094315,,2/22/20 8:13,0.0028251,,2/22/20 8:13,1.0179268,,2/22/20 8:13,0.0033541,,2/22/20 8:13,63.09964447,,2/22/20 8:13,0.0451459,,2/22/20 8:13,0.0107466,,2/22/20 8:13,0.0030933,,2/22/20 8:13,63.09964447,,2/22/20 8:13,0.0028907,,2/22/20 8:13,0.9319505,,2/22/20 8:13,3.123223305
2/22/20 8:23,0.0383615,,2/22/20 8:23,0.0099486,,2/22/20 8:23,0.0013261,,2/22/20 8:23,1.0051717,,2/22/20 8:23,0.0026489,,2/22/20 8:23,63.38151245,,2/22/20 8:23,0.0512166,,2/22/20 8:23,0.0090082,,2/22/20 8:23,0.0029482,,2/22/20 8:23,63.38151245,,2/22/20 8:23,0.0018193,,2/22/20 8:23,0.9945391,,2/22/20 8:23,3.123223305
2/22/20 8:33,0.045167,,2/22/20 8:33,0.0087392,,2/22/20 8:33,0.0025715,,2/22/20 8:33,1.0437123,,2/22/20 8:33,0.0029957,,2/22/20 8:33,63.48718033,,2/22/20 8:33,0.0425431,,2/22/20 8:33,0.0091483,,2/22/20 8:33,0.0030916,,2/22/20 8:33,63.48718033,,2/22/20 8:33,0.0041417,,2/22/20 8:33,1.0041326,,2/22/20 8:33,3.12302804
2/22/20 8:43,0.0458511,,2/22/20 8:43,0.0083408,,2/22/20 8:43,0.0029398,,2/22/20 8:43,1.0088561,,2/22/20 8:43,0.0032345,,2/22/20 8:43,63.06441956,,2/22/20 8:43,0.0384801,,2/22/20 8:43,0.0098955,,2/22/20 8:43,0.0027718,,2/22/20 8:43,63.06441956,,2/22/20 8:43,0.0013495,,2/22/20 8:43,1.0345306,,2/22/20 8:43,3.12302804
2/22/20 8:52,0.0413387,,2/22/20 8:52,0.0119708,,2/22/20 9:02,0.0028864,,2/22/20 9:02,0.9591556,,2/22/20 9:02,0.0032705,,2/22/20 8:52,62.88826408,,2/22/20 9:02,0.0460201,,2/22/20 9:02,0.0115698,,2/22/20 8:52,0.0029395,,2/22/20 8:52,62.88826408,,2/22/20 8:52,0.0014145,,2/22/20 8:52,1.0804254,,2/22/20 8:52,3.123223305
2/22/20 9:02,0.0442652,,2/22/20 9:02,0.0104719,,2/22/20 9:12,0.0022904,,2/22/20 9:12,1.0045707,,2/22/20 9:12,0.0030798,,2/22/20 9:03,62.81777649,,2/22/20 9:12,0.0454092,,2/22/20 9:12,0.0119539,,2/22/20 9:02,0.0032679,,2/22/20 9:03,62.81777649,,2/22/20 9:02,0.0034875,,2/22/20 9:02,1.0258947,,2/22/20 9:03,3.12302804
2/22/20 9:12,0.0428615,,2/22/20 9:12,0.0091351,,2/22/20 9:23,0.002456,,2/22/20 9:23,1.0441784,,2/22/20 9:23,0.0032344,,2/22/20 9:13,63.02919807,,2/22/20 9:23,0.0443332,,2/22/20 9:23,0.0091821,,2/22/20 9:12,0.0030234,,2/22/20 9:13,63.02919807,,2/22/20 9:12,0.0030766,,2/22/20 9:12,1.0263151,,2/22/20 9:13,3.12263751
2/22/20 9:23,0.0479224,,2/22/20 9:23,0.0099277,,2/22/20 9:33,0.0013852,,2/22/20 9:33,0.9849073,,2/22/20 9:33,0.002996,,2/22/20 9:24,62.6768837,,2/22/20 9:33,0.0517453,,2/22/20 9:33,0.009257,,2/22/20 9:23,0.0027575,,2/22/20 9:24,62.6768837,,2/22/20 9:23,0.001606,,2/22/20 9:23,1.0001562,,2/22/20 9:24,3.12302804
2/22/20 9:33,0.0583035,,2/22/20 9:33,0.00843,,2/22/20 9:43,0.0020376,,2/22/20 9:43,0.9765836,,2/22/20 9:43,0.0027883,,2/22/20 9:34,63.02919807,,2/22/20 9:43,0.0487112,,2/22/20 9:43,0.009296,,2/22/20 9:33,0.003143,,2/22/20 9:34,63.02919807,,2/22/20 9:33,0.0020579,,2/22/20 9:33,1.0276347,,2/22/20 9:34,3.122930527
2/22/20 9:43,0.0510183,,2/22/20 9:43,0.0088941,,2/22/20 9:53,0.0027489,,2/22/20 9:53,1.0160172,,2/22/20 9:53,0.0033317,,2/22/20 9:44,62.53594971,,2/22/20 9:53,0.0505302,,2/22/20 9:53,0.0101509,,2/22/20 9:43,0.0031597,,2/22/20 9:44,62.53594971,,2/22/20 9:43,0.0014029,,2/22/20 9:43,0.9955784,,2/22/20 9:44,3.122735023
2/22/20 9:53,0.0462698,,2/22/20 9:53,0.0098391,,2/22/20 10:02,0.0024781,,2/22/20 10:02,0.9825484,,2/22/20 10:02,0.0029228,,2/22/20 9:53,62.71210861,,2/22/20 10:02,0.0430438,,2/22/20 10:02,0.0105942,,2/22/20 9:53,0.003038,,2/22/20 9:53,62.71210861,,2/22/20 9:53,0.0010606,,2/22/20 9:53,0.9827909,,2/22/20 9:53,3.122735023
2/22/20 10:02,0.0440707,,2/22/20 10:02,0.0093005,,2/22/20 10:12,0.0026337,,2/22/20 10:12,0.9804141,,2/22/20 10:12,0.0035661,,2/22/20 10:03,62.64161758,,2/22/20 10:12,0.0451424,,2/22/20 10:12,0.0089543,,2/22/20 10:02,0.0026928,,2/22/20 10:03,62.64161758,,2/22/20 10:02,0.002264,,2/22/20 10:02,1.0358444,,2/22/20 10:03,3.122051239
2/22/20 10:12,0.0486258,,2/22/20 10:12,0.0102149,,2/22/20 10:22,0.001742,,2/22/20 10:22,0.9811162,,2/22/20 10:22,0.0034762,,2/22/20 10:13,62.64161758,,2/22/20 10:22,0.048711,,2/22/20 10:22,0.0136145,,2/22/20 10:12,0.0030438,,2/22/20 10:13,62.64161758,,2/22/20 10:12,0.0022679,,2/22/20 10:12,1.0047223,,2/22/20 10:13,3.122735023
2/22/20 10:22,0.0417793,,2/22/20 10:22,0.0079152,,2/22/20 10:33,0.0017511,,2/22/20 10:33,0.9943431,,2/22/20 10:33,0.0030854,,2/22/20 10:23,62.8530426,,2/22/20 10:33,0.0411729,,2/22/20 10:33,0.0097353,,2/22/20 10:22,0.0027386,,2/22/20 10:23,62.8530426,,2/22/20 10:22,0.0013072,,2/22/20 10:22,1.0137787,,2/22/20 10:23,3.122442007
2/22/20 10:33,0.0424084,,2/22/20 10:33,0.0096984,,2/22/20 10:43,0.002607,,2/22/20 10:43,0.9632444,,2/22/20 10:43,0.0029003,,2/22/20 10:34,62.53594971,,2/22/20 10:43,0.0530661,,2/22/20 10:43,0.011415,,2/22/20 10:33,0.003301,,2/22/20 10:34,62.53594971,,2/22/20 10:33,0.0025672,,2/22/20 10:33,0.9699976,,2/22/20 10:34,3.122344255
2/22/20 10:43,0.0428941,,2/22/20 10:43,0.0099262,,2/22/20 10:53,0.0027607,,2/22/20 10:53,1.0275367,,2/22/20 10:53,0.0031795,,2/22/20 10:44,62.57117462,,2/22/20 10:53,0.0503041,,2/22/20 10:53,0.0092181,,2/22/20 10:43,0.0032636,,2/22/20 10:44,62.57117462,,2/22/20 10:43,0.0031031,,2/22/20 10:43,1.0362531,,2/22/20 10:44,3.121953726
2/22/20 10:53,0.0444514,,2/22/20 10:53,0.0073027,,2/22/20 11:03,0.0023979,,2/22/20 11:03,0.9883446,,2/22/20 11:03,0.0025231,,2/22/20 10:53,62.46546555,,2/22/20 11:03,0.0428826,,2/22/20 11:03,0.0081133,,2/22/20 10:53,0.0027155,,2/22/20 10:53,62.46546555,,2/22/20 10:53,0.0019141,,2/22/20 10:53,0.9909072,,2/22/20 10:53,3.122442007
2/22/20 11:03,0.0385322,,2/22/20 11:03,0.009131,,2/22/20 11:12,0.0025926,,2/22/20 11:12,1.0207295,,2/22/20 11:12,0.0033054,,2/22/20 11:03,62.64161758,,2/22/20 11:12,0.0435816,,2/22/20 11:12,0.0108827,,2/22/20 11:03,0.0027512,,2/22/20 11:03,62.64161758,,2/22/20 11:03,0.0024146,,2/22/20 11:03,0.9754571,,2/22/20 11:03,3.121660709
2/22/20 11:12,0.0441734,,2/22/20 11:12,0.0105082,,2/22/20 11:22,0.002021,,2/22/20 11:22,0.9677938,,2/22/20 11:22,0.0032409,,2/22/20 11:13,62.53594971,,2/22/20 11:22,0.0455805,,2/22/20 11:22,0.0112449,,2/22/20 11:12,0.0035259,,2/22/20 11:13,62.53594971,,2/22/20 11:12,0.0024224,,2/22/20 11:12,1.0119335,,2/22/20 11:13,3.121660709
2/22/20 11:22,0.0422107,,2/22/20 11:22,0.007557,,2/22/20 11:32,0.0020513,,2/22/20 11:32,1.0027398,,2/22/20 11:32,0.0027945,,2/22/20 11:23,62.6768837,,2/22/20 11:32,0.0477302,,2/22/20 11:32,0.0088164,,2/22/20 11:22,0.0030321,,2/22/20 11:23,62.6768837,,2/22/20 11:22,0.0037306,,2/22/20 11:22,1.0561934,,2/22/20 11:23,3.121855974
2/22/20 11:32,0.0439012,,2/22/20 11:32,0.0062972,,2/22/20 11:43,0.0026661,,2/22/20 11:43,0.9836099,,2/22/20 11:43,0.0038915,,2/22/20 11:33,62.81777649,,2/22/20 11:43,0.0450361,,2/22/20 11:43,0.0125206,,2/22/20 11:32,0.002311,,2/22/20 11:33,62.81777649,,2/22/20 11:32,0.0012244,,2/22/20 11:32,1.0240962,,2/22/20 11:33,3.121758223
2/22/20 11:43,0.0394006,,2/22/20 11:43,0.0097483,,2/22/20 11:53,0.003381,,2/22/20 11:53,1.0149388,,2/22/20 11:53,0.0037992,,2/22/20 11:43,62.71210861,,2/22/20 11:53,0.0413196,,2/22/20 11:53,0.0109911,,2/22/20 11:43,0.0030986,,2/22/20 11:43,62.71210861,,2/22/20 11:43,0.002531,,2/22/20 11:43,1.0059719,,2/22/20 11:43,3.121562719
2/22/20 11:53,0.0400755,,2/22/20 11:53,0.0083817,,2/22/20 12:03,0.0015446,,2/22/20 12:03,0.988749,,2/22/20 12:03,0.0033145,,2/22/20 11:53,62.6063961,,2/22/20 12:03,0.0463633,,2/22/20 12:03,0.0098357,,2/22/20 11:53,0.0027002,,2/22/20 11:53,62.6063961,,2/22/20 11:53,0.0014182,,2/22/20 11:53,1.0153319,,2/22/20 11:53,3.12117219
2/22/20 12:03,0.0459276,,2/22/20 12:03,0.0111779,,2/22/20 12:13,0.0019952,,2/22/20 12:13,1.005621,,2/22/20 12:13,0.0027325,,2/22/20 12:03,62.64161758,,2/22/20 12:13,0.0431017,,2/22/20 12:13,0.0083725,,2/22/20 12:03,0.0034138,,2/22/20 12:03,62.64161758,,2/22/20 12:03,0.0027165,,2/22/20 12:03,1.0021415,,2/22/20 12:03,3.120976925
2/22/20 12:13,0.0400815,,2/22/20 12:13,0.0090641,,2/22/20 12:22,0.0021526,,2/22/20 12:22,1.014995,,2/22/20 12:22,0.0036108,,2/22/20 12:13,62.46546555,,2/22/20 12:22,0.0453921,,2/22/20 12:22,0.0108557,,2/22/20 12:13,0.0031736,,2/22/20 12:13,62.46546555,,2/22/20 12:13,0.0034023,,2/22/20 12:13,1.0075718,,2/22/20 12:13,3.120683908
2/22/20 12:22,0.0470561,,2/22/20 12:22,0.0101387,,2/22/20 12:32,0.0031559,,2/22/20 12:32,1.0279074,,2/22/20 12:32,0.003609,,2/22/20 12:23,62.8530426,,2/22/20 12:32,0.0413484,,2/22/20 12:32,0.0110395,,2/22/20 12:22,0.0033516,,2/22/20 12:23,62.8530426,,2/22/20 12:22,0.0034446,,2/22/20 12:22,1.0262859,,2/22/20 12:23,3.121074438
2/22/20 12:32,0.0441601,,2/22/20 12:32,0.0082699,,2/22/20 12:42,0.0031025,,2/22/20 12:42,1.0029251,,2/22/20 12:42,0.0038978,,2/22/20 12:33,62.57117462,,2/22/20 12:42,0.0539601,,2/22/20 12:42,0.0132546,,2/22/20 12:32,0.0027527,,2/22/20 12:33,62.57117462,,2/22/20 12:32,0.0020063,,2/22/20 12:32,0.9961214,,2/22/20 12:33,3.120781422
2/22/20 12:42,0.0430189,,2/22/20 12:42,0.0110195,,2/22/20 12:53,0.0036924,,2/22/20 12:53,1.0106141,,2/22/20 12:53,0.00356,,2/22/20 12:42,62.53594971,,2/22/20 12:53,0.0398278,,2/22/20 12:53,0.0101876,,2/22/20 12:42,0.0037325,,2/22/20 12:42,62.53594971,,2/22/20 12:42,0.0019839,,2/22/20 12:42,0.9337956,,2/22/20 12:42,3.121074438
2/22/20 12:53,0.0432284,,2/22/20 12:53,0.0114329,,2/22/20 13:03,0.0023466,,2/22/20 13:03,0.9707874,,2/22/20 13:03,0.0034608,,2/22/20 12:53,62.50072823,,2/22/20 13:03,0.0415685,,2/22/20 13:03,0.0096797,,2/22/20 12:53,0.0031805,,2/22/20 12:53,62.50072823,,2/22/20 12:53,0.0030475,,2/22/20 12:53,0.9946675,,2/22/20 12:53,3.12117219
2/22/20 13:03,0.0434632,,2/22/20 13:03,0.0088731,,2/22/20 13:13,0.0018224,,2/22/20 13:13,1.0151242,,2/22/20 13:13,0.002932,,2/22/20 13:03,62.50072823,,2/22/20 13:13,0.0428446,,2/22/20 13:13,0.0091551,,2/22/20 13:03,0.0031699,,2/22/20 13:03,62.50072823,,2/22/20 13:03,0.003097,,2/22/20 13:03,1.0423491,,2/22/20 13:03,3.121074438
2/22/20 13:13,0.0427892,,2/22/20 13:13,0.0079402,,2/22/20 13:23,0.0027529,,2/22/20 13:23,0.9885187,,2/22/20 13:23,0.003574,,2/22/20 13:13,62.57117462,,2/22/20 13:23,0.0444301,,2/22/20 13:23,0.0120718,,2/22/20 13:13,0.0028608,,2/22/20 13:13,62.57117462,,2/22/20 13:13,0.002459,,2/22/20 13:13,1.0247794,,2/22/20 13:13,3.121660709
2/22/20 13:23,0.0490341,,2/22/20 13:23,0.0078983,,2/22/20 13:33,0.0020303,,2/22/20 13:33,1.0099121,,2/22/20 13:33,0.00331,,2/22/20 13:23,62.35979424,,2/22/20 13:33,0.0384846,,2/22/20 13:33,0.008849,,2/22/20 13:23,0.0026668,,2/22/20 13:23,62.35979424,,2/22/20 13:23,0.0029929,,2/22/20 13:23,1.0302156,,2/22/20 13:23,3.12117219
2/22/20 13:33,0.0435649,,2/22/20 13:33,0.0080116,,2/22/20 13:42,0.0030051,,2/22/20 13:42,1.0202352,,2/22/20 13:42,0.003798,,2/22/20 13:33,62.21886024,,2/22/20 13:42,0.0396784,,2/22/20 13:42,0.0105134,,2/22/20 13:33,0.0025348,,2/22/20 13:33,62.21886024,,2/22/20 13:33,0.0021849,,2/22/20 13:33,0.9831413,,2/22/20 13:33,3.120781422
2/22/20 13:42,0.0438625,,2/22/20 13:42,0.0081775,,2/22/20 13:52,0.0035452,,2/22/20 13:52,1.0280703,,2/22/20 13:52,0.0033364,,2/22/20 13:42,62.28930664,,2/22/20 13:52,0.0482438,,2/22/20 13:52,0.0094081,,2/22/20 13:42,0.003033,,2/22/20 13:42,62.28930664,,2/22/20 13:42,0.0021572,,2/22/20 13:42,1.0175799,,2/22/20 13:42,3.120976925
2/22/20 13:52,0.0439064,,2/22/20 13:52,0.0113977,,2/22/20 14:03,0.0031377,,2/22/20 14:03,0.9640195,,2/22/20 14:03,0.0029597,,2/22/20 13:52,62.04270477,,2/22/20 14:03,0.0426414,,2/22/20 14:03,0.010337,,2/22/20 13:52,0.0029925,,2/22/20 13:52,62.04270477,,2/22/20 13:52,0.0024699,,2/22/20 13:52,1.0358327,,2/22/20 13:52,3.120488405
2/22/20 14:03,0.0410932,,2/22/20 14:03,0.0124306,,2/22/20 14:13,0.0019867,,2/22/20 14:13,0.977735,,2/22/20 14:13,0.0031954,,2/22/20 14:03,62.28930664,,2/22/20 14:13,0.0421979,,2/22/20 14:13,0.0099577,,2/22/20 14:03,0.0034843,,2/22/20 14:03,62.28930664,,2/22/20 14:03,0.0024207,,2/22/20 14:03,0.9575196,,2/22/20 14:03,3.120390654
2/22/20 14:13,0.043179,,2/22/20 14:13,0.0081497,,2/22/20 14:23,0.0033186,,2/22/20 14:23,1.0370679,,2/22/20 14:23,0.003222,,2/22/20 14:13,62.28930664,,2/22/20 14:23,0.0498453,,2/22/20 14:23,0.0088189,,2/22/20 14:13,0.002836,,2/22/20 14:13,62.28930664,,2/22/20 14:13,0.002599,,2/22/20 14:13,0.9521886,,2/22/20 14:13,3.120390654
2/22/20 14:23,0.044177,,2/22/20 14:23,0.0085286,,2/22/20 14:33,0.002917,,2/22/20 14:33,0.9863002,,2/22/20 14:33,0.0026696,,2/22/20 14:14,62.25408173,,2/22/20 14:33,0.0453018,,2/22/20 14:33,0.0089355,,2/22/20 14:23,0.0027818,,2/22/20 14:14,62.25408173,,2/22/20 14:23,0.0014912,,2/22/20 14:23,1.0449825,,2/22/20 14:14,3.120195389
2/22/20 14:33,0.0494432,,2/22/20 14:33,0.0117003,,2/22/20 14:43,0.0024876,,2/22/20 14:43,1.003717,,2/22/20 14:43,0.0033732,,2/22/20 14:24,62.32457275,,2/22/20 14:43,0.0479494,,2/22/20 14:43,0.0135934,,2/22/20 14:33,0.0032141,,2/22/20 14:24,62.32457275,,2/22/20 14:33,0.0019283,,2/22/20 14:33,1.0058084,,2/22/20 14:24,3.120292902
