Machines > Lathe 1 > MIB > X-Axial > Peak Acceleration,,,Machines > Lathe 1 > MIB > X-Axial > Peak Velocity,,,Machines > Lathe 1 > MIB > X-Axial > Band 1,,,Machines > Lathe 1 > MIB > X-Axial > Damage Accumulation,,,Machines > Lathe 1 > MIB > Y-Vertical > RMS Velocity,,,Machines > Lathe 1 > MIB > Y-Vertical > Temperature,,,Machines > Lathe 1 > MIB > X-Axial > RMS Velocity,,,Machines > Lathe 1 > MIB > X-Axial > Temperature,,,Machines > Lathe 1 > MIB > Y-Vertical > Band 1,,,Machines > Lathe 1 > MIB > Y-Vertical > Damage Accumulation,,,Machines > Lathe 1 > MIB > Y-Vertical > Peak Acceleration,,,Machines > Lathe 1 > MIB > Y-Vertical > Peak Velocity,,,Machines > Lathe 1 > MIB > Battery Voltage,
2/22/20 10:30,0.0507479,,2/22/20 10:30,0.0147699,,2/22/20 10:30,0.0042268,,2/22/20 10:30,1.0247482,,2/22/20 10:30,0.0048497,,2/22/20 10:31,67.25695686,,2/22/20 10:30,0.0048856,,2/22/20 10:31,67.25695686,,2/22/20 10:30,0.0037835,,2/22/20 10:30,1.0120985,,2/22/20 10:30,0.0454043,,2/22/20 10:30,0.0164035,,2/22/20 10:31,3.126056194
2/22/20 10:40,0.0462193,,2/22/20 10:40,0.0145152,,2/22/20 10:40,0.0027154,,2/22/20 10:40,1.0090908,,2/22/20 10:40,0.0043485,,2/22/20 10:41,67.22169075,,2/22/20 10:40,0.0046172,,2/22/20 10:41,67.22169075,,2/22/20 10:40,0.0029706,,2/22/20 10:40,0.9954533,,2/22/20 10:40,0.0408419,,2/22/20 10:40,0.0133055,,2/22/20 10:41,3.125469923
2/22/20 10:50,0.0451815,,2/22/20 10:50,0.0157726,,2/22/20 10:50,0.0036966,,2/22/20 10:50,1.0199411,,2/22/20 10:50,0.0045304,,2/22/20 10:51,66.83415489,,2/22/20 10:50,0.0047384,,2/22/20 10:51,66.83415489,,2/22/20 10:50,0.0026124,,2/22/20 10:50,0.9907453,,2/22/20 10:50,0.0423183,,2/22/20 10:50,0.0146111,,2/22/20 10:51,3.126349211
2/22/20 11:00,0.0472212,,2/22/20 11:00,0.01285,,2/22/20 11:00,0.0019873,,2/22/20 11:00,0.9853328,,2/22/20 11:00,0.0048421,,2/22/20 11:01,67.08080139,,2/22/20 11:00,0.0048322,,2/22/20 11:01,67.08080139,,2/22/20 11:00,0.0036238,,2/22/20 11:00,1.0000098,,2/22/20 11:00,0.0415021,,2/22/20 11:00,0.0175378,,2/22/20 11:01,3.125860929
2/22/20 11:10,0.0558788,,2/22/20 11:10,0.0140326,,2/22/20 11:10,0.0032843,,2/22/20 11:10,0.9912507,,2/22/20 11:10,0.0038256,,2/22/20 11:10,66.72848701,,2/22/20 11:10,0.0046026,,2/22/20 11:10,66.72848701,,2/22/20 11:10,0.0024108,,2/22/20 11:10,1.0079627,,2/22/20 11:10,0.0476827,,2/22/20 11:10,0.0141838,,2/22/20 11:10,3.125860929
2/22/20 11:20,0.0443858,,2/22/20 11:20,0.0166359,,2/22/20 11:20,0.0044257,,2/22/20 11:20,1.014772,,2/22/20 11:20,0.0051156,,2/22/20 11:20,66.6932209,,2/22/20 11:20,0.0051619,,2/22/20 11:20,66.6932209,,2/22/20 11:20,0.0031133,,2/22/20 11:20,1.0114499,,2/22/20 11:20,0.0398853,,2/22/20 11:20,0.0152636,,2/22/20 11:20,3.125469923
2/22/20 11:30,0.0473374,,2/22/20 11:30,0.0137309,,2/22/20 11:30,0.0038655,,2/22/20 11:30,0.9788391,,2/22/20 11:30,0.0043713,,2/22/20 11:30,66.55233154,,2/22/20 11:30,0.004361,,2/22/20 11:30,66.55233154,,2/22/20 11:30,0.0028455,,2/22/20 11:30,0.9911074,,2/22/20 11:30,0.0426843,,2/22/20 11:30,0.017651,,2/22/20 11:30,3.125567913
2/22/20 11:40,0.0432258,,2/22/20 11:40,0.015813,,2/22/20 11:40,0.0058551,,2/22/20 11:40,1.0037442,,2/22/20 11:40,0.0050085,,2/22/20 11:41,66.23523865,,2/22/20 11:40,0.0059134,,2/22/20 11:41,66.23523865,,2/22/20 11:40,0.0031234,,2/22/20 11:40,1.0310412,,2/22/20 11:40,0.0511792,,2/22/20 11:40,0.0159395,,2/22/20 11:41,3.125958443
2/22/20 11:50,0.0509785,,2/22/20 11:50,0.017921,,2/22/20 11:50,0.0043243,,2/22/20 11:50,1.0135702,,2/22/20 11:50,0.0053357,,2/22/20 11:51,66.30568504,,2/22/20 11:50,0.0056106,,2/22/20 11:51,66.30568504,,2/22/20 11:50,0.0058492,,2/22/20 11:50,0.9949689,,2/22/20 11:50,0.0418832,,2/22/20 11:50,0.0148559,,2/22/20 11:51,3.12537241
2/22/20 12:00,0.0512332,,2/22/20 12:00,0.0152483,,2/22/20 12:00,0.0024712,,2/22/20 12:00,1.0101788,,2/22/20 12:00,0.0042892,,2/22/20 12:01,66.27046356,,2/22/20 12:00,0.0047554,,2/22/20 12:01,66.27046356,,2/22/20 12:00,0.0024729,,2/22/20 12:00,1.0117385,,2/22/20 12:00,0.0602196,,2/22/20 12:00,0.0128923,,2/22/20 12:01,3.125958443
2/22/20 12:10,0.0461854,,2/22/20 12:10,0.0161308,,2/22/20 12:10,0.0055144,,2/22/20 12:10,1.0286927,,2/22/20 12:10,0.0040396,,2/22/20 12:10,66.16475105,,2/22/20 12:10,0.0045099,,2/22/20 12:10,66.16475105,,2/22/20 12:10,0.0034424,,2/22/20 12:10,1.0129647,,2/22/20 12:10,0.0437347,,2/22/20 12:10,0.0137745,,2/22/20 12:10,3.125469923
2/22/20 12:20,0.0466744,,2/22/20 12:20,0.0149584,,2/22/20 12:20,0.0042091,,2/22/20 12:20,1.0211269,,2/22/20 12:20,0.0043925,,2/22/20 12:20,66.12952957,,2/22/20 12:20,0.0050133,,2/22/20 12:20,66.12952957,,2/22/20 12:20,0.003669,,2/22/20 12:20,1.0167529,,2/22/20 12:20,0.0442649,,2/22/20 12:20,0.0139156,,2/22/20 12:20,3.125469923
2/22/20 12:30,0.0471181,,2/22/20 12:30,0.0143983,,2/22/20 12:30,0.0021968,,2/22/20 12:30,1.0011927,,2/22/20 12:30,0.0054751,,2/22/20 12:30,66.23523865,,2/22/20 12:30,0.004607,,2/22/20 12:30,66.23523865,,2/22/20 12:30,0.0035656,,2/22/20 12:30,0.9898765,,2/22/20 12:30,0.0453797,,2/22/20 12:30,0.0164852,,2/22/20 12:30,3.125079393
2/22/20 12:40,0.0462382,,2/22/20 12:40,0.0192292,,2/22/20 12:40,0.005105,,2/22/20 12:40,0.988681,,2/22/20 12:40,0.0045322,,2/22/20 12:40,66.27046356,,2/22/20 12:40,0.0047573,,2/22/20 12:40,66.27046356,,2/22/20 12:40,0.0025581,,2/22/20 12:40,1.0134614,,2/22/20 12:40,0.0494531,,2/22/20 12:40,0.0148934,,2/22/20 12:40,3.124981642
2/22/20 12:50,0.0516267,,2/22/20 12:50,0.0157259,,2/22/20 12:50,0.0036535,,2/22/20 12:50,1.0068625,,2/22/20 12:50,0.0052381,,2/22/20 12:51,65.6362812,,2/22/20 12:50,0.0048885,,2/22/20 12:51,65.6362812,,2/22/20 12:50,0.0024768,,2/22/20 12:50,0.9813702,,2/22/20 12:50,0.0530611,,2/22/20 12:50,0.0166467,,2/22/20 12:51,3.124688625
2/22/20 13:00,0.0446836,,2/22/20 13:00,0.0155326,,2/22/20 13:00,0.0030667,,2/22/20 13:00,0.9867053,,2/22/20 13:00,0.0043499,,2/22/20 13:01,65.91814919,,2/22/20 13:00,0.0054822,,2/22/20 13:01,65.91814919,,2/22/20 13:00,0.0027476,,2/22/20 13:00,1.0312983,,2/22/20 13:00,0.0410446,,2/22/20 13:00,0.012206,,2/22/20 13:01,3.124493122
2/22/20 13:10,0.0477549,,2/22/20 13:10,0.0195617,,2/22/20 13:10,0.0046339,,2/22/20 13:10,1.0287951,,2/22/20 13:10,0.0050899,,2/22/20 13:10,66.16475105,,2/22/20 13:10,0.005703,,2/22/20 13:10,66.16475105,,2/22/20 13:10,0.0037371,,2/22/20 13:10,0.9666536,,2/22/20 13:10,0.0416303,,2/22/20 13:10,0.0205418,,2/22/20 13:10,3.124493122
2/22/20 13:20,0.0547136,,2/22/20 13:20,0.0182522,,2/22/20 13:20,0.003399,,2/22/20 13:20,0.9901695,,2/22/20 13:20,0.0055465,,2/22/20 13:20,65.84770279,,2/22/20 13:20,0.0055667,,2/22/20 13:20,65.84770279,,2/22/20 13:20,0.0041536,,2/22/20 13:20,0.9839888,,2/22/20 13:20,0.0400782,,2/22/20 13:20,0.0187226,,2/22/20 13:20,3.124102592
2/22/20 13:30,0.0539721,,2/22/20 13:30,0.0145042,,2/22/20 13:30,0.0031552,,2/22/20 13:30,1.0197271,,2/22/20 13:30,0.0042603,,2/22/20 13:30,65.7067688,,2/22/20 13:30,0.0045708,,2/22/20 13:30,65.7067688,,2/22/20 13:30,0.0035768,,2/22/20 13:30,1.0154876,,2/22/20 13:30,0.0543807,,2/22/20 13:30,0.0131972,,2/22/20 13:30,3.124493122
2/22/20 13:40,0.0499506,,2/22/20 13:40,0.0150286,,2/22/20 13:40,0.00504,,2/22/20 13:40,0.9815021,,2/22/20 13:40,0.0043731,,2/22/20 13:40,65.98859558,,2/22/20 13:40,0.0052352,,2/22/20 13:40,65.98859558,,2/22/20 13:40,0.0033473,,2/22/20 13:40,1.0127151,,2/22/20 13:40,0.0390753,,2/22/20 13:40,0.0136912,,2/22/20 13:40,3.124688625
2/22/20 13:50,0.0476374,,2/22/20 13:50,0.0143874,,2/22/20 13:50,0.0036755,,2/22/20 13:50,1.0370369,,2/22/20 13:50,0.0052394,,2/22/20 13:50,66.20001717,,2/22/20 13:50,0.0049201,,2/22/20 13:50,66.20001717,,2/22/20 13:50,0.0052875,,2/22/20 13:50,1.0134125,,2/22/20 13:50,0.0435679,,2/22/20 13:50,0.0156142,,2/22/20 13:50,3.124395609
2/22/20 14:00,0.0428843,,2/22/20 14:00,0.0145594,,2/22/20 14:00,0.0026922,,2/22/20 14:00,0.9844702,,2/22/20 14:00,0.0041975,,2/22/20 14:01,65.6362812,,2/22/20 14:00,0.0048479,,2/22/20 14:01,65.6362812,,2/22/20 14:00,0.0029847,,2/22/20 14:00,1.0268225,,2/22/20 14:00,0.0451099,,2/22/20 14:00,0.0125021,,2/22/20 14:01,3.124884129
2/22/20 14:10,0.0617428,,2/22/20 14:10,0.0150792,,2/22/20 14:10,0.0024321,,2/22/20 14:10,0.9863229,,2/22/20 14:10,0.0041269,,2/22/20 14:11,66.27046356,,2/22/20 14:10,0.0045914,,2/22/20 14:11,66.27046356,,2/22/20 14:10,0.0032789,,2/22/20 14:10,0.9854667,,2/22/20 14:10,0.0408731,,2/22/20 14:10,0.0110193,,2/22/20 14:11,3.124297857
2/22/20 14:20,0.0538903,,2/22/20 14:20,0.0154327,,2/22/20 14:20,0.0031884,,2/22/20 14:20,0.9760918,,2/22/20 14:20,0.0042914,,2/22/20 14:21,65.46012573,,2/22/20 14:20,0.0051903,,2/22/20 14:21,65.46012573,,2/22/20 14:20,0.0037789,,2/22/20 14:20,1.0023664,,2/22/20 14:20,0.0519472,,2/22/20 14:20,0.0129852,,2/22/20 14:21,3.124297857
2/22/20 14:30,0.0454095,,2/22/20 14:30,0.0142673,,2/22/20 14:30,0.0031685,,2/22/20 14:30,1.0232687,,2/22/20 14:30,0.0048524,,2/22/20 14:31,65.56583481,,2/22/20 14:30,0.0045139,,2/22/20 14:31,65.56583481,,2/22/20 14:30,0.0062225,,2/22/20 14:30,1.0201908,,2/22/20 14:30,0.0452622,,2/22/20 14:30,0.0172795,,2/22/20 14:31,3.123907328
2/22/20 14:40,0.0497416,,2/22/20 14:40,0.018393,,2/22/20 14:40,0.0026743,,2/22/20 14:40,0.9820484,,2/22/20 14:40,0.0045136,,2/22/20 14:41,65.77721519,,2/22/20 14:40,0.0050975,,2/22/20 14:41,65.77721519,,2/22/20 14:40,0.0050247,,2/22/20 14:40,1.0097908,,2/22/20 14:40,0.0417072,,2/22/20 14:40,0.013174,,2/22/20 14:41,3.124102592
