Machines > Lathe 1 > MIB > Y-Vertical > RMS Velocity,,,Machines > Lathe 1 > MIB > Y-Vertical > Temperature,,,Machines > Lathe 1 > MIB > Y-Vertical > Band 1,,,Machines > Lathe 1 > MIB > Y-Vertical > Damage Accumulation,,,Machines > Lathe 1 > MIB > X-Axial > Peak Acceleration,,,Machines > Lathe 1 > MIB > X-Axial > Peak Velocity,,,Machines > Lathe 1 > MIB > X-Axial > Band 1,,,Machines > Lathe 1 > MIB > X-Axial > Damage Accumulation,,,Machines > Lathe 1 > MIB > X-Axial > RMS Velocity,,,Machines > Lathe 1 > MIB > X-Axial > Temperature,,,Machines > Lathe 1 > MIB > Y-Vertical > Peak Acceleration,,,Machines > Lathe 1 > MIB > Y-Vertical > Peak Velocity,,,Machines > Lathe 1 > MIB > Battery Voltage,
2/15/20 7:58,0.0045258,,2/15/20 7:59,66.90464249,,2/15/20 7:58,0.003879,,2/15/20 7:58,0.9976875,,2/15/20 7:58,0.0458224,,2/15/20 7:58,0.0141695,,2/15/20 7:58,0.0032918,,2/15/20 7:58,0.9810674,,2/15/20 7:58,0.0052731,,2/15/20 7:59,66.90464249,,2/15/20 7:58,0.0506489,,2/15/20 7:58,0.013295,,2/15/20 7:59,3.224322319
2/15/20 8:09,0.00471,,2/15/20 8:10,67.36262474,,2/15/20 8:09,0.0045364,,2/15/20 8:09,0.9990577,,2/15/20 8:09,0.0487238,,2/15/20 8:09,0.0133478,,2/15/20 8:09,0.0046052,,2/15/20 8:09,1.0286085,,2/15/20 8:09,0.0049647,,2/15/20 8:10,67.36262474,,2/15/20 8:09,0.051922,,2/15/20 8:09,0.0179562,,2/15/20 8:10,3.224127054
2/15/20 8:19,0.005327,,2/15/20 8:20,67.36262474,,2/15/20 8:19,0.0062281,,2/15/20 8:19,0.9678353,,2/15/20 8:19,0.0508083,,2/15/20 8:19,0.0177303,,2/15/20 8:19,0.0055483,,2/15/20 8:19,1.0023968,,2/15/20 8:19,0.0049772,,2/15/20 8:20,67.36262474,,2/15/20 8:19,0.0448566,,2/15/20 8:19,0.0141329,,2/15/20 8:20,3.222856998
2/15/20 8:29,0.0050167,,2/15/20 8:29,67.29217834,,2/15/20 8:29,0.0055195,,2/15/20 8:29,1.0336279,,2/15/20 8:29,0.0439171,,2/15/20 8:29,0.0148383,,2/15/20 8:29,0.003549,,2/15/20 8:29,1.0077274,,2/15/20 8:29,0.0045902,,2/15/20 8:29,67.29217834,,2/15/20 8:29,0.0569741,,2/15/20 8:29,0.0162289,,2/15/20 8:29,3.223638535
2/15/20 8:48,0.0047143,,2/15/20 8:39,66.72848701,,2/15/20 8:48,0.00451,,2/15/20 8:48,1.0129768,,2/15/20 8:39,0.0436649,,2/15/20 8:39,0.0148021,,2/15/20 8:39,0.0038002,,2/15/20 8:39,0.9771434,,2/15/20 8:39,0.0049315,,2/15/20 8:39,66.72848701,,2/15/20 8:48,0.0404489,,2/15/20 8:48,0.0149314,,2/15/20 8:39,3.223248005
2/15/20 8:58,0.005184,,2/15/20 8:49,66.6932209,,2/15/20 8:58,0.0049561,,2/15/20 8:58,1.0104198,,2/15/20 8:48,0.0513351,,2/15/20 8:48,0.0125858,,2/15/20 8:48,0.0034589,,2/15/20 8:48,0.9718059,,2/15/20 8:48,0.0042921,,2/15/20 8:49,66.6932209,,2/15/20 8:58,0.0435338,,2/15/20 8:58,0.015729,,2/15/20 8:49,3.222466469
2/15/20 9:08,0.0053824,,2/15/20 8:59,67.22169075,,2/15/20 9:08,0.0027869,,2/15/20 9:08,1.0105762,,2/15/20 8:58,0.0439368,,2/15/20 8:58,0.0133913,,2/15/20 8:58,0.0057793,,2/15/20 8:58,0.9709091,,2/15/20 8:58,0.0046517,,2/15/20 8:59,67.22169075,,2/15/20 9:08,0.0477415,,2/15/20 9:08,0.0163614,,2/15/20 8:59,3.222271204
2/15/20 9:19,0.0050279,,2/15/20 9:09,66.27046356,,2/15/20 9:19,0.004258,,2/15/20 9:19,1.0095192,,2/15/20 9:08,0.0474083,,2/15/20 9:08,0.0162136,,2/15/20 9:08,0.0042342,,2/15/20 9:08,0.9942938,,2/15/20 9:08,0.0057254,,2/15/20 9:09,66.27046356,,2/15/20 9:19,0.0505221,,2/15/20 9:19,0.0150183,,2/15/20 9:09,3.222759485
2/15/20 9:29,0.0041602,,2/15/20 9:20,66.86937637,,2/15/20 9:29,0.0035402,,2/15/20 9:29,1.0181134,,2/15/20 9:19,0.0528046,,2/15/20 9:19,0.0152531,,2/15/20 9:19,0.0045401,,2/15/20 9:19,0.9714758,,2/15/20 9:19,0.0050385,,2/15/20 9:20,66.86937637,,2/15/20 9:29,0.0431017,,2/15/20 9:29,0.0134325,,2/15/20 9:20,3.22158742
2/15/20 9:39,0.0044596,,2/15/20 9:29,66.41139755,,2/15/20 9:39,0.0034106,,2/15/20 9:39,0.9905372,,2/15/20 9:29,0.0451354,,2/15/20 9:29,0.0158733,,2/15/20 9:29,0.0037393,,2/15/20 9:29,0.9720835,,2/15/20 9:29,0.0048578,,2/15/20 9:29,66.41139755,,2/15/20 9:39,0.0404385,,2/15/20 9:39,0.0136164,,2/15/20 9:29,3.222075701
2/15/20 9:49,0.0040345,,2/15/20 9:39,67.39784622,,2/15/20 9:49,0.003094,,2/15/20 9:49,1.0071601,,2/15/20 9:39,0.0446749,,2/15/20 9:39,0.0173072,,2/15/20 9:39,0.0052732,,2/15/20 9:39,0.9680389,,2/15/20 9:39,0.005573,,2/15/20 9:39,67.39784622,,2/15/20 9:49,0.0534792,,2/15/20 9:49,0.0131819,,2/15/20 9:39,3.221489668
2/15/20 9:58,0.0047237,,2/15/20 9:49,66.27046356,,2/15/20 9:58,0.0036064,,2/15/20 9:58,1.0022316,,2/15/20 9:49,0.0514615,,2/15/20 9:49,0.0141328,,2/15/20 9:49,0.0035543,,2/15/20 9:49,1.0267694,,2/15/20 9:49,0.0043166,,2/15/20 9:49,66.27046356,,2/15/20 9:58,0.0483675,,2/15/20 9:58,0.0183134,,2/15/20 9:49,3.221880198
2/15/20 10:08,0.0048837,,2/15/20 9:59,66.51706543,,2/15/20 10:08,0.0040888,,2/15/20 10:08,1.0095828,,2/15/20 9:58,0.0450811,,2/15/20 9:58,0.0170362,,2/15/20 9:58,0.0043,,2/15/20 9:58,1.0090658,,2/15/20 9:58,0.0047284,,2/15/20 9:59,66.51706543,,2/15/20 10:08,0.0532422,,2/15/20 10:08,0.0158547,,2/15/20 9:59,3.2210989
2/15/20 10:18,0.0043374,,2/15/20 10:09,66.41139755,,2/15/20 10:18,0.003932,,2/15/20 10:18,1.018938,,2/15/20 10:08,0.0658941,,2/15/20 10:08,0.0136579,,2/15/20 10:08,0.0028388,,2/15/20 10:08,0.9929191,,2/15/20 10:08,0.004943,,2/15/20 10:09,66.41139755,,2/15/20 10:18,0.0422515,,2/15/20 10:18,0.0122989,,2/15/20 10:09,3.2210989
2/15/20 10:28,0.0047234,,2/15/20 10:19,66.37617264,,2/15/20 10:28,0.0038888,,2/15/20 10:28,1.0194053,,2/15/20 10:18,0.0520168,,2/15/20 10:18,0.0159271,,2/15/20 10:18,0.0036528,,2/15/20 10:18,1.0167454,,2/15/20 10:18,0.0052722,,2/15/20 10:19,66.37617264,,2/15/20 10:28,0.0462644,,2/15/20 10:28,0.0139981,,2/15/20 10:19,3.221391916
2/15/20 10:39,0.0045346,,2/15/20 10:28,66.30568504,,2/15/20 10:39,0.0037879,,2/15/20 10:39,0.9881977,,2/15/20 10:28,0.0464771,,2/15/20 10:28,0.0151951,,2/15/20 10:28,0.0034591,,2/15/20 10:28,1.0073359,,2/15/20 10:28,0.0047249,,2/15/20 10:28,66.30568504,,2/15/20 10:39,0.042232,,2/15/20 10:39,0.0125234,,2/15/20 10:28,3.220903397
2/15/20 10:49,0.0043342,,2/15/20 10:39,66.41139755,,2/15/20 10:49,0.0030623,,2/15/20 10:49,0.9893846,,2/15/20 10:39,0.044355,,2/15/20 10:39,0.0138328,,2/15/20 10:39,0.0037954,,2/15/20 10:39,1.0062184,,2/15/20 10:39,0.0048439,,2/15/20 10:39,66.41139755,,2/15/20 10:49,0.048979,,2/15/20 10:49,0.0142186,,2/15/20 10:39,3.220317602
2/15/20 10:59,0.0037982,,2/15/20 10:49,66.62277451,,2/15/20 10:59,0.0033931,,2/15/20 10:59,1.0042873,,2/15/20 10:49,0.0532148,,2/15/20 10:49,0.0160867,,2/15/20 10:49,0.004805,,2/15/20 10:49,1.021771,,2/15/20 10:49,0.0049784,,2/15/20 10:49,66.62277451,,2/15/20 10:59,0.0477079,,2/15/20 10:59,0.0113584,,2/15/20 10:49,3.220512867
2/15/20 11:08,0.0045439,,2/15/20 10:59,66.16475105,,2/15/20 11:08,0.002804,,2/15/20 11:08,1.0197258,,2/15/20 10:59,0.0479249,,2/15/20 10:59,0.0146663,,2/15/20 10:59,0.0024469,,2/15/20 10:59,1.0283649,,2/15/20 10:59,0.0046477,,2/15/20 10:59,66.16475105,,2/15/20 11:08,0.0436542,,2/15/20 11:08,0.0160276,,2/15/20 10:59,3.219926596
2/15/20 11:18,0.0043349,,2/15/20 11:09,66.41139755,,2/15/20 11:18,0.0034078,,2/15/20 11:18,1.0072041,,2/15/20 11:08,0.0498827,,2/15/20 11:08,0.0167259,,2/15/20 11:08,0.0066021,,2/15/20 11:08,0.9793808,,2/15/20 11:08,0.0051032,,2/15/20 11:09,66.41139755,,2/15/20 11:18,0.0488878,,2/15/20 11:18,0.0139986,,2/15/20 11:09,3.219829082
2/15/20 11:28,0.0053109,,2/15/20 11:19,66.27046356,,2/15/20 11:28,0.0041897,,2/15/20 11:28,1.0356932,,2/15/20 11:18,0.0460698,,2/15/20 11:18,0.0156026,,2/15/20 11:18,0.0030787,,2/15/20 11:18,0.9880527,,2/15/20 11:18,0.0047172,,2/15/20 11:19,66.27046356,,2/15/20 11:28,0.0436935,,2/15/20 11:28,0.0153907,,2/15/20 11:19,3.219731331
2/15/20 11:38,0.0048818,,2/15/20 11:28,66.34090652,,2/15/20 11:38,0.0036472,,2/15/20 11:38,0.9765423,,2/15/20 11:28,0.0488267,,2/15/20 11:28,0.0243576,,2/15/20 11:28,0.0028234,,2/15/20 11:28,1.0191922,,2/15/20 11:28,0.0055168,,2/15/20 11:28,66.34090652,,2/15/20 11:38,0.0503879,,2/15/20 11:38,0.0192194,,2/15/20 11:28,3.219536066
2/15/20 11:49,0.004569,,2/15/20 11:38,65.91814919,,2/15/20 11:49,0.0035202,,2/15/20 11:49,1.0181377,,2/15/20 11:38,0.0439421,,2/15/20 11:38,0.0155313,,2/15/20 11:38,0.0020967,,2/15/20 11:38,1.0040356,,2/15/20 11:38,0.0047249,,2/15/20 11:38,65.91814919,,2/15/20 11:49,0.0441693,,2/15/20 11:49,0.013824,,2/15/20 11:38,3.219340801
2/15/20 11:59,0.0038597,,2/15/20 11:49,66.09430466,,2/15/20 11:59,0.0035595,,2/15/20 11:59,1.0042042,,2/15/20 11:49,0.0464202,,2/15/20 11:49,0.0135465,,2/15/20 11:49,0.0031411,,2/15/20 11:49,1.0364565,,2/15/20 11:49,0.0049447,,2/15/20 11:49,66.09430466,,2/15/20 11:59,0.0450195,,2/15/20 11:59,0.0109937,,2/15/20 11:49,3.219340801
2/15/20 12:09,0.0046748,,2/15/20 11:59,66.27046356,,2/15/20 12:09,0.0047177,,2/15/20 12:09,1.0199413,,2/15/20 11:59,0.0544827,,2/15/20 11:59,0.0152119,,2/15/20 11:59,0.0042923,,2/15/20 11:59,0.9843427,,2/15/20 11:59,0.005571,,2/15/20 11:59,66.27046356,,2/15/20 12:09,0.0495392,,2/15/20 12:09,0.0144848,,2/15/20 11:59,3.218852282
2/15/20 12:19,0.0051446,,2/15/20 12:09,66.30568504,,2/15/20 12:19,0.0031451,,2/15/20 12:19,1.0297224,,2/15/20 12:09,0.0419017,,2/15/20 12:09,0.0143883,,2/15/20 12:09,0.002834,,2/15/20 12:09,0.9954569,,2/15/20 12:09,0.0043503,,2/15/20 12:09,66.30568504,,2/15/20 12:19,0.0457668,,2/15/20 12:19,0.0145082,,2/15/20 12:09,3.218364
2/15/20 12:28,0.0048335,,2/15/20 12:19,66.09430466,,2/15/20 12:28,0.00314,,2/15/20 12:28,1.0241014,,2/15/20 12:19,0.0492227,,2/15/20 12:19,0.01228,,2/15/20 12:19,0.0026221,,2/15/20 12:19,1.0370961,,2/15/20 12:19,0.0046193,,2/15/20 12:19,66.09430466,,2/15/20 12:28,0.0466304,,2/15/20 12:28,0.0182641,,2/15/20 12:19,3.218461514
2/15/20 12:38,0.0045743,,2/15/20 12:28,65.84770279,,2/15/20 12:38,0.0052866,,2/15/20 12:38,1.017416,,2/15/20 12:28,0.0495945,,2/15/20 12:28,0.0132687,,2/15/20 12:28,0.0032377,,2/15/20 12:28,0.9985069,,2/15/20 12:28,0.0048403,,2/15/20 12:28,65.84770279,,2/15/20 12:38,0.0509401,,2/15/20 12:38,0.0160646,,2/15/20 12:28,3.218364
2/15/20 12:48,0.0047996,,2/15/20 12:39,65.49539185,,2/15/20 12:48,0.0022573,,2/15/20 12:48,1.0029536,,2/15/20 12:38,0.0543848,,2/15/20 12:38,0.0154536,,2/15/20 12:38,0.0045123,,2/15/20 12:38,0.9802434,,2/15/20 12:38,0.0051274,,2/15/20 12:39,65.49539185,,2/15/20 12:48,0.0410701,,2/15/20 12:48,0.0144109,,2/15/20 12:39,3.218168497
2/15/20 12:59,0.0045896,,2/15/20 12:49,65.74199371,,2/15/20 12:59,0.0036411,,2/15/20 12:59,0.9920323,,2/15/20 12:48,0.0459114,,2/15/20 12:48,0.0205156,,2/15/20 12:48,0.0030249,,2/15/20 12:48,1.0248506,,2/15/20 12:48,0.0054029,,2/15/20 12:49,65.74199371,,2/15/20 12:59,0.0540363,,2/15/20 12:59,0.0161706,,2/15/20 12:49,3.217680216
2/15/20 13:09,0.004338,,2/15/20 13:00,65.31923294,,2/15/20 13:09,0.0027838,,2/15/20 13:09,1.0225768,,2/15/20 12:59,0.0557218,,2/15/20 12:59,0.0184319,,2/15/20 12:59,0.0035724,,2/15/20 12:59,1.0436558,,2/15/20 12:59,0.0049315,,2/15/20 13:00,65.31923294,,2/15/20 13:09,0.0462639,,2/15/20 13:09,0.0132456,,2/15/20 13:00,3.217680216
2/15/20 13:19,0.0043726,,2/15/20 13:10,65.46012573,,2/15/20 13:19,0.0029573,,2/15/20 13:19,0.9841184,,2/15/20 13:09,0.0446354,,2/15/20 13:09,0.0162596,,2/15/20 13:09,0.0029398,,2/15/20 13:09,1.0037875,,2/15/20 13:09,0.004877,,2/15/20 13:10,65.46012573,,2/15/20 13:19,0.0460914,,2/15/20 13:19,0.0161582,,2/15/20 13:10,3.217875481
2/15/20 13:29,0.0049738,,2/15/20 13:20,65.07258987,,2/15/20 13:29,0.0034963,,2/15/20 13:29,1.0006019,,2/15/20 13:19,0.0477392,,2/15/20 13:19,0.0146559,,2/15/20 13:19,0.0041174,,2/15/20 13:19,1.0073041,,2/15/20 13:19,0.0049293,,2/15/20 13:20,65.07258987,,2/15/20 13:29,0.0467798,,2/15/20 13:29,0.0154234,,2/15/20 13:20,3.217191696
2/15/20 13:38,0.004939,,2/15/20 13:29,65.00214348,,2/15/20 13:38,0.0050562,,2/15/20 13:38,1.0128643,,2/15/20 13:28,0.0450505,,2/15/20 13:28,0.0178885,,2/15/20 13:28,0.0044048,,2/15/20 13:28,0.9969956,,2/15/20 13:28,0.0059715,,2/15/20 13:29,65.00214348,,2/15/20 13:38,0.0452911,,2/15/20 13:38,0.0141953,,2/15/20 13:29,3.216410398
2/15/20 13:48,0.0037386,,2/15/20 13:39,65.14307747,,2/15/20 13:48,0.0022578,,2/15/20 13:48,0.9985612,,2/15/20 13:38,0.0424755,,2/15/20 13:38,0.0155182,,2/15/20 13:38,0.0046359,,2/15/20 13:38,0.9893888,,2/15/20 13:38,0.0048998,,2/15/20 13:39,65.14307747,,2/15/20 13:48,0.0428949,,2/15/20 13:48,0.0128699,,2/15/20 13:39,3.217191696
2/15/20 13:58,0.005204,,2/15/20 13:49,64.82598801,,2/15/20 13:58,0.0031317,,2/15/20 13:58,1.001992,,2/15/20 13:48,0.0503012,,2/15/20 13:48,0.015054,,2/15/20 13:48,0.0031216,,2/15/20 13:48,1.0017504,,2/15/20 13:48,0.0043892,,2/15/20 13:49,64.82598801,,2/15/20 13:58,0.0527539,,2/15/20 13:58,0.0170386,,2/15/20 13:49,3.216605663
2/15/20 14:09,0.0041597,,2/15/20 13:59,64.93165588,,2/15/20 14:09,0.0030221,,2/15/20 14:09,1.007804,,2/15/20 13:58,0.0471288,,2/15/20 13:58,0.0164279,,2/15/20 13:58,0.0048487,,2/15/20 13:58,1.028852,,2/15/20 13:58,0.0058593,,2/15/20 13:59,64.93165588,,2/15/20 14:09,0.044197,,2/15/20 14:09,0.0128227,,2/15/20 13:59,3.216507912
2/15/20 14:19,0.0049692,,2/15/20 14:10,64.79076309,,2/15/20 14:19,0.0026181,,2/15/20 14:19,1.008281,,2/15/20 14:09,0.0512311,,2/15/20 14:09,0.0165404,,2/15/20 14:09,0.0025893,,2/15/20 14:09,1.0077297,,2/15/20 14:09,0.0053636,,2/15/20 14:10,64.79076309,,2/15/20 14:19,0.0466611,,2/15/20 14:19,0.0144457,,2/15/20 14:10,3.216214895
2/15/20 14:29,0.0046451,,2/15/20 14:20,64.93165588,,2/15/20 14:29,0.0044194,,2/15/20 14:29,1.0052247,,2/15/20 14:19,0.0500132,,2/15/20 14:19,0.0156591,,2/15/20 14:19,0.0029834,,2/15/20 14:19,1.006578,,2/15/20 14:19,0.0048092,,2/15/20 14:20,64.93165588,,2/15/20 14:29,0.045981,,2/15/20 14:29,0.0166152,,2/15/20 14:20,3.215921879
2/15/20 14:39,0.004548,,2/15/20 14:29,65.14307747,,2/15/20 14:39,0.0024407,,2/15/20 14:39,0.9950716,,2/15/20 14:29,0.0428059,,2/15/20 14:29,0.0145075,,2/15/20 14:29,0.0053359,,2/15/20 14:29,0.9654942,,2/15/20 14:29,0.0047335,,2/15/20 14:29,65.14307747,,2/15/20 14:39,0.0447708,,2/15/20 14:39,0.0138715,,2/15/20 14:29,3.215824127
2/15/20 14:48,0.0046938,,2/15/20 14:39,65.46012573,,2/15/20 14:48,0.0038464,,2/15/20 14:48,0.9791043,,2/15/20 14:39,0.0543854,,2/15/20 14:39,0.0175466,,2/15/20 14:39,0.0032424,,2/15/20 14:39,1.0389488,,2/15/20 14:39,0.0055793,,2/15/20 14:39,65.46012573,,2/15/20 14:48,0.0422749,,2/15/20 14:48,0.0170584,,2/15/20 14:39,3.215628862
2/15/20 14:58,0.0045924,,2/15/20 14:49,64.75549698,,2/15/20 14:58,0.0032583,,2/15/20 14:58,0.9931824,,2/15/20 14:48,0.0509428,,2/15/20 14:48,0.0198268,,2/15/20 14:48,0.0031115,,2/15/20 14:48,1.0369231,,2/15/20 14:48,0.0052394,,2/15/20 14:49,64.75549698,,2/15/20 14:58,0.0402339,,2/15/20 14:58,0.0149448,,2/15/20 14:49,3.215824127
