Machines > Bridgeport Mill 3 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 3 > Spindle > Battery Voltage,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Velocity,
2/15/20 6:38,0.0047076,,2/15/20 6:38,62.56999359,,2/15/20 6:38,0.0027523,,2/15/20 6:38,0.9811894,,2/15/20 6:38,0.0420535,,2/15/20 6:38,0.0190579,,2/15/20 6:38,0.00517,,2/15/20 6:38,62.56999359,,2/15/20 6:38,0.0032615,,2/15/20 6:38,1.0334635,,2/15/20 6:38,3.23233223,,2/15/20 6:38,0.0526245,,2/15/20 6:38,0.0160327
2/15/20 6:48,0.0052211,,2/15/20 6:48,62.38665924,,2/15/20 6:48,0.0048544,,2/15/20 6:48,1.0290105,,2/15/20 6:48,0.0414058,,2/15/20 6:48,0.0186332,,2/15/20 6:48,0.0058458,,2/15/20 6:48,62.38665924,,2/15/20 6:48,0.0038918,,2/15/20 6:48,1.0332518,,2/15/20 6:48,3.232429743,,2/15/20 6:48,0.0485341,,2/15/20 6:48,0.0157281
2/15/20 6:59,0.0056557,,2/15/20 6:59,62.60664673,,2/15/20 6:59,0.0055742,,2/15/20 6:59,0.9859924,,2/15/20 6:59,0.0516069,,2/15/20 6:59,0.0152023,,2/15/20 6:59,0.0040107,,2/15/20 6:59,62.60664673,,2/15/20 6:59,0.00305,,2/15/20 6:59,1.0493294,,2/15/20 6:59,3.232039213,,2/15/20 6:59,0.044519,,2/15/20 6:59,0.0202885
2/15/20 7:09,0.0056537,,2/15/20 7:09,62.46002045,,2/15/20 7:09,0.0070076,,2/15/20 7:09,0.9992737,,2/15/20 7:09,0.0433293,,2/15/20 7:09,0.0125689,,2/15/20 7:09,0.0046078,,2/15/20 7:09,62.46002045,,2/15/20 7:09,0.0043662,,2/15/20 7:09,1.0574482,,2/15/20 7:09,3.231648207,,2/15/20 7:09,0.0587925,,2/15/20 7:09,0.015562
2/15/20 7:19,0.0053374,,2/15/20 7:20,62.82668228,,2/15/20 7:19,0.0042562,,2/15/20 7:19,0.9744443,,2/15/20 7:19,0.048022,,2/15/20 7:19,0.0138,,2/15/20 7:19,0.0043157,,2/15/20 7:20,62.82668228,,2/15/20 7:19,0.0035718,,2/15/20 7:19,1.0295021,,2/15/20 7:20,3.231452942,,2/15/20 7:19,0.0534869,,2/15/20 7:19,0.0149826
2/15/20 7:29,0.0045731,,2/15/20 7:30,62.34999924,,2/15/20 7:29,0.0028862,,2/15/20 7:29,0.9779735,,2/15/20 7:29,0.0442176,,2/15/20 7:29,0.0162737,,2/15/20 7:29,0.0052162,,2/15/20 7:30,62.34999924,,2/15/20 7:29,0.0033676,,2/15/20 7:29,1.0284931,,2/15/20 7:30,3.231550694,,2/15/20 7:29,0.0547398,,2/15/20 7:29,0.0136935
2/15/20 7:38,0.0056333,,2/15/20 7:39,62.31334267,,2/15/20 7:38,0.0062888,,2/15/20 7:38,0.9830688,,2/15/20 7:38,0.0430429,,2/15/20 7:38,0.0148757,,2/15/20 7:38,0.0048799,,2/15/20 7:39,62.31334267,,2/15/20 7:38,0.0028619,,2/15/20 7:38,1.0397138,,2/15/20 7:39,3.231452942,,2/15/20 7:38,0.044537,,2/15/20 7:38,0.0214896
2/15/20 7:48,0.0053998,,2/15/20 7:49,62.49667358,,2/15/20 7:48,0.0035403,,2/15/20 7:48,0.9796441,,2/15/20 7:48,0.0461383,,2/15/20 7:48,0.0198555,,2/15/20 7:48,0.0049547,,2/15/20 7:49,62.49667358,,2/15/20 7:48,0.003747,,2/15/20 7:48,1.0326506,,2/15/20 7:49,3.230378628,,2/15/20 7:48,0.0488903,,2/15/20 7:48,0.016289
2/15/20 7:58,0.0054323,,2/15/20 7:59,62.34999924,,2/15/20 7:58,0.0029693,,2/15/20 7:58,0.998877,,2/15/20 7:58,0.0503779,,2/15/20 7:58,0.0147524,,2/15/20 7:58,0.0055186,,2/15/20 7:59,62.34999924,,2/15/20 7:58,0.0034251,,2/15/20 7:58,1.0798974,,2/15/20 7:59,3.231159925,,2/15/20 7:58,0.0543788,,2/15/20 7:58,0.0230525
2/15/20 8:09,0.0053937,,2/15/20 8:10,62.42331581,,2/15/20 8:09,0.0052967,,2/15/20 8:09,0.9968514,,2/15/20 8:09,0.0454551,,2/15/20 8:09,0.0127476,,2/15/20 8:09,0.0044548,,2/15/20 8:10,62.42331581,,2/15/20 8:09,0.0034147,,2/15/20 8:09,1.0617759,,2/15/20 8:10,3.230183125,,2/15/20 8:09,0.0399228,,2/15/20 8:09,0.015116
2/15/20 8:19,0.0052553,,2/15/20 8:20,62.42331581,,2/15/20 8:19,0.0050623,,2/15/20 8:19,0.9803959,,2/15/20 8:19,0.0501304,,2/15/20 8:19,0.0201219,,2/15/20 8:19,0.0045217,,2/15/20 8:20,62.42331581,,2/15/20 8:19,0.0024899,,2/15/20 8:19,1.0776083,,2/15/20 8:20,3.230476141,,2/15/20 8:19,0.0485104,,2/15/20 8:19,0.0178508
2/15/20 8:29,0.0060581,,2/15/20 8:30,62.2766861,,2/15/20 8:29,0.0038243,,2/15/20 8:29,0.9799573,,2/15/20 8:29,0.0445747,,2/15/20 8:29,0.0164317,,2/15/20 8:29,0.0053438,,2/15/20 8:30,62.2766861,,2/15/20 8:29,0.0026211,,2/15/20 8:29,1.020524,,2/15/20 8:30,3.230280876,,2/15/20 8:29,0.0450582,,2/15/20 8:29,0.0210015
2/15/20 8:39,0.0044403,,2/15/20 8:39,62.34999924,,2/15/20 8:39,0.0030108,,2/15/20 8:39,1.006165,,2/15/20 8:39,0.0406798,,2/15/20 8:39,0.0136481,,2/15/20 8:39,0.0043526,,2/15/20 8:39,62.34999924,,2/15/20 8:39,0.0035683,,2/15/20 8:39,1.0527823,,2/15/20 8:39,3.229694605,,2/15/20 8:39,0.0490942,,2/15/20 8:39,0.014657
2/15/20 8:48,0.0048998,,2/15/20 8:49,62.34999924,,2/15/20 8:48,0.0045817,,2/15/20 8:48,0.9944081,,2/15/20 8:48,0.0415492,,2/15/20 8:48,0.0149864,,2/15/20 8:48,0.0041397,,2/15/20 8:49,62.34999924,,2/15/20 8:48,0.0024699,,2/15/20 8:48,1.0561527,,2/15/20 8:49,3.230183125,,2/15/20 8:48,0.0445034,,2/15/20 8:48,0.0142514
2/15/20 8:58,0.0056236,,2/15/20 8:59,62.60664673,,2/15/20 8:58,0.0053819,,2/15/20 8:58,1.0029282,,2/15/20 8:58,0.0401363,,2/15/20 8:58,0.0150273,,2/15/20 8:58,0.0050587,,2/15/20 8:59,62.60664673,,2/15/20 8:58,0.0040145,,2/15/20 8:58,1.020653,,2/15/20 8:59,3.22949934,,2/15/20 8:58,0.0424791,,2/15/20 8:58,0.0178774
2/15/20 9:08,0.0048146,,2/15/20 9:09,62.34999924,,2/15/20 9:08,0.0030625,,2/15/20 9:08,0.992299,,2/15/20 9:08,0.0402233,,2/15/20 9:08,0.0169311,,2/15/20 9:08,0.0045682,,2/15/20 9:09,62.34999924,,2/15/20 9:08,0.0027811,,2/15/20 9:08,1.0273266,,2/15/20 9:09,3.229206324,,2/15/20 9:08,0.0505428,,2/15/20 9:08,0.0161242
2/15/20 9:19,0.0048786,,2/15/20 9:20,62.49667358,,2/15/20 9:19,0.0029753,,2/15/20 9:19,1.0235811,,2/15/20 9:19,0.0417165,,2/15/20 9:19,0.0202846,,2/15/20 9:19,0.005969,,2/15/20 9:20,62.49667358,,2/15/20 9:19,0.0037615,,2/15/20 9:19,1.0278712,,2/15/20 9:20,3.229304075,,2/15/20 9:19,0.0446414,,2/15/20 9:19,0.0182034
2/15/20 9:29,0.0055479,,2/15/20 9:29,62.42331581,,2/15/20 9:29,0.0046332,,2/15/20 9:29,0.9831941,,2/15/20 9:29,0.0443259,,2/15/20 9:29,0.0142566,,2/15/20 9:29,0.0054203,,2/15/20 9:29,62.42331581,,2/15/20 9:29,0.0036128,,2/15/20 9:29,1.0739051,,2/15/20 9:29,3.22910881,,2/15/20 9:29,0.0513147,,2/15/20 9:29,0.0176128
2/15/20 9:39,0.0052375,,2/15/20 9:39,62.49667358,,2/15/20 9:39,0.0044069,,2/15/20 9:39,1.0006102,,2/15/20 9:39,0.046392,,2/15/20 9:39,0.0141821,,2/15/20 9:39,0.0048923,,2/15/20 9:39,62.49667358,,2/15/20 9:39,0.0030539,,2/15/20 9:39,1.0311563,,2/15/20 9:39,3.228913307,,2/15/20 9:39,0.0531134,,2/15/20 9:39,0.0150604
2/15/20 9:49,0.0056107,,2/15/20 9:49,62.2766861,,2/15/20 9:49,0.0058281,,2/15/20 9:49,1.031955,,2/15/20 9:49,0.041104,,2/15/20 9:49,0.014389,,2/15/20 9:49,0.004746,,2/15/20 9:49,62.2766861,,2/15/20 9:49,0.0037834,,2/15/20 9:49,1.0321189,,2/15/20 9:49,3.228620291,,2/15/20 9:49,0.0565618,,2/15/20 9:49,0.0159085
2/15/20 9:58,0.0057899,,2/15/20 9:59,62.34999924,,2/15/20 9:58,0.004242,,2/15/20 9:58,0.9730243,,2/15/20 9:59,0.0444541,,2/15/20 9:59,0.0158797,,2/15/20 9:59,0.0054783,,2/15/20 9:59,62.34999924,,2/15/20 9:59,0.0054469,,2/15/20 9:59,1.022186,,2/15/20 9:59,3.228425026,,2/15/20 9:58,0.0477888,,2/15/20 9:58,0.0169461
2/15/20 10:08,0.0055325,,2/15/20 10:09,62.13001175,,2/15/20 10:08,0.0068526,,2/15/20 10:08,1.0079609,,2/15/20 10:08,0.0429036,,2/15/20 10:08,0.0196984,,2/15/20 10:08,0.0050854,,2/15/20 10:09,62.13001175,,2/15/20 10:08,0.003663,,2/15/20 10:08,1.0320802,,2/15/20 10:09,3.229011059,,2/15/20 10:08,0.0513573,,2/15/20 10:08,0.0157525
2/15/20 10:18,0.0048242,,2/15/20 10:19,62.31334267,,2/15/20 10:18,0.0028693,,2/15/20 10:18,0.9838833,,2/15/20 10:18,0.0502999,,2/15/20 10:18,0.0177921,,2/15/20 10:18,0.005003,,2/15/20 10:19,62.31334267,,2/15/20 10:18,0.004436,,2/15/20 10:18,1.0276466,,2/15/20 10:19,3.228229523,,2/15/20 10:18,0.0508243,,2/15/20 10:18,0.0130726
2/15/20 10:28,0.0054207,,2/15/20 10:29,62.09335175,,2/15/20 10:28,0.0067999,,2/15/20 10:28,0.9961622,,2/15/20 10:28,0.0428613,,2/15/20 10:28,0.014243,,2/15/20 10:28,0.0045072,,2/15/20 10:29,62.09335175,,2/15/20 10:28,0.0048658,,2/15/20 10:28,1.0379332,,2/15/20 10:29,3.227936506,,2/15/20 10:28,0.0428137,,2/15/20 10:28,0.0140681
2/15/20 10:39,0.0049237,,2/15/20 10:39,62.68000793,,2/15/20 10:39,0.0026177,,2/15/20 10:39,0.9861595,,2/15/20 10:39,0.0442428,,2/15/20 10:39,0.0175961,,2/15/20 10:39,0.0051135,,2/15/20 10:39,62.68000793,,2/15/20 10:39,0.004242,,2/15/20 10:39,1.0155433,,2/15/20 10:39,3.227350473,,2/15/20 10:39,0.043525,,2/15/20 10:39,0.0148225
2/15/20 10:49,0.0052517,,2/15/20 10:49,62.13001175,,2/15/20 10:49,0.0051857,,2/15/20 10:49,1.0056847,,2/15/20 10:49,0.0467605,,2/15/20 10:49,0.0134759,,2/15/20 10:49,0.0051878,,2/15/20 10:49,62.13001175,,2/15/20 10:49,0.0051513,,2/15/20 10:49,1.0554611,,2/15/20 10:49,3.22764349,,2/15/20 10:49,0.0492919,,2/15/20 10:49,0.0139738
2/15/20 10:59,0.0050504,,2/15/20 10:59,62.34999924,,2/15/20 10:59,0.0045005,,2/15/20 10:59,1.0086291,,2/15/20 10:59,0.0405402,,2/15/20 10:59,0.015171,,2/15/20 10:59,0.0046987,,2/15/20 10:59,62.34999924,,2/15/20 10:59,0.0047624,,2/15/20 10:59,1.0429784,,2/15/20 10:59,3.227838755,,2/15/20 10:59,0.0478191,,2/15/20 10:59,0.0160945
2/15/20 11:09,0.0047969,,2/15/20 11:09,62.20332489,,2/15/20 11:09,0.002814,,2/15/20 11:09,0.9816697,,2/15/20 11:09,0.0395522,,2/15/20 11:09,0.0147901,,2/15/20 11:09,0.0046753,,2/15/20 11:09,62.20332489,,2/15/20 11:09,0.0031553,,2/15/20 11:09,1.0190917,,2/15/20 11:09,3.226959705,,2/15/20 11:09,0.0465517,,2/15/20 11:09,0.0136497
2/15/20 11:18,0.0051105,,2/15/20 11:19,62.16666489,,2/15/20 11:18,0.0048273,,2/15/20 11:18,0.9716252,,2/15/20 11:18,0.0433559,,2/15/20 11:18,0.0182069,,2/15/20 11:18,0.0051044,,2/15/20 11:19,62.16666489,,2/15/20 11:18,0.004975,,2/15/20 11:18,1.0122659,,2/15/20 11:19,3.226764202,,2/15/20 11:18,0.0489041,,2/15/20 11:18,0.0174043
2/15/20 11:28,0.0054535,,2/15/20 11:28,62.20332489,,2/15/20 11:28,0.0023877,,2/15/20 11:28,0.9549609,,2/15/20 11:28,0.0436361,,2/15/20 11:28,0.016062,,2/15/20 11:28,0.0040701,,2/15/20 11:28,62.20332489,,2/15/20 11:28,0.0043532,,2/15/20 11:28,1.0346196,,2/15/20 11:28,3.226568937,,2/15/20 11:28,0.0499366,,2/15/20 11:28,0.0164512
2/15/20 11:38,0.005334,,2/15/20 11:38,62.23998489,,2/15/20 11:38,0.0027189,,2/15/20 11:38,0.9922781,,2/15/20 11:38,0.044638,,2/15/20 11:38,0.0116737,,2/15/20 11:38,0.004378,,2/15/20 11:38,62.23998489,,2/15/20 11:38,0.0045056,,2/15/20 11:38,1.0463668,,2/15/20 11:38,3.226568937,,2/15/20 11:38,0.0511677,,2/15/20 11:38,0.0160803
2/15/20 11:49,0.0050913,,2/15/20 11:49,62.46002045,,2/15/20 11:49,0.0045711,,2/15/20 11:49,0.9940949,,2/15/20 11:49,0.04157,,2/15/20 11:49,0.0206665,,2/15/20 11:49,0.004943,,2/15/20 11:49,62.46002045,,2/15/20 11:49,0.0026751,,2/15/20 11:49,1.0530714,,2/15/20 11:49,3.226080656,,2/15/20 11:49,0.0465983,,2/15/20 11:49,0.018465
2/15/20 11:59,0.0050079,,2/15/20 11:59,62.42331581,,2/15/20 11:59,0.0050966,,2/15/20 11:59,0.9860133,,2/15/20 11:59,0.043329,,2/15/20 11:59,0.0164346,,2/15/20 11:59,0.0048992,,2/15/20 11:59,62.42331581,,2/15/20 11:59,0.0037216,,2/15/20 11:59,1.0181472,,2/15/20 11:59,3.225689888,,2/15/20 11:59,0.0433222,,2/15/20 11:59,0.0164436
2/15/20 12:09,0.0053258,,2/15/20 12:09,62.31334267,,2/15/20 12:09,0.0033839,,2/15/20 12:09,1.0065409,,2/15/20 12:09,0.0406622,,2/15/20 12:09,0.0175246,,2/15/20 12:09,0.0051289,,2/15/20 12:09,62.31334267,,2/15/20 12:09,0.0032231,,2/15/20 12:09,1.036057,,2/15/20 12:09,3.225982904,,2/15/20 12:09,0.0530066,,2/15/20 12:09,0.0192233
2/15/20 12:19,0.0052766,,2/15/20 12:19,62.2766861,,2/15/20 12:19,0.0032586,,2/15/20 12:19,0.9805003,,2/15/20 12:19,0.0404563,,2/15/20 12:19,0.0153294,,2/15/20 12:19,0.0053551,,2/15/20 12:19,62.2766861,,2/15/20 12:19,0.0032483,,2/15/20 12:19,1.04567,,2/15/20 12:19,3.226080656,,2/15/20 12:19,0.0432947,,2/15/20 12:19,0.0172452
2/15/20 12:28,0.0047215,,2/15/20 12:28,62.23998489,,2/15/20 12:28,0.0035363,,2/15/20 12:28,0.9725858,,2/15/20 12:28,0.0428648,,2/15/20 12:28,0.0135886,,2/15/20 12:28,0.0047831,,2/15/20 12:28,62.23998489,,2/15/20 12:28,0.0022536,,2/15/20 12:28,1.020493,,2/15/20 12:28,3.225494623,,2/15/20 12:28,0.0417168,,2/15/20 12:28,0.0187231
2/15/20 12:38,0.0052004,,2/15/20 12:39,62.56999359,,2/15/20 12:38,0.0041925,,2/15/20 12:38,0.9906283,,2/15/20 12:38,0.0507049,,2/15/20 12:38,0.017975,,2/15/20 12:38,0.0058154,,2/15/20 12:39,62.56999359,,2/15/20 12:38,0.0038769,,2/15/20 12:38,1.0425913,,2/15/20 12:39,3.225201607,,2/15/20 12:38,0.0450672,,2/15/20 12:38,0.0197697
2/15/20 12:48,0.0051551,,2/15/20 12:49,62.31334267,,2/15/20 12:48,0.0027645,,2/15/20 12:48,1.0061023,,2/15/20 12:48,0.0507024,,2/15/20 12:48,0.0166909,,2/15/20 12:48,0.0047498,,2/15/20 12:49,62.31334267,,2/15/20 12:48,0.0054431,,2/15/20 12:48,1.0435487,,2/15/20 12:49,3.225201607,,2/15/20 12:48,0.0461938,,2/15/20 12:48,0.0195011
2/15/20 12:59,0.0046136,,2/15/20 13:00,62.38665924,,2/15/20 12:59,0.0050527,,2/15/20 12:59,0.9766997,,2/15/20 12:59,0.0440296,,2/15/20 12:59,0.0152176,,2/15/20 12:59,0.0046992,,2/15/20 13:00,62.38665924,,2/15/20 12:59,0.0051398,,2/15/20 12:59,1.0481913,,2/15/20 13:00,3.225201607,,2/15/20 12:59,0.0451534,,2/15/20 12:59,0.0159374
2/15/20 13:09,0.0058792,,2/15/20 13:10,62.53333359,,2/15/20 13:09,0.0073046,,2/15/20 13:09,0.9984176,,2/15/20 13:09,0.0451199,,2/15/20 13:09,0.0150876,,2/15/20 13:09,0.0043037,,2/15/20 13:10,62.53333359,,2/15/20 13:09,0.0032817,,2/15/20 13:09,1.0566378,,2/15/20 13:10,3.225396872,,2/15/20 13:09,0.041792,,2/15/20 13:09,0.0193686
2/15/20 13:19,0.0056683,,2/15/20 13:20,62.78998108,,2/15/20 13:19,0.0028031,,2/15/20 13:19,1.00297,,2/15/20 13:19,0.0472524,,2/15/20 13:19,0.0161919,,2/15/20 13:19,0.0045563,,2/15/20 13:20,62.78998108,,2/15/20 13:19,0.0030176,,2/15/20 13:19,1.0448003,,2/15/20 13:20,3.224224806,,2/15/20 13:19,0.0466473,,2/15/20 13:19,0.0191798
2/15/20 13:29,0.0053859,,2/15/20 13:29,62.2766861,,2/15/20 13:29,0.0040831,,2/15/20 13:29,0.976825,,2/15/20 13:29,0.0434883,,2/15/20 13:29,0.0148339,,2/15/20 13:29,0.0047731,,2/15/20 13:29,62.2766861,,2/15/20 13:29,0.0036497,,2/15/20 13:29,1.059105,,2/15/20 13:29,3.224224806,,2/15/20 13:29,0.0493633,,2/15/20 13:29,0.0141363
2/15/20 13:38,0.0054454,,2/15/20 13:39,62.34999924,,2/15/20 13:38,0.0045465,,2/15/20 13:38,0.9869112,,2/15/20 13:38,0.0432644,,2/15/20 13:38,0.0147427,,2/15/20 13:38,0.0049,,2/15/20 13:39,62.34999924,,2/15/20 13:38,0.0030923,,2/15/20 13:38,1.0515436,,2/15/20 13:39,3.224420071,,2/15/20 13:38,0.0440734,,2/15/20 13:38,0.0161733
2/15/20 13:48,0.0052083,,2/15/20 13:49,62.34999924,,2/15/20 13:48,0.0031683,,2/15/20 13:48,0.9969767,,2/15/20 13:48,0.0450838,,2/15/20 13:48,0.0159518,,2/15/20 13:48,0.0050721,,2/15/20 13:49,62.34999924,,2/15/20 13:48,0.002426,,2/15/20 13:48,1.0660856,,2/15/20 13:49,3.223931551,,2/15/20 13:48,0.0478769,,2/15/20 13:48,0.0164351
2/15/20 13:58,0.0056643,,2/15/20 13:59,62.34999924,,2/15/20 13:58,0.0055248,,2/15/20 13:58,0.9616642,,2/15/20 13:58,0.0432496,,2/15/20 13:58,0.0150195,,2/15/20 13:58,0.0055597,,2/15/20 13:59,62.34999924,,2/15/20 13:58,0.0054737,,2/15/20 13:58,1.0657915,,2/15/20 13:59,3.224127054,,2/15/20 13:58,0.0491383,,2/15/20 13:58,0.0214794
2/15/20 14:09,0.003904,,2/15/20 14:10,62.46002045,,2/15/20 14:09,0.0024201,,2/15/20 14:09,0.9870783,,2/15/20 14:09,0.0488639,,2/15/20 14:09,0.0147152,,2/15/20 14:09,0.0049959,,2/15/20 14:10,62.46002045,,2/15/20 14:09,0.0047769,,2/15/20 14:09,1.0448442,,2/15/20 14:10,3.224029303,,2/15/20 14:09,0.0486826,,2/15/20 14:09,0.0121961
2/15/20 14:19,0.0048658,,2/15/20 14:20,62.2766861,,2/15/20 14:19,0.0043581,,2/15/20 14:19,0.9678454,,2/15/20 14:19,0.0388909,,2/15/20 14:19,0.0142833,,2/15/20 14:19,0.0044786,,2/15/20 14:20,62.2766861,,2/15/20 14:19,0.0035539,,2/15/20 14:19,1.0434997,,2/15/20 14:20,3.223150253,,2/15/20 14:19,0.0394912,,2/15/20 14:19,0.0133069
2/15/20 14:29,0.0052338,,2/15/20 14:29,62.34999924,,2/15/20 14:29,0.0033527,,2/15/20 14:29,0.9729826,,2/15/20 14:29,0.0392371,,2/15/20 14:29,0.0168147,,2/15/20 14:29,0.0047957,,2/15/20 14:29,62.34999924,,2/15/20 14:29,0.0024142,,2/15/20 14:29,1.0345731,,2/15/20 14:29,3.223638535,,2/15/20 14:29,0.0493512,,2/15/20 14:29,0.0208063
2/15/20 14:39,0.0053742,,2/15/20 14:39,62.31334267,,2/15/20 14:39,0.0029129,,2/15/20 14:39,1.0254814,,2/15/20 14:39,0.0483356,,2/15/20 14:39,0.0146887,,2/15/20 14:39,0.0047863,,2/15/20 14:39,62.31334267,,2/15/20 14:39,0.0038815,,2/15/20 14:39,1.0087794,,2/15/20 14:39,3.222661734,,2/15/20 14:39,0.0471423,,2/15/20 14:39,0.0184929
